"Date","CWSR0000SAE"
2000-09-01,102.3
2000-10-01,103.1
2000-11-01,102.9
2000-12-01,103.5
2001-01-01,103.9
2001-02-01,104
2001-03-01,104.5
2001-04-01,104.5
2001-05-01,104.6
2001-06-01,105
2001-07-01,105.5
2001-08-01,105.8
2001-09-01,105.8
2001-10-01,106.4
2001-11-01,106.5
2001-12-01,106.6
2002-01-01,107
2002-02-01,107.1
2002-03-01,106.6
2002-04-01,106.3
2002-05-01,107
2002-06-01,107.2
2002-07-01,107.9
2002-08-01,108.6
2002-09-01,108.4
2002-10-01,108.4
2002-11-01,108.4
2002-12-01,108.6
2003-01-01,109.1
2003-02-01,109.2
2003-03-01,109
2003-04-01,108.8
2003-05-01,108.6
2003-06-01,108.3
2003-07-01,108.8
2003-08-01,109
2003-09-01,109
2003-10-01,109.1
2003-11-01,109.2
2003-12-01,109.5
2004-01-01,109.7
2004-02-01,109.9
2004-03-01,109.9
2004-04-01,109.9
2004-05-01,109.7
2004-06-01,109.9
2004-07-01,109.9
2004-08-01,109.8
2004-09-01,110.1
2004-10-01,109.9
2004-11-01,110.2
2004-12-01,110.3
2005-01-01,110.4
2005-02-01,110.7
2005-03-01,110.8
2005-04-01,111.2
2005-05-01,111.1
2005-06-01,111.2
2005-07-01,111.3
2005-08-01,111
2005-09-01,111.9
2005-10-01,111.8
2005-11-01,112.2
2005-12-01,112.4
2006-01-01,113
2006-02-01,113
2006-03-01,113.1
2006-04-01,113.4
2006-05-01,113.4
2006-06-01,113.8
2006-07-01,114.1
2006-08-01,114.4
2006-09-01,114.6
2006-10-01,114.8
2006-11-01,114.5
2006-12-01,114.6
2007-01-01,114.559
2007-02-01,114.84
2007-03-01,115.312
2007-04-01,115.578
2007-05-01,116.274
2007-06-01,116.308
2007-07-01,116.532
2007-08-01,116.862
2007-09-01,117.041
2007-10-01,117.342
2007-11-01,117.327
2007-12-01,117.62
2008-01-01,117.962
2008-02-01,118.05
2008-03-01,118.295
2008-04-01,118.726
2008-05-01,119.155
2008-06-01,119.825
2008-07-01,120.358
2008-08-01,120.658
2008-09-01,120.828
2008-10-01,121.05
2008-11-01,121.31
2008-12-01,121.674
2009-01-01,121.91
2009-02-01,122.087
2009-03-01,122.24
2009-04-01,122.411
2009-05-01,122.701
2009-06-01,122.88
2009-07-01,123.189
2009-08-01,123.378
2009-09-01,123.714
2009-10-01,123.873
2009-11-01,123.808
2009-12-01,124.033
2010-01-01,124.195
2010-02-01,124.321
2010-03-01,124.568
2010-04-01,124.776
2010-05-01,124.805
2010-06-01,124.899
2010-07-01,125.102
2010-08-01,125.227
2010-09-01,125.321
2010-10-01,125.207
2010-11-01,125.288
2010-12-01,125.017
2011-01-01,125.025
2011-02-01,125.047
2011-03-01,125.088
2011-04-01,125.15
2011-05-01,125.226
2011-06-01,125.32
2011-07-01,125.361
2011-08-01,125.604
2011-09-01,125.77
2011-10-01,126.057
2011-11-01,126.199
2011-12-01,126.388
2012-01-01,126.735
2012-02-01,126.823
2012-03-01,126.899
2012-04-01,127.089
2012-05-01,127.425
2012-06-01,127.507
2012-07-01,127.432
2012-08-01,127.163
2012-09-01,127.405
2012-10-01,127.643
2012-11-01,127.767
2012-12-01,127.936
2013-01-01,128.306
2013-02-01,128.56
2013-03-01,128.712
2013-04-01,128.338
2013-05-01,128.445
2013-06-01,128.472
2013-07-01,128.578
2013-08-01,128.688
2013-09-01,128.93
2013-10-01,129.107
2013-11-01,129.219
2013-12-01,129.425
2014-01-01,129.517
2014-02-01,129.438
2014-03-01,129.547
2014-04-01,129.739
2014-05-01,129.81
2014-06-01,129.859
2014-07-01,130.061
2014-08-01,130.193
2014-09-01,130.146
2014-10-01,129.494
2014-11-01,129.223
2014-12-01,129.085
2015-01-01,129.159
2015-02-01,129.05
2015-03-01,129.053
2015-04-01,129.228
2015-05-01,128.945
2015-06-01,128.98
2015-07-01,129.134
2015-08-01,129.378
2015-09-01,129.765
2015-10-01,130.04
2015-11-01,130.352
2015-12-01,130.303
2016-01-01,130.435
2016-02-01,130.063
2016-03-01,130.276
2016-04-01,130.281
2016-05-01,130.002
2016-06-01,129.936
2016-07-01,129.907
2016-08-01,129.978
2016-09-01,129.43
2016-10-01,129.12
2016-11-01,129.218
2016-12-01,129.283
2017-01-01,129.326
2017-02-01,128.91
2017-03-01,125.844
2017-04-01,125.332
2017-05-01,125.147
2017-06-01,124.936
2017-07-01,124.713
2017-08-01,124.687
2017-09-01,124.807
2017-10-01,125.124
2017-11-01,125.42
2017-12-01,125.507
2018-01-01,125.494
2018-02-01,125.141
2018-03-01,125.072
2018-04-01,125.037
2018-05-01,125.408
2018-06-01,125.676
2018-07-01,125.87
2018-08-01,125.816
2018-09-01,125.959
2018-10-01,125.817
2018-11-01,124.829
2018-12-01,124.877
2019-01-01,125.055
2019-02-01,125.164
2019-03-01,125.106
2019-04-01,125.332
2019-05-01,125.317
2019-06-01,125.493
2019-07-01,125.687
2019-08-01,125.87
2019-09-01,125.788
2019-10-01,125.866
2019-11-01,126.352
2019-12-01,126.421
2020-01-01,126.774
2020-02-01,126.841
2020-03-01,126.868
2020-04-01,127.122
2020-05-01,127.107
2020-06-01,126.977
2020-07-01,128.844
2020-08-01,129.127
2020-09-01,129.041
2020-10-01,129.13
2020-11-01,129.206
2020-12-01,129.278
2021-01-01,129.359
2021-02-01,129.469
2021-03-01,129.101
2021-04-01,129.472
2021-05-01,129.695
2021-06-01,129.846
2021-07-01,130.014
2021-08-01,130.206
2021-09-01,130.56
2021-10-01,130.689
2021-11-01,130.68
2021-12-01,130.721
2022-01-01,130.718
2022-02-01,130.646
2022-03-01,130.176
2022-04-01,129.935
2022-05-01,129.824
2022-06-01,129.888
2022-07-01,129.701
2022-08-01,129.796
2022-09-01,129.742
2022-10-01,129.57
2022-11-01,130.64
2022-12-01,130.847
2023-01-01,131.332
2023-02-01,131.257
2023-03-01,131.336
2023-04-01,131.39
2023-05-01,131.016
2023-06-01,130.549
2023-07-01,130.519
2023-08-01,130.496
2023-09-01,130.471
2023-10-01,130.085
2023-11-01,129.616
