"Date","CUUR0000SAS4"
1955-10-01,NA
1955-11-01,NA
1955-12-01,22.6
1956-01-01,22.8
1956-02-01,22.8
1956-03-01,22.9
1956-04-01,22.9
1956-05-01,23
1956-06-01,23
1956-07-01,23
1956-08-01,23
1956-09-01,23.1
1956-10-01,23.1
1956-11-01,23.2
1956-12-01,23.2
1957-01-01,23.4
1957-02-01,23.7
1957-03-01,23.7
1957-04-01,23.9
1957-05-01,23.9
1957-06-01,24
1957-07-01,24.2
1957-08-01,24.4
1957-09-01,24.4
1957-10-01,24.5
1957-11-01,24.6
1957-12-01,24.6
1958-01-01,24.9
1958-02-01,25.5
1958-03-01,25.5
1958-04-01,25.5
1958-05-01,25.6
1958-06-01,25.6
1958-07-01,25.7
1958-08-01,25.8
1958-09-01,25.8
1958-10-01,25.8
1958-11-01,25.9
1958-12-01,25.9
1959-01-01,26.2
1959-02-01,26.2
1959-03-01,26.2
1959-04-01,26.3
1959-05-01,26.4
1959-06-01,26.4
1959-07-01,26.6
1959-08-01,26.7
1959-09-01,26.7
1959-10-01,26.8
1959-11-01,26.8
1959-12-01,26.9
1960-01-01,26.9
1960-02-01,27
1960-03-01,27.1
1960-04-01,27.1
1960-05-01,27.1
1960-06-01,27.2
1960-07-01,27.2
1960-08-01,27.3
1960-09-01,27.3
1960-10-01,27.4
1960-11-01,27.5
1960-12-01,27.5
1961-01-01,27.6
1961-02-01,27.6
1961-03-01,27.7
1961-04-01,27.7
1961-05-01,27.8
1961-06-01,27.8
1961-07-01,27.9
1961-08-01,27.9
1961-09-01,27.9
1961-10-01,28
1961-11-01,28
1961-12-01,28.1
1962-01-01,28.1
1962-02-01,28.3
1962-03-01,28.3
1962-04-01,28.3
1962-05-01,28.3
1962-06-01,28.3
1962-07-01,28.4
1962-08-01,28.4
1962-09-01,28.1
1962-10-01,28.2
1962-11-01,28.1
1962-12-01,28.2
1963-01-01,28.2
1963-02-01,28.3
1963-03-01,28.4
1963-04-01,28.5
1963-05-01,28.5
1963-06-01,28.6
1963-07-01,28.6
1963-08-01,28.7
1963-09-01,28.7
1963-10-01,28.8
1963-11-01,28.8
1963-12-01,28.9
1964-01-01,29
1964-02-01,29
1964-03-01,29
1964-04-01,29.1
1964-05-01,29.1
1964-06-01,29.1
1964-07-01,29.2
1964-08-01,29.2
1964-09-01,29.2
1964-10-01,29.3
1964-11-01,29.5
1964-12-01,29.7
1965-01-01,29.9
1965-02-01,30.1
1965-03-01,30.1
1965-04-01,30.1
1965-05-01,30.2
1965-06-01,30.2
1965-07-01,30.3
1965-08-01,30.4
1965-09-01,30.6
1965-10-01,30.7
1965-11-01,30.7
1965-12-01,30.8
1966-01-01,31.1
1966-02-01,31.2
1966-03-01,31.2
1966-04-01,31.3
1966-05-01,31.3
1966-06-01,31.3
1966-07-01,31.8
1966-08-01,31.9
1966-09-01,31.9
1966-10-01,32
1966-11-01,32.1
1966-12-01,32.1
1967-01-01,32.2
1967-02-01,32.3
1967-03-01,32.4
1967-04-01,32.4
1967-05-01,32.5
1967-06-01,32.6
1967-07-01,32.6
1967-08-01,32.7
1967-09-01,32.8
1967-10-01,32.8
1967-11-01,33
1967-12-01,33.2
1968-01-01,33.4
1968-02-01,33.5
1968-03-01,33.7
1968-04-01,33.7
1968-05-01,33.8
1968-06-01,33.9
1968-07-01,33.9
1968-08-01,33.9
1968-09-01,34
1968-10-01,34.2
1968-11-01,34.4
1968-12-01,34.8
1969-01-01,35.4
1969-02-01,35.5
1969-03-01,35.8
1969-04-01,35.9
1969-05-01,36
1969-06-01,36.2
1969-07-01,36.2
1969-08-01,36.4
1969-09-01,36.6
1969-10-01,36.9
1969-11-01,37.1
1969-12-01,37.7
1970-01-01,38.9
1970-02-01,39.2
1970-03-01,39.3
1970-04-01,39.5
1970-05-01,39.7
1970-06-01,40
1970-07-01,40.3
1970-08-01,40.4
1970-09-01,40.7
1970-10-01,41.1
1970-11-01,41.4
1970-12-01,41.6
1971-01-01,42.3
1971-02-01,42.9
1971-03-01,43.1
1971-04-01,43.4
1971-05-01,43.4
1971-06-01,43.7
1971-07-01,43.8
1971-08-01,43.7
1971-09-01,43.6
1971-10-01,43.7
1971-11-01,43.7
1971-12-01,43.8
1972-01-01,44.3
1972-02-01,44.3
1972-03-01,44.2
1972-04-01,44.3
1972-05-01,44.3
1972-06-01,44.4
1972-07-01,44.5
1972-08-01,44.5
1972-09-01,44.5
1972-10-01,44.5
1972-11-01,44.5
1972-12-01,44.5
1973-01-01,44.4
1973-02-01,44.4
1973-03-01,44.5
1973-04-01,44.6
1973-05-01,44.6
1973-06-01,44.7
1973-07-01,44.7
1973-08-01,44.7
1973-09-01,44.8
1973-10-01,44.8
1973-11-01,44.8
1973-12-01,45.1
1974-01-01,45.3
1974-02-01,45.4
1974-03-01,45.6
1974-04-01,45.7
1974-05-01,45.9
1974-06-01,46.2
1974-07-01,46.4
1974-08-01,46.6
1974-09-01,46.8
1974-10-01,47
1974-11-01,47.3
1974-12-01,47.7
1975-01-01,47.8
1975-02-01,48
1975-03-01,48.4
1975-04-01,48.8
1975-05-01,48.8
1975-06-01,49.1
1975-07-01,49.3
1975-08-01,49.6
1975-09-01,50.9
1975-10-01,51.2
1975-11-01,52.8
1975-12-01,53.3
1976-01-01,54.5
1976-02-01,55.1
1976-03-01,55.8
1976-04-01,56
1976-05-01,56.2
1976-06-01,56.5
1976-07-01,57
1976-08-01,57.3
1976-09-01,57.9
1976-10-01,58.4
1976-11-01,58.8
1976-12-01,59
1977-01-01,59.7
1977-02-01,59.8
1977-03-01,60.3
1977-04-01,60.9
1977-05-01,61.2
1977-06-01,61.6
1977-07-01,61.8
1977-08-01,62
1977-09-01,62.3
1977-10-01,62.4
1977-11-01,62.7
1977-12-01,63
1978-01-01,63.2
1978-02-01,63.5
1978-03-01,63.6
1978-04-01,63.7
1978-05-01,63.8
1978-06-01,64
1978-07-01,64.3
1978-08-01,64.4
1978-09-01,64.9
1978-10-01,65.4
1978-11-01,66
1978-12-01,66.4
1979-01-01,66.7
1979-02-01,67.1
1979-03-01,67.5
1979-04-01,68
1979-05-01,68.5
1979-06-01,68.8
1979-07-01,69.4
1979-08-01,70.1
1979-09-01,70.7
1979-10-01,71.3
1979-11-01,72.3
1979-12-01,73.2
1980-01-01,74
1980-02-01,74.9
1980-03-01,76.2
1980-04-01,77.7
1980-05-01,78.8
1980-06-01,79.2
1980-07-01,79.6
1980-08-01,80.4
1980-09-01,81.4
1980-10-01,81.9
1980-11-01,82.7
1980-12-01,83.5
1981-01-01,84.4
1981-02-01,85
1981-03-01,85.7
1981-04-01,86.3
1981-05-01,87
1981-06-01,88
1981-07-01,89.8
1981-08-01,90
1981-09-01,90.6
1981-10-01,91.7
1981-11-01,92.4
1981-12-01,92.8
1982-01-01,93.5
1982-02-01,93.9
1982-03-01,94.3
1982-04-01,94.8
1982-05-01,95.1
1982-06-01,96.2
1982-07-01,97
1982-08-01,97.2
1982-09-01,97.5
1982-10-01,98.1
1982-11-01,97.9
1982-12-01,97.7
1983-01-01,98
1983-02-01,97.9
1983-03-01,97.9
1983-04-01,98.2
1983-05-01,98.3
1983-06-01,98.4
1983-07-01,98.7
1983-08-01,99.2
1983-09-01,99.7
1983-10-01,100.5
1983-11-01,101.2
1983-12-01,101.4
1984-01-01,102.5
1984-02-01,102.6
1984-03-01,102.9
1984-04-01,103.1
1984-05-01,103.7
1984-06-01,104.3
1984-07-01,104.9
1984-08-01,105.7
1984-09-01,105.9
1984-10-01,106.9
1984-11-01,107.4
1984-12-01,107.7
1985-01-01,108.3
1985-02-01,108.4
1985-03-01,108.8
1985-04-01,109
1985-05-01,109.2
1985-06-01,109.4
1985-07-01,110
1985-08-01,110.1
1985-09-01,110
1985-10-01,111.3
1985-11-01,112.5
1985-12-01,113
1986-01-01,113.9
1986-02-01,114.6
1986-03-01,115
1986-04-01,115.3
1986-05-01,115.3
1986-06-01,116
1986-07-01,116.6
1986-08-01,116.6
1986-09-01,116.3
1986-10-01,117.7
1986-11-01,118.9
1986-12-01,119.5
1987-01-01,120.3
1987-02-01,120.3
1987-03-01,120.4
1987-04-01,120.9
1987-05-01,120.9
1987-06-01,121.3
1987-07-01,121.7
1987-08-01,122
1987-09-01,122.5
1987-10-01,123.4
1987-11-01,124.5
1987-12-01,124.6
1988-01-01,125.1
1988-02-01,125.2
1988-03-01,125.4
1988-04-01,125.8
1988-05-01,126.7
1988-06-01,127.6
1988-07-01,128.1
1988-08-01,128.8
1988-09-01,129.3
1988-10-01,130.6
1988-11-01,131.6
1988-12-01,132.1
1989-01-01,133
1989-02-01,133.9
1989-03-01,134.3
1989-04-01,134.5
1989-05-01,135.2
1989-06-01,135.6
1989-07-01,135.5
1989-08-01,135.7
1989-09-01,135.9
1989-10-01,137.1
1989-11-01,138
1989-12-01,138.6
1990-01-01,140.2
1990-02-01,141.1
1990-03-01,141.9
1990-04-01,142.4
1990-05-01,142.5
1990-06-01,142.9
1990-07-01,143.8
1990-08-01,144
1990-09-01,145.2
1990-10-01,147.1
1990-11-01,148.8
1990-12-01,150
1991-01-01,150.7
1991-02-01,151.3
1991-03-01,150.8
1991-04-01,149.4
1991-05-01,149.3
1991-06-01,149.9
1991-07-01,150.7
1991-08-01,151.5
1991-09-01,151.5
1991-10-01,152
1991-11-01,153
1991-12-01,153.7
1992-01-01,154.5
1992-02-01,154.4
1992-03-01,155.2
1992-04-01,155.7
1992-05-01,155.1
1992-06-01,153.9
1992-07-01,154.9
1992-08-01,154.7
1992-09-01,154.3
1992-10-01,157.2
1992-11-01,158.8
1992-12-01,159.2
1993-01-01,160.6
1993-02-01,161.7
1993-03-01,161.4
1993-04-01,161.3
1993-05-01,161.9
1993-06-01,161.7
1993-07-01,162.7
1993-08-01,163
1993-09-01,163
1993-10-01,164.2
1993-11-01,166.2
1993-12-01,166.9
1994-01-01,167.1
1994-02-01,167.5
1994-03-01,168.5
1994-04-01,168.2
1994-05-01,167.1
1994-06-01,167.5
1994-07-01,168.1
1994-08-01,168.9
1994-09-01,168.8
1994-10-01,169.5
1994-11-01,170.5
1994-12-01,171.1
1995-01-01,172.6
1995-02-01,173.4
1995-03-01,175
1995-04-01,176.1
1995-05-01,175.9
1995-06-01,176.8
1995-07-01,176.5
1995-08-01,176
1995-09-01,175.9
1995-10-01,177.7
1995-11-01,178
1995-12-01,176.3
1996-01-01,176.8
1996-02-01,178.5
1996-03-01,178.5
1996-04-01,179
1996-05-01,179.3
1996-06-01,179.8
1996-07-01,180.3
1996-08-01,180.6
1996-09-01,181.6
1996-10-01,183.2
1996-11-01,183.7
1996-12-01,184.1
1997-01-01,183.5
1997-02-01,183.4
1997-03-01,184.9
1997-04-01,185.4
1997-05-01,184.9
1997-06-01,184.5
1997-07-01,185.6
1997-08-01,184.3
1997-09-01,184.7
1997-10-01,186.9
1997-11-01,186.2
1997-12-01,186
1998-01-01,187.1
1998-02-01,187.9
1998-03-01,188.4
1998-04-01,188.3
1998-05-01,187.8
1998-06-01,187.1
1998-07-01,187.8
1998-08-01,187.8
1998-09-01,187.3
1998-10-01,188.2
1998-11-01,188.3
1998-12-01,188.4
1999-01-01,188.8
1999-02-01,189.3
1999-03-01,190.7
1999-04-01,191
1999-05-01,190.4
1999-06-01,189.3
1999-07-01,191
1999-08-01,190.2
1999-09-01,189.9
1999-10-01,191.9
1999-11-01,192.7
1999-12-01,192.8
2000-01-01,193
2000-02-01,193.7
2000-03-01,195
2000-04-01,195.2
2000-05-01,195.7
2000-06-01,196.1
2000-07-01,196.5
2000-08-01,197.4
2000-09-01,197.2
2000-10-01,197
2000-11-01,198
2000-12-01,198.3
2001-01-01,199.1
2001-02-01,200.3
2001-03-01,200.2
2001-04-01,200.1
2001-05-01,200.4
2001-06-01,202
2001-07-01,202.6
2001-08-01,202.7
2001-09-01,202.8
2001-10-01,203.4
2001-11-01,204.2
2001-12-01,204.5
2002-01-01,205.2
2002-02-01,206.5
2002-03-01,207.3
2002-04-01,207.9
2002-05-01,208.9
2002-06-01,209
2002-07-01,209.6
2002-08-01,210.1
2002-09-01,210.1
2002-10-01,210.9
2002-11-01,212
2002-12-01,212
2003-01-01,212.3
2003-02-01,213.4
2003-03-01,214.2
2003-04-01,215.3
2003-05-01,216.3
2003-06-01,217.1
2003-07-01,218
2003-08-01,217.2
2003-09-01,216.8
2003-10-01,218.9
2003-11-01,218.6
2003-12-01,217.7
2004-01-01,218.7
2004-02-01,219.3
2004-03-01,219.7
2004-04-01,220
2004-05-01,220
2004-06-01,220.5
2004-07-01,221.6
2004-08-01,220.8
2004-09-01,220.1
2004-10-01,221.4
2004-11-01,222.8
2004-12-01,221.8
2005-01-01,221.7
2005-02-01,222.4
2005-03-01,223.3
2005-04-01,224.4
2005-05-01,225.1
2005-06-01,226
2005-07-01,227.1
2005-08-01,227
2005-09-01,227
2005-10-01,227.6
2005-11-01,228.4
2005-12-01,227.8
2006-01-01,228.2
2006-02-01,228.7
2006-03-01,228.8
2006-04-01,229.6
2006-05-01,230.7
2006-06-01,231.8
2006-07-01,232.7
2006-08-01,232.2
2006-09-01,231.7
2006-10-01,232.3
2006-11-01,231.5
2006-12-01,230.8
2007-01-01,231.367
2007-02-01,232.077
2007-03-01,232.2
2007-04-01,232.217
2007-05-01,231.777
2007-06-01,233.202
2007-07-01,234.632
2007-08-01,234.563
2007-09-01,234.322
2007-10-01,235.458
2007-11-01,236.449
2007-12-01,236.504
2008-01-01,237.347
2008-02-01,237.929
2008-03-01,239.556
2008-04-01,240.15
2008-05-01,242.343
2008-06-01,245.759
2008-07-01,247.869
2008-08-01,248.806
2008-09-01,248.047
2008-10-01,247.762
2008-11-01,247.03
2008-12-01,246.287
2009-01-01,247.006
2009-02-01,248.114
2009-03-01,247.912
2009-04-01,248.696
2009-05-01,248.628
2009-06-01,249.194
2009-07-01,251.184
2009-08-01,252.234
2009-09-01,253.001
2009-10-01,254.449
2009-11-01,255.935
2009-12-01,256.014
2010-01-01,255.216
2010-02-01,256.365
2010-03-01,257.337
2010-04-01,258.384
2010-05-01,259.325
2010-06-01,260.525
2010-07-01,261.054
2010-08-01,260.944
2010-09-01,260.577
2010-10-01,261.625
2010-11-01,263.265
2010-12-01,263.264
2011-01-01,263.984
2011-02-01,265.354
2011-03-01,266.754
2011-04-01,267.587
2011-05-01,267.832
2011-06-01,268.488
2011-07-01,268.642
2011-08-01,268.94
2011-09-01,268.979
2011-10-01,269.487
2011-11-01,270.117
2011-12-01,269.858
2012-01-01,269.438
2012-02-01,269.535
2012-03-01,270.604
2012-04-01,272.146
2012-05-01,272.912
2012-06-01,273.239
2012-07-01,272.86
2012-08-01,272.651
2012-09-01,273.044
2012-10-01,274.883
2012-11-01,276.008
2012-12-01,276.982
2013-01-01,277.406
2013-02-01,277.96
2013-03-01,278.874
2013-04-01,279.065
2013-05-01,279.948
2013-06-01,280.184
2013-07-01,281.08
2013-08-01,279.523
2013-09-01,279.491
2013-10-01,281.697
2013-11-01,283.116
2013-12-01,281.68
2014-01-01,280.687
2014-02-01,281.759
2014-03-01,282.663
2014-04-01,285.402
2014-05-01,288.627
2014-06-01,289.018
2014-07-01,286.239
2014-08-01,283.786
2014-09-01,283.425
2014-10-01,286.691
2014-11-01,288.174
2014-12-01,286.585
2015-01-01,286.644
2015-02-01,287.914
2015-03-01,288.349
2015-04-01,289.971
2015-05-01,292.994
2015-06-01,293.93
2015-07-01,292.119
2015-08-01,289.798
2015-09-01,289.576
2015-10-01,291.969
2015-11-01,294.8
2015-12-01,294.081
2016-01-01,294.42
2016-02-01,295.533
2016-03-01,296.363
2016-04-01,299.635
2016-05-01,302.381
2016-06-01,302.768
2016-07-01,300.823
2016-08-01,298.876
2016-09-01,298.129
2016-10-01,299.622
2016-11-01,302.164
2016-12-01,302.41
2017-01-01,303.718
2017-02-01,306.221
2017-03-01,307.49
2017-04-01,308.908
2017-05-01,311.178
2017-06-01,312.012
2017-07-01,310.567
2017-08-01,309.469
2017-09-01,309.704
2017-10-01,312.29
2017-11-01,313.772
2017-12-01,313.645
2018-01-01,315.764
2018-02-01,320.089
2018-03-01,320.774
2018-04-01,321.437
2018-05-01,322.966
2018-06-01,323.646
2018-07-01,322.842
2018-08-01,321.387
2018-09-01,322.241
2018-10-01,324.131
2018-11-01,324.168
2018-12-01,322.317
2019-01-01,322.216
2019-02-01,323.575
2019-03-01,323.982
2019-04-01,325.114
2019-05-01,326.397
2019-06-01,326.667
2019-07-01,325.105
2019-08-01,324.396
2019-09-01,324.717
2019-10-01,326.582
2019-11-01,326.686
2019-12-01,324.209
2020-01-01,324.5
2020-02-01,327.466
2020-03-01,321.61
2020-04-01,307.25
2020-05-01,297.882
2020-06-01,303.942
2020-07-01,312.938
2020-08-01,311.422
2020-09-01,308.143
2020-10-01,309.965
2020-11-01,315.554
2020-12-01,312.959
2021-01-01,311.312
2021-02-01,313.16
2021-03-01,316.345
2021-04-01,324.519
2021-05-01,331.188
2021-06-01,335.548
2021-07-01,332.917
2021-08-01,325.652
2021-09-01,321.673
2021-10-01,323.903
2021-11-01,327.749
2021-12-01,326.063
2022-01-01,328.665
2022-02-01,333.919
2022-03-01,340.671
2022-04-01,351.985
2022-05-01,357.437
2022-06-01,365.178
2022-07-01,363.389
2022-08-01,362.511
2022-09-01,368.643
2022-10-01,373.098
2022-11-01,374.248
2022-12-01,373.598
2023-01-01,376.743
2023-02-01,382.801
2023-03-01,387.966
2023-04-01,390.805
2023-05-01,393.836
2023-06-01,395.238
2023-07-01,396.199
2023-08-01,400.016
2023-09-01,402.021
2023-10-01,407.526
2023-11-01,411.892
