"Date","CPITRNNS"
1957-08-01,27.7
1957-09-01,27.7
1957-10-01,27.7
1957-11-01,28.5
1957-12-01,28.3
1958-01-01,28.2
1958-02-01,28.2
1958-03-01,28.2
1958-04-01,28.2
1958-05-01,28.2
1958-06-01,28.3
1958-07-01,28.6
1958-08-01,28.7
1958-09-01,28.8
1958-10-01,29.1
1958-11-01,29.4
1958-12-01,29.4
1959-01-01,29.4
1959-02-01,29.4
1959-03-01,29.5
1959-04-01,29.6
1959-05-01,29.6
1959-06-01,29.7
1959-07-01,29.8
1959-08-01,29.9
1959-09-01,29.8
1959-10-01,30.2
1959-11-01,30.3
1959-12-01,30.3
1960-01-01,30.1
1960-02-01,30
1960-03-01,29.8
1960-04-01,29.8
1960-05-01,29.6
1960-06-01,29.7
1960-07-01,29.7
1960-08-01,29.8
1960-09-01,29.5
1960-10-01,29.8
1960-11-01,29.8
1960-12-01,29.8
1961-01-01,29.8
1961-02-01,29.8
1961-03-01,29.7
1961-04-01,29.7
1961-05-01,29.8
1961-06-01,30.1
1961-07-01,30.2
1961-08-01,30.4
1961-09-01,30.4
1961-10-01,30.6
1961-11-01,30.6
1961-12-01,30.4
1962-01-01,30.4
1962-02-01,30.4
1962-03-01,30.4
1962-04-01,30.8
1962-05-01,30.8
1962-06-01,30.8
1962-07-01,30.6
1962-08-01,30.8
1962-09-01,30.9
1962-10-01,31
1962-11-01,31.1
1962-12-01,31
1963-01-01,30.6
1963-02-01,30.6
1963-03-01,30.7
1963-04-01,30.7
1963-05-01,30.8
1963-06-01,30.8
1963-07-01,30.9
1963-08-01,31.1
1963-09-01,31
1963-10-01,31.3
1963-11-01,31.3
1963-12-01,31.3
1964-01-01,31.4
1964-02-01,31.2
1964-03-01,31.3
1964-04-01,31.3
1964-05-01,31.3
1964-06-01,31.3
1964-07-01,31.4
1964-08-01,31.4
1964-09-01,31.3
1964-10-01,31.4
1964-11-01,31.6
1964-12-01,31.7
1965-01-01,31.9
1965-02-01,31.7
1965-03-01,31.7
1965-04-01,31.9
1965-05-01,32
1965-06-01,31.9
1965-07-01,32
1965-08-01,31.9
1965-09-01,31.9
1965-10-01,31.9
1965-11-01,32
1965-12-01,32
1966-01-01,31.9
1966-02-01,31.9
1966-03-01,32
1966-04-01,32.1
1966-05-01,32.1
1966-06-01,32.2
1966-07-01,32.6
1966-08-01,32.6
1966-09-01,32.5
1966-10-01,32.8
1966-11-01,32.9
1966-12-01,32.7
1967-01-01,32.5
1967-02-01,32.7
1967-03-01,32.8
1967-04-01,33
1967-05-01,33.2
1967-06-01,33.2
1967-07-01,33.4
1967-08-01,33.4
1967-09-01,33.5
1967-10-01,33.8
1967-11-01,34
1967-12-01,33.8
1968-01-01,34.1
1968-02-01,34
1968-03-01,34.2
1968-04-01,34.2
1968-05-01,34.2
1968-06-01,34.4
1968-07-01,34.4
1968-08-01,34.4
1968-09-01,34.3
1968-10-01,34.6
1968-11-01,34.8
1968-12-01,34.5
1969-01-01,34.6
1969-02-01,35
1969-03-01,35.7
1969-04-01,35.8
1969-05-01,35.6
1969-06-01,35.8
1969-07-01,35.7
1969-08-01,35.7
1969-09-01,35.5
1969-10-01,36.1
1969-11-01,36.1
1969-12-01,36.3
1970-01-01,36.5
1970-02-01,36.5
1970-03-01,36.5
1970-04-01,37
1970-05-01,37.3
1970-06-01,37.5
1970-07-01,37.7
1970-08-01,37.5
1970-09-01,37.6
1970-10-01,38.3
1970-11-01,38.6
1970-12-01,38.9
1971-01-01,39.1
1971-02-01,39.1
1971-03-01,39.2
1971-04-01,39.3
1971-05-01,39.5
1971-06-01,39.8
1971-07-01,39.7
1971-08-01,39.7
1971-09-01,39.5
1971-10-01,39.7
1971-11-01,39.5
1971-12-01,39.4
1972-01-01,39.6
1972-02-01,39.4
1972-03-01,39.4
1972-04-01,39.5
1972-05-01,39.8
1972-06-01,39.9
1972-07-01,40
1972-08-01,40.1
1972-09-01,40.3
1972-10-01,40.3
1972-11-01,40.4
1972-12-01,40.4
1973-01-01,40.3
1973-02-01,40.3
1973-03-01,40.4
1973-04-01,40.8
1973-05-01,41.1
1973-06-01,41.5
1973-07-01,41.5
1973-08-01,41.4
1973-09-01,41.2
1973-10-01,41.6
1973-11-01,41.9
1973-12-01,42.2
1974-01-01,42.6
1974-02-01,43
1974-03-01,43.9
1974-04-01,44.5
1974-05-01,45.4
1974-06-01,46.2
1974-07-01,46.8
1974-08-01,47
1974-09-01,47.3
1974-10-01,47.5
1974-11-01,47.7
1974-12-01,47.7
1975-01-01,47.6
1975-02-01,47.7
1975-03-01,48.2
1975-04-01,48.6
1975-05-01,49
1975-06-01,49.8
1975-07-01,50.8
1975-08-01,51.1
1975-09-01,51.7
1975-10-01,51.9
1975-11-01,52.4
1975-12-01,52.4
1976-01-01,52.6
1976-02-01,52.7
1976-03-01,53.2
1976-04-01,53.7
1976-05-01,54.4
1976-06-01,55.2
1976-07-01,55.8
1976-08-01,56.1
1976-09-01,56.4
1976-10-01,56.9
1976-11-01,57
1976-12-01,57
1977-01-01,57.3
1977-02-01,57.6
1977-03-01,58.1
1977-04-01,58.8
1977-05-01,59.3
1977-06-01,59.6
1977-07-01,59.6
1977-08-01,59.5
1977-09-01,59.4
1977-10-01,59.4
1977-11-01,59.5
1977-12-01,59.5
1978-01-01,59.6
1978-02-01,59.7
1978-03-01,59.9
1978-04-01,60.3
1978-05-01,61
1978-06-01,61.7
1978-07-01,62.3
1978-08-01,62.6
1978-09-01,62.8
1978-10-01,63.1
1978-11-01,63.7
1978-12-01,64.1
1979-01-01,64.5
1979-02-01,65.1
1979-03-01,65.9
1979-04-01,67.5
1979-05-01,69.1
1979-06-01,70.7
1979-07-01,72.1
1979-08-01,73.1
1979-09-01,73.7
1979-10-01,74.1
1979-11-01,74.8
1979-12-01,75.8
1980-01-01,77.7
1980-02-01,79.7
1980-03-01,81.1
1980-04-01,82.1
1980-05-01,82.8
1980-06-01,83.1
1980-07-01,83.5
1980-08-01,84.1
1980-09-01,84.7
1980-10-01,85.2
1980-11-01,86.2
1980-12-01,86.9
1981-01-01,88.1
1981-02-01,90.1
1981-03-01,91
1981-04-01,91.6
1981-05-01,92.4
1981-06-01,93.1
1981-07-01,94
1981-08-01,94.4
1981-09-01,94.9
1981-10-01,95.6
1981-11-01,96.2
1981-12-01,96.4
1982-01-01,96.5
1982-02-01,95.8
1982-03-01,94.9
1982-04-01,94.1
1982-05-01,95
1982-06-01,97.4
1982-07-01,98.5
1982-08-01,98.6
1982-09-01,98.3
1982-10-01,98.3
1982-11-01,98.4
1982-12-01,98.1
1983-01-01,97.5
1983-02-01,96.5
1983-03-01,95.6
1983-04-01,97.3
1983-05-01,98.6
1983-06-01,99.3
1983-07-01,100
1983-08-01,100.6
1983-09-01,101
1983-10-01,101.5
1983-11-01,101.9
1983-12-01,101.9
1984-01-01,101.8
1984-02-01,101.7
1984-03-01,102.1
1984-04-01,103
1984-05-01,103.9
1984-06-01,104.2
1984-07-01,104.1
1984-08-01,104.1
1984-09-01,104.4
1984-10-01,105
1984-11-01,105.2
1984-12-01,105.1
1985-01-01,104.7
1985-02-01,104.6
1985-03-01,105.4
1985-04-01,106.5
1985-05-01,106.9
1985-06-01,107.1
1985-07-01,107.1
1985-08-01,106.7
1985-09-01,106.4
1985-10-01,106.8
1985-11-01,107.5
1985-12-01,107.8
1986-01-01,107.8
1986-02-01,106.2
1986-03-01,103
1986-04-01,100.9
1986-05-01,101.7
1986-06-01,102.7
1986-07-01,101.4
1986-08-01,100.3
1986-09-01,100.5
1986-10-01,100.7
1986-11-01,101.2
1986-12-01,101.4
1987-01-01,102.6
1987-02-01,103.1
1987-03-01,103.3
1987-04-01,104.2
1987-05-01,104.7
1987-06-01,105.4
1987-07-01,106
1987-08-01,106.5
1987-09-01,106.6
1987-10-01,107.1
1987-11-01,107.8
1987-12-01,107.6
1988-01-01,107.1
1988-02-01,106.8
1988-03-01,106.5
1988-04-01,107.2
1988-05-01,108.1
1988-06-01,108.5
1988-07-01,108.9
1988-08-01,109.6
1988-09-01,109.7
1988-10-01,110
1988-11-01,110.7
1988-12-01,110.8
1989-01-01,111.1
1989-02-01,111.6
1989-03-01,111.9
1989-04-01,114.6
1989-05-01,116
1989-06-01,115.9
1989-07-01,115.4
1989-08-01,114.3
1989-09-01,113.7
1989-10-01,114.5
1989-11-01,115
1989-12-01,115.2
1990-01-01,117.2
1990-02-01,117.1
1990-03-01,116.8
1990-04-01,117.3
1990-05-01,117.7
1990-06-01,118.2
1990-07-01,118.4
1990-08-01,120.6
1990-09-01,123
1990-10-01,125.8
1990-11-01,126.9
1990-12-01,127.2
1991-01-01,125.5
1991-02-01,123.7
1991-03-01,122.3
1991-04-01,122.2
1991-05-01,123.3
1991-06-01,123.7
1991-07-01,123.4
1991-08-01,123.8
1991-09-01,123.8
1991-10-01,124
1991-11-01,125
1991-12-01,125.3
1992-01-01,124.5
1992-02-01,124.1
1992-03-01,124.4
1992-04-01,125.2
1992-05-01,126.3
1992-06-01,126.9
1992-07-01,127.2
1992-08-01,126.9
1992-09-01,126.8
1992-10-01,128
1992-11-01,129.2
1992-12-01,129
1993-01-01,129.1
1993-02-01,129.2
1993-03-01,129
1993-04-01,129.4
1993-05-01,130.2
1993-06-01,130.3
1993-07-01,130.3
1993-08-01,130.2
1993-09-01,130.1
1993-10-01,131.8
1993-11-01,132.6
1993-12-01,132.1
1994-01-01,131.6
1994-02-01,131.9
1994-03-01,132.2
1994-04-01,132.6
1994-05-01,132.8
1994-06-01,133.8
1994-07-01,134.6
1994-08-01,135.9
1994-09-01,135.9
1994-10-01,136.1
1994-11-01,137.1
1994-12-01,137.1
1995-01-01,137.3
1995-02-01,137.5
1995-03-01,138
1995-04-01,139.1
1995-05-01,140.3
1995-06-01,141.1
1995-07-01,140.1
1995-08-01,139.2
1995-09-01,138.8
1995-10-01,139.4
1995-11-01,139.4
1995-12-01,139.1
1996-01-01,139.9
1996-02-01,140.4
1996-03-01,141.2
1996-04-01,143.1
1996-05-01,144.4
1996-06-01,144
1996-07-01,143.5
1996-08-01,142.8
1996-09-01,143.2
1996-10-01,143.9
1996-11-01,144.8
1996-12-01,145.2
1997-01-01,145
1997-02-01,144.8
1997-03-01,144.9
1997-04-01,144.8
1997-05-01,144.4
1997-06-01,144
1997-07-01,143.7
1997-08-01,143.8
1997-09-01,144.3
1997-10-01,144.5
1997-11-01,143.9
1997-12-01,143.2
1998-01-01,142.7
1998-02-01,142.1
1998-03-01,141.4
1998-04-01,141.5
1998-05-01,142
1998-06-01,141.7
1998-07-01,141.8
1998-08-01,141.2
1998-09-01,140.7
1998-10-01,141.3
1998-11-01,141.5
1998-12-01,140.7
1999-01-01,140.4
1999-02-01,139.8
1999-03-01,140.6
1999-04-01,144.3
1999-05-01,144.2
1999-06-01,143.4
1999-07-01,144.7
1999-08-01,145.7
1999-09-01,146.5
1999-10-01,147.3
1999-11-01,147.6
1999-12-01,148.3
2000-01-01,148.3
2000-02-01,149.7
2000-03-01,153.4
2000-04-01,152.9
2000-05-01,153.1
2000-06-01,155.7
2000-07-01,155
2000-08-01,153.2
2000-09-01,154.7
2000-10-01,154.4
2000-11-01,155.2
2000-12-01,154.4
2001-01-01,154.4
2001-02-01,154.9
2001-03-01,153.9
2001-04-01,156.1
2001-05-01,159.2
2001-06-01,158.3
2001-07-01,154.4
2001-08-01,153.3
2001-09-01,155.5
2001-10-01,152.3
2001-11-01,150.2
2001-12-01,148.5
2002-01-01,148.6
2002-02-01,148.4
2002-03-01,150.5
2002-04-01,153.7
2002-05-01,153.8
2002-06-01,153.4
2002-07-01,153.7
2002-08-01,153.9
2002-09-01,154
2002-10-01,154.9
2002-11-01,155.2
2002-12-01,154.2
2003-01-01,155.5
2003-02-01,158.9
2003-03-01,161
2003-04-01,159.3
2003-05-01,157.2
2003-06-01,156.8
2003-07-01,156.8
2003-08-01,158.3
2003-09-01,159.4
2003-10-01,157.1
2003-11-01,155.7
2003-12-01,154.7
2004-01-01,157
2004-02-01,158.8
2004-03-01,160.5
2004-04-01,161.8
2004-05-01,165.2
2004-06-01,165.7
2004-07-01,164
2004-08-01,162.9
2004-09-01,162.9
2004-10-01,166.4
2004-11-01,167.2
2004-12-01,164.8
2005-01-01,164
2005-02-01,166.1
2005-03-01,168.8
2005-04-01,173.2
2005-05-01,172.1
2005-06-01,171.8
2005-07-01,174.4
2005-08-01,177.7
2005-09-01,186.5
2005-10-01,184
2005-11-01,175.6
2005-12-01,172.7
2006-01-01,175.9
2006-02-01,175.8
2006-03-01,177.4
2006-04-01,184.1
2006-05-01,187.6
2006-06-01,187.3
2006-07-01,189
2006-08-01,188.5
2006-09-01,180.6
2006-10-01,174.8
2006-11-01,173.9
2006-12-01,175.4
2007-01-01,174.463
2007-02-01,174.799
2007-03-01,180.346
2007-04-01,185.231
2007-05-01,189.961
2007-06-01,189.064
2007-07-01,187.69
2007-08-01,184.48
2007-09-01,184.532
2007-10-01,184.952
2007-11-01,190.677
2007-12-01,189.984
2008-01-01,190.839
2008-02-01,190.52
2008-03-01,195.189
2008-04-01,198.608
2008-05-01,205.262
2008-06-01,211.787
2008-07-01,212.806
2008-08-01,206.739
2008-09-01,203.861
2008-10-01,192.709
2008-11-01,173.644
2008-12-01,164.628
2009-01-01,166.738
2009-02-01,169.542
2009-03-01,169.647
2009-04-01,171.987
2009-05-01,175.997
2009-06-01,183.735
2009-07-01,182.798
2009-08-01,184.386
2009-09-01,183.932
2009-10-01,185.362
2009-11-01,188.587
2009-12-01,188.318
2010-01-01,190.512
2010-02-01,189.577
2010-03-01,192.13
2010-04-01,193.994
2010-05-01,194.761
2010-06-01,192.651
2010-07-01,193.038
2010-08-01,193.454
2010-09-01,192.412
2010-10-01,194.283
2010-11-01,195.659
2010-12-01,198.28
2011-01-01,200.835
2011-02-01,203.037
2011-03-01,211.014
2011-04-01,216.867
2011-05-01,220.27
2011-06-01,216.88
2011-07-01,216.164
2011-08-01,216.057
2011-09-01,215.198
2011-10-01,212.127
2011-11-01,211.358
2011-12-01,208.585
2012-01-01,210.799
2012-02-01,214.429
2012-03-01,220.842
2012-04-01,223.083
2012-05-01,220.768
2012-06-01,216.369
2012-07-01,214.294
2012-08-01,219.11
2012-09-01,221.745
2012-10-01,220.232
2012-11-01,214.525
2012-12-01,211.853
2013-01-01,212.299
2013-02-01,219.491
2013-03-01,221.08
2013-04-01,218.592
2013-05-01,219.438
2013-06-01,220.044
2013-07-01,219.992
2013-08-01,219.217
2013-09-01,218.088
2013-10-01,214.943
2013-11-01,212.844
2013-12-01,212.911
2014-01-01,213.45
2014-02-01,214.673
2014-03-01,218.435
2014-04-01,221.972
2014-05-01,223.392
2014-06-01,223.543
2014-07-01,221.867
2014-08-01,218.279
2014-09-01,216.383
2014-10-01,212.626
2014-11-01,206.874
2014-12-01,199.777
2015-01-01,190.871
2015-02-01,193.944
2015-03-01,199.363
2015-04-01,200.245
2015-05-01,206.386
2015-06-01,208.012
2015-07-01,207.218
2015-08-01,203.377
2015-09-01,197.593
2015-10-01,195.858
2015-11-01,194.404
2015-12-01,191.528
2016-01-01,190.162
2016-02-01,187.345
2016-03-01,191.257
2016-04-01,195.491
2016-05-01,198.613
2016-06-01,200.262
2016-07-01,197.145
2016-08-01,195.198
2016-09-01,195.402
2016-10-01,196.185
2016-11-01,195.411
2016-12-01,196.252
2017-01-01,199.292
2017-02-01,199.147
2017-03-01,200.091
2017-04-01,202.389
2017-05-01,202.212
2017-06-01,201.263
2017-07-01,199.466
2017-08-01,200.652
2017-09-01,204.775
2017-10-01,202.457
2017-11-01,204.014
2017-12-01,203.023
2018-01-01,205.338
2018-02-01,207.359
2018-03-01,207.845
2018-04-01,210.734
2018-05-01,214.125
2018-06-01,214.679
2018-07-01,214.039
2018-08-01,213.482
2018-09-01,212.414
2018-10-01,213.482
2018-11-01,209.924
2018-12-01,204.541
2019-01-01,202.57
2019-02-01,204.236
2019-03-01,208.836
2019-04-01,214.142
2019-05-01,215.391
2019-06-01,213.073
2019-07-01,213.405
2019-08-01,211.084
2019-09-01,209.35
2019-10-01,210.487
2019-11-01,209.763
2019-12-01,208.482
2020-01-01,208.284
2020-02-01,207.772
2020-03-01,203.854
2020-04-01,193.732
2020-05-01,191.419
2020-06-01,195.609
2020-07-01,200.766
2020-08-01,202.386
2020-09-01,202.715
2020-10-01,203.086
2020-11-01,202.828
2020-12-01,203.56
2021-01-01,205.631
2021-02-01,209.054
2021-03-01,215.761
2021-04-01,222.547
2021-05-01,229.689
2021-06-01,237.701
2021-07-01,239.722
2021-08-01,238.333
2021-09-01,236.373
2021-10-01,241.042
2021-11-01,245.532
2021-12-01,246.499
2022-01-01,248.424
2022-02-01,253.15
2022-03-01,264.525
2022-04-01,266.892
2022-05-01,274.282
2022-06-01,284.644
2022-07-01,278.958
2022-08-01,270.334
2022-09-01,266.109
2022-10-01,267.979
2022-11-01,264.668
2022-12-01,255.993
2023-01-01,257.874
2023-02-01,259.712
2023-03-01,261.969
2023-04-01,267.402
2023-05-01,268.862
2023-06-01,270.146
2023-07-01,270.602
2023-08-01,274.22
2023-09-01,272.517
2023-10-01,270.027
2023-11-01,267.035
