"Date","CWUR0000SEGB"
1961-05-01,NA
1961-06-01,37.9
1961-07-01,NA
1961-08-01,NA
1961-09-01,38.1
1961-10-01,NA
1961-11-01,NA
1961-12-01,38
1962-01-01,NA
1962-02-01,NA
1962-03-01,38.5
1962-04-01,NA
1962-05-01,NA
1962-06-01,38.3
1962-07-01,NA
1962-08-01,NA
1962-09-01,38.3
1962-10-01,NA
1962-11-01,NA
1962-12-01,38.5
1963-01-01,NA
1963-02-01,NA
1963-03-01,38.3
1963-04-01,NA
1963-05-01,NA
1963-06-01,38.3
1963-07-01,NA
1963-08-01,NA
1963-09-01,38.7
1963-10-01,NA
1963-11-01,NA
1963-12-01,38.6
1964-01-01,NA
1964-02-01,NA
1964-03-01,NA
1964-04-01,NA
1964-05-01,NA
1964-06-01,38.5
1964-07-01,NA
1964-08-01,NA
1964-09-01,NA
1964-10-01,NA
1964-11-01,NA
1964-12-01,38.6
1965-01-01,NA
1965-02-01,NA
1965-03-01,NA
1965-04-01,NA
1965-05-01,NA
1965-06-01,38.8
1965-07-01,NA
1965-08-01,NA
1965-09-01,NA
1965-10-01,NA
1965-11-01,NA
1965-12-01,37.6
1966-01-01,NA
1966-02-01,NA
1966-03-01,37.8
1966-04-01,NA
1966-05-01,NA
1966-06-01,37.9
1966-07-01,NA
1966-08-01,NA
1966-09-01,38
1966-10-01,NA
1966-11-01,NA
1966-12-01,38.1
1967-01-01,38.1
1967-02-01,38.1
1967-03-01,38.2
1967-04-01,38.4
1967-05-01,38.5
1967-06-01,38.5
1967-07-01,38.5
1967-08-01,38.7
1967-09-01,38.8
1967-10-01,38.8
1967-11-01,38.9
1967-12-01,38.9
1968-01-01,39
1968-02-01,39
1968-03-01,39.1
1968-04-01,39.3
1968-05-01,39.4
1968-06-01,39.6
1968-07-01,39.7
1968-08-01,39.8
1968-09-01,40
1968-10-01,40.1
1968-11-01,40.5
1968-12-01,40.6
1969-01-01,40.7
1969-02-01,40.9
1969-03-01,41.1
1969-04-01,41.3
1969-05-01,41.3
1969-06-01,41.5
1969-07-01,41.7
1969-08-01,41.7
1969-09-01,41.8
1969-10-01,41.8
1969-11-01,41.8
1969-12-01,41.8
1970-01-01,41.9
1970-02-01,42.1
1970-03-01,42.3
1970-04-01,42.3
1970-05-01,42.4
1970-06-01,42.4
1970-07-01,42.5
1970-08-01,42.7
1970-09-01,42.7
1970-10-01,42.9
1970-11-01,42.9
1970-12-01,43.1
1971-01-01,43.2
1971-02-01,43.3
1971-03-01,43.5
1971-04-01,43.7
1971-05-01,43.7
1971-06-01,43.8
1971-07-01,44
1971-08-01,44.1
1971-09-01,44.2
1971-10-01,44.3
1971-11-01,44.2
1971-12-01,44.2
1972-01-01,44.3
1972-02-01,44.5
1972-03-01,44.6
1972-04-01,44.8
1972-05-01,45.1
1972-06-01,45.2
1972-07-01,45.2
1972-08-01,45.2
1972-09-01,45.3
1972-10-01,45.3
1972-11-01,45.3
1972-12-01,45.4
1973-01-01,45.5
1973-02-01,45.5
1973-03-01,45.7
1973-04-01,46
1973-05-01,46
1973-06-01,46
1973-07-01,46.1
1973-08-01,46.3
1973-09-01,46.4
1973-10-01,46.7
1973-11-01,47
1973-12-01,47.5
1974-01-01,47.8
1974-02-01,48.3
1974-03-01,48.7
1974-04-01,49.4
1974-05-01,50.2
1974-06-01,51
1974-07-01,51.7
1974-08-01,52.4
1974-09-01,53.2
1974-10-01,54.1
1974-11-01,54.6
1974-12-01,55.1
1975-01-01,55.7
1975-02-01,56.5
1975-03-01,57.1
1975-04-01,57.5
1975-05-01,57.6
1975-06-01,57.7
1975-07-01,58.1
1975-08-01,58.1
1975-09-01,58.3
1975-10-01,58.6
1975-11-01,58.9
1975-12-01,59.3
1976-01-01,59.9
1976-02-01,60.2
1976-03-01,60
1976-04-01,60.4
1976-05-01,60.5
1976-06-01,60.9
1976-07-01,61.1
1976-08-01,61.4
1976-09-01,61.6
1976-10-01,62
1976-11-01,62.4
1976-12-01,62.5
1977-01-01,63
1977-02-01,63
1977-03-01,63.2
1977-04-01,63.7
1977-05-01,64
1977-06-01,64.5
1977-07-01,64.7
1977-08-01,65.1
1977-09-01,65.2
1977-10-01,65.7
1977-11-01,66
1977-12-01,66.4
1978-01-01,66.7
1978-02-01,67
1978-03-01,67.2
1978-04-01,67.3
1978-05-01,67.6
1978-06-01,67.7
1978-07-01,68.2
1978-08-01,68.5
1978-09-01,68.7
1978-10-01,69
1978-11-01,69.6
1978-12-01,69.6
1979-01-01,70.3
1979-02-01,71.2
1979-03-01,71.6
1979-04-01,71.7
1979-05-01,72.3
1979-06-01,72.4
1979-07-01,72.5
1979-08-01,73.3
1979-09-01,73.6
1979-10-01,73.8
1979-11-01,74.1
1979-12-01,74.9
1980-01-01,75.6
1980-02-01,76.4
1980-03-01,76.9
1980-04-01,77.8
1980-05-01,78.6
1980-06-01,78.8
1980-07-01,79.6
1980-08-01,80.4
1980-09-01,81.1
1980-10-01,81.7
1980-11-01,82
1980-12-01,82.6
1981-01-01,83.3
1981-02-01,84.2
1981-03-01,85.1
1981-04-01,85.7
1981-05-01,86.9
1981-06-01,87.5
1981-07-01,88
1981-08-01,88.4
1981-09-01,89
1981-10-01,89.2
1981-11-01,89.8
1981-12-01,90.7
1982-01-01,91.3
1982-02-01,92.2
1982-03-01,93
1982-04-01,94.3
1982-05-01,94.6
1982-06-01,95.2
1982-07-01,95.8
1982-08-01,96.5
1982-09-01,96.3
1982-10-01,97.1
1982-11-01,97.9
1982-12-01,97.5
1983-01-01,98.2
1983-02-01,98.9
1983-03-01,99.3
1983-04-01,99.9
1983-05-01,99.9
1983-06-01,101
1983-07-01,101.3
1983-08-01,101.2
1983-09-01,101.3
1983-10-01,101.7
1983-11-01,102.7
1983-12-01,102.9
1984-01-01,103.1
1984-02-01,103.5
1984-03-01,102.7
1984-04-01,103.3
1984-05-01,103.4
1984-06-01,103.8
1984-07-01,104.4
1984-08-01,104.6
1984-09-01,105
1984-10-01,105
1984-11-01,105.6
1984-12-01,105.6
1985-01-01,105.8
1985-02-01,106.3
1985-03-01,106.5
1985-04-01,106.9
1985-05-01,107
1985-06-01,107.2
1985-07-01,107.6
1985-08-01,107.9
1985-09-01,108.3
1985-10-01,108.7
1985-11-01,108.6
1985-12-01,109.2
1986-01-01,110.2
1986-02-01,110.5
1986-03-01,111
1986-04-01,111.1
1986-05-01,111.2
1986-06-01,110.8
1986-07-01,110.9
1986-08-01,111.6
1986-09-01,111.2
1986-10-01,111.9
1986-11-01,111.9
1986-12-01,111.9
1987-01-01,112.5
1987-02-01,113
1987-03-01,112.8
1987-04-01,113.1
1987-05-01,113.6
1987-06-01,113.6
1987-07-01,114.1
1987-08-01,114.3
1987-09-01,114.6
1987-10-01,115
1987-11-01,115
1987-12-01,115.1
1988-01-01,116
1988-02-01,116.2
1988-03-01,116.5
1988-04-01,117
1988-05-01,117.1
1988-06-01,117.4
1988-07-01,117.8
1988-08-01,117.4
1988-09-01,118.8
1988-10-01,119.9
1988-11-01,120.6
1988-12-01,121.5
1989-01-01,121.7
1989-02-01,121.9
1989-03-01,122.3
1989-04-01,122.7
1989-05-01,122.9
1989-06-01,122.4
1989-07-01,122.8
1989-08-01,123.8
1989-09-01,124.1
1989-10-01,124.6
1989-11-01,125.1
1989-12-01,124.7
1990-01-01,124.9
1990-02-01,126
1990-03-01,126.8
1990-04-01,128.2
1990-05-01,128.1
1990-06-01,129.1
1990-07-01,128.2
1990-08-01,128.2
1990-09-01,128.8
1990-10-01,129.4
1990-11-01,129.6
1990-12-01,130
1991-01-01,130.3
1991-02-01,131.4
1991-03-01,131.7
1991-04-01,133.2
1991-05-01,133
1991-06-01,132.4
1991-07-01,133.6
1991-08-01,134.2
1991-09-01,133.6
1991-10-01,133.8
1991-11-01,134.1
1991-12-01,133.7
1992-01-01,135.2
1992-02-01,136.3
1992-03-01,136.7
1992-04-01,137.7
1992-05-01,136.7
1992-06-01,136.4
1992-07-01,138.2
1992-08-01,137.9
1992-09-01,137.6
1992-10-01,137.5
1992-11-01,137.5
1992-12-01,138.6
1993-01-01,138.3
1993-02-01,137.7
1993-03-01,139.1
1993-04-01,138.7
1993-05-01,139.4
1993-06-01,139.6
1993-07-01,140.6
1993-08-01,140.3
1993-09-01,140.2
1993-10-01,140.3
1993-11-01,140.7
1993-12-01,140.7
1994-01-01,141
1994-02-01,140.5
1994-03-01,140.3
1994-04-01,142.2
1994-05-01,142.4
1994-06-01,142.3
1994-07-01,142.5
1994-08-01,142.6
1994-09-01,142.6
1994-10-01,142.8
1994-11-01,143.1
1994-12-01,143.5
1995-01-01,143.1
1995-02-01,143.4
1995-03-01,142.9
1995-04-01,143.1
1995-05-01,143.7
1995-06-01,143.5
1995-07-01,143.3
1995-08-01,143.8
1995-09-01,143.7
1995-10-01,145.1
1995-11-01,145.4
1995-12-01,144.7
1996-01-01,144.4
1996-02-01,144.6
1996-03-01,144.6
1996-04-01,144.7
1996-05-01,146
1996-06-01,144.6
1996-07-01,145
1996-08-01,145.6
1996-09-01,145.7
1996-10-01,145.4
1996-11-01,145.4
1996-12-01,143.5
1997-01-01,144.4
1997-02-01,144.2
1997-03-01,144.3
1997-04-01,145.4
1997-05-01,145
1997-06-01,145
1997-07-01,144.6
1997-08-01,144.4
1997-09-01,144.7
1997-10-01,145.4
1997-11-01,147.1
1997-12-01,146.1
1998-01-01,147
1998-02-01,147.6
1998-03-01,148.2
1998-04-01,148.4
1998-05-01,150.5
1998-06-01,150.3
1998-07-01,150.1
1998-08-01,149.6
1998-09-01,150.1
1998-10-01,150.4
1998-11-01,149.8
1998-12-01,149.6
1999-01-01,150.7
1999-02-01,150.8
1999-03-01,151.6
1999-04-01,151.7
1999-05-01,151.6
1999-06-01,153.3
1999-07-01,152.7
1999-08-01,153.1
1999-09-01,153.7
1999-10-01,154.1
1999-11-01,154
1999-12-01,153.1
2000-01-01,153.4
2000-02-01,153.2
2000-03-01,154.1
2000-04-01,153.9
2000-05-01,153.4
2000-06-01,154
2000-07-01,154.1
2000-08-01,155
2000-09-01,155.1
2000-10-01,153.9
2000-11-01,154.2
2000-12-01,155.8
2001-01-01,155.7
2001-02-01,155.7
2001-03-01,155.9
2001-04-01,156
2001-05-01,153.8
2001-06-01,155.4
2001-07-01,155.9
2001-08-01,155.5
2001-09-01,156.1
2001-10-01,156.1
2001-11-01,156.1
2001-12-01,156
2002-01-01,155.9
2002-02-01,156.3
2002-03-01,156
2002-04-01,156.2
2002-05-01,155.4
2002-06-01,156.2
2002-07-01,155.3
2002-08-01,155.1
2002-09-01,155.2
2002-10-01,155.5
2002-11-01,155
2002-12-01,154.2
2003-01-01,153.8
2003-02-01,154
2003-03-01,153.8
2003-04-01,154.6
2003-05-01,154.2
2003-06-01,154.4
2003-07-01,154.8
2003-08-01,154.3
2003-09-01,154
2003-10-01,154.1
2003-11-01,153.8
2003-12-01,154
2004-01-01,154.3
2004-02-01,155
2004-03-01,155
2004-04-01,155.1
2004-05-01,155.1
2004-06-01,154.3
2004-07-01,153.9
2004-08-01,153.1
2004-09-01,154
2004-10-01,154.3
2004-11-01,154.3
2004-12-01,153.8
2005-01-01,153.3
2005-02-01,154.2
2005-03-01,153.3
2005-04-01,153.6
2005-05-01,154.5
2005-06-01,154.5
2005-07-01,155.4
2005-08-01,155.4
2005-09-01,155
2005-10-01,155
2005-11-01,154.9
2005-12-01,155.4
2006-01-01,155.8
2006-02-01,155.6
2006-03-01,155.2
2006-04-01,155
2006-05-01,154.7
2006-06-01,155.1
2006-07-01,155
2006-08-01,155
2006-09-01,156.3
2006-10-01,156.5
2006-11-01,156
2006-12-01,158.6
2007-01-01,157.505
2007-02-01,157.992
2007-03-01,158.528
2007-04-01,158.578
2007-05-01,158.566
2007-06-01,158.739
2007-07-01,158.445
2007-08-01,157.813
2007-09-01,157.654
2007-10-01,158.408
2007-11-01,158.579
2007-12-01,158.407
2008-01-01,158.167
2008-02-01,157.877
2008-03-01,158.73
2008-04-01,159.585
2008-05-01,158.993
2008-06-01,159.052
2008-07-01,159.237
2008-08-01,159.345
2008-09-01,159.73
2008-10-01,159.914
2008-11-01,160.994
2008-12-01,161.295
2009-01-01,162.683
2009-02-01,162.543
2009-03-01,162.516
2009-04-01,163.911
2009-05-01,163.119
2009-06-01,162.165
2009-07-01,162.767
2009-08-01,162.415
2009-09-01,162.312
2009-10-01,162.242
2009-11-01,161.784
2009-12-01,162.231
2010-01-01,161.689
2010-02-01,162.073
2010-03-01,162.417
2010-04-01,161.604
2010-05-01,160.289
2010-06-01,159.9
2010-07-01,161.416
2010-08-01,161.376
2010-09-01,161.132
2010-10-01,160.174
2010-11-01,160.801
2010-12-01,161.217
2011-01-01,161.462
2011-02-01,161.974
2011-03-01,161.667
2011-04-01,162.088
2011-05-01,160.083
2011-06-01,160.78
2011-07-01,160.567
2011-08-01,159.655
2011-09-01,160.623
2011-10-01,160.97
2011-11-01,161.716
2011-12-01,160.954
2012-01-01,161.473
2012-02-01,161.121
2012-03-01,163.005
2012-04-01,163.267
2012-05-01,161.533
2012-06-01,162.074
2012-07-01,162.437
2012-08-01,162.992
2012-09-01,163.139
2012-10-01,162.663
2012-11-01,162.419
2012-12-01,161.02
2013-01-01,160.595
2013-02-01,160.761
2013-03-01,162.727
2013-04-01,162.179
2013-05-01,161.329
2013-06-01,161.764
2013-07-01,161.463
2013-08-01,162.738
2013-09-01,162.878
2013-10-01,162.652
2013-11-01,162.747
2013-12-01,162.769
2014-01-01,163.106
2014-02-01,163.259
2014-03-01,163.389
2014-04-01,163.58
2014-05-01,162.985
2014-06-01,162.945
2014-07-01,163.689
2014-08-01,164.374
2014-09-01,164.918
2014-10-01,164.801
2014-11-01,163.465
2014-12-01,163.013
2015-01-01,165.075
2015-02-01,164.88
2015-03-01,164.678
2015-04-01,163.993
2015-05-01,163.628
2015-06-01,162.998
2015-07-01,162.699
2015-08-01,162.129
2015-09-01,162.71
2015-10-01,163.849
2015-11-01,163.559
2015-12-01,163.353
2016-01-01,163.597
2016-02-01,164.108
2016-03-01,163.978
2016-04-01,163.787
2016-05-01,163.288
2016-06-01,162.439
2016-07-01,162.941
2016-08-01,163.526
2016-09-01,163.207
2016-10-01,162.694
2016-11-01,162.436
2016-12-01,162.829
2017-01-01,162.574
2017-02-01,162.557
2017-03-01,161.409
2017-04-01,161.942
2017-05-01,161.238
2017-06-01,161.827
2017-07-01,161.604
2017-08-01,160.808
2017-09-01,161.577
2017-10-01,161.507
2017-11-01,162.237
2017-12-01,161.421
2018-01-01,162.148
2018-02-01,162.249
2018-03-01,162.241
2018-04-01,162.061
2018-05-01,161.805
2018-06-01,161.352
2018-07-01,161.54
2018-08-01,161.482
2018-09-01,161.592
2018-10-01,161.391
2018-11-01,161.138
2018-12-01,161.119
2019-01-01,161.789
2019-02-01,161.068
2019-03-01,160.413
2019-04-01,161.183
2019-05-01,160.875
2019-06-01,160.418
2019-07-01,161.335
2019-08-01,161.113
2019-09-01,160.985
2019-10-01,161.795
2019-11-01,161.852
2019-12-01,160.147
2020-01-01,160.176
2020-02-01,161.886
2020-03-01,161.605
2020-04-01,161.378
2020-05-01,160.951
2020-06-01,160.231
2020-07-01,160.957
2020-08-01,160.97
2020-09-01,160.592
2020-10-01,160.404
2020-11-01,160.238
2020-12-01,159.174
2021-01-01,160.298
2021-02-01,160.742
2021-03-01,160.289
2021-04-01,160.623
2021-05-01,159.964
2021-06-01,159.471
2021-07-01,159.319
2021-08-01,160.116
2021-09-01,159.963
2021-10-01,160.274
2021-11-01,159.422
2021-12-01,159.027
2022-01-01,159.913
2022-02-01,161.286
2022-03-01,163.104
2022-04-01,163.573
2022-05-01,164.082
2022-06-01,165.344
2022-07-01,166.921
2022-08-01,169.599
2022-09-01,170.217
2022-10-01,170.659
2022-11-01,171.071
2022-12-01,170.918
2023-01-01,171.413
2023-02-01,172.246
2023-03-01,173.767
2023-04-01,174.385
2023-05-01,176.431
2023-06-01,176.594
2023-07-01,177.525
2023-08-01,178.052
2023-09-01,178.667
2023-10-01,179.818
2023-11-01,178.87
