"Date","CUUR0000SEGA"
1964-09-01,NA
1964-10-01,NA
1964-11-01,NA
1964-12-01,31.2
1965-01-01,NA
1965-02-01,NA
1965-03-01,NA
1965-04-01,NA
1965-05-01,NA
1965-06-01,32.4
1965-07-01,NA
1965-08-01,NA
1965-09-01,NA
1965-10-01,NA
1965-11-01,NA
1965-12-01,33.6
1966-01-01,NA
1966-02-01,NA
1966-03-01,33.6
1966-04-01,NA
1966-05-01,NA
1966-06-01,34.2
1966-07-01,NA
1966-08-01,NA
1966-09-01,34.7
1966-10-01,NA
1966-11-01,NA
1966-12-01,34.7
1967-01-01,34.7
1967-02-01,34.7
1967-03-01,34.7
1967-04-01,34.7
1967-05-01,34.7
1967-06-01,34.9
1967-07-01,35.3
1967-08-01,35.9
1967-09-01,36.3
1967-10-01,36.5
1967-11-01,36.8
1967-12-01,36.9
1968-01-01,37.2
1968-02-01,37.2
1968-03-01,37.2
1968-04-01,37.2
1968-05-01,37.2
1968-06-01,37.8
1968-07-01,37.9
1968-08-01,38
1968-09-01,38.1
1968-10-01,38.2
1968-11-01,38.3
1968-12-01,38.3
1969-01-01,38.4
1969-02-01,38.5
1969-03-01,38.5
1969-04-01,38.6
1969-05-01,38.6
1969-06-01,39.1
1969-07-01,39.8
1969-08-01,40.4
1969-09-01,40.9
1969-10-01,41.1
1969-11-01,41.6
1969-12-01,41.7
1970-01-01,41.8
1970-02-01,42
1970-03-01,42.1
1970-04-01,42.5
1970-05-01,42.5
1970-06-01,42.9
1970-07-01,43.3
1970-08-01,43.7
1970-09-01,43.9
1970-10-01,43.9
1970-11-01,44
1970-12-01,44
1971-01-01,44.1
1971-02-01,44.1
1971-03-01,44.1
1971-04-01,44.2
1971-05-01,44.3
1971-06-01,44.5
1971-07-01,45.1
1971-08-01,45.4
1971-09-01,45.8
1971-10-01,45.8
1971-11-01,45.8
1971-12-01,45.9
1972-01-01,46.3
1972-02-01,46.9
1972-03-01,47.1
1972-04-01,47.1
1972-05-01,47.3
1972-06-01,47.6
1972-07-01,47.6
1972-08-01,47.6
1972-09-01,47.7
1972-10-01,47.7
1972-11-01,47.7
1972-12-01,47.7
1973-01-01,47.7
1973-02-01,47.8
1973-03-01,48.1
1973-04-01,48.5
1973-05-01,48.7
1973-06-01,48.8
1973-07-01,49
1973-08-01,49
1973-09-01,49
1973-10-01,49.1
1973-11-01,49.1
1973-12-01,49.2
1974-01-01,49.3
1974-02-01,49.4
1974-03-01,49.5
1974-04-01,49.6
1974-05-01,49.9
1974-06-01,50.7
1974-07-01,51.5
1974-08-01,51.9
1974-09-01,52
1974-10-01,52.4
1974-11-01,52.9
1974-12-01,53.6
1975-01-01,54
1975-02-01,54.3
1975-03-01,54.4
1975-04-01,54.4
1975-05-01,54.5
1975-06-01,54.6
1975-07-01,54.7
1975-08-01,54.9
1975-09-01,54.9
1975-10-01,54.8
1975-11-01,55
1975-12-01,55.7
1976-01-01,56.2
1976-02-01,56.6
1976-03-01,56.7
1976-04-01,56.8
1976-05-01,56.9
1976-06-01,56.9
1976-07-01,57
1976-08-01,57
1976-09-01,57.1
1976-10-01,57.2
1976-11-01,57.8
1976-12-01,58.2
1977-01-01,58.8
1977-02-01,58.9
1977-03-01,59
1977-04-01,59
1977-05-01,59
1977-06-01,59.1
1977-07-01,59.4
1977-08-01,59.5
1977-09-01,60.4
1977-10-01,61
1977-11-01,61.4
1977-12-01,61.5
1978-01-01,61.6
1978-02-01,61.7
1978-03-01,61.7
1978-04-01,61.8
1978-05-01,61.8
1978-06-01,62.1
1978-07-01,63.9
1978-08-01,64.2
1978-09-01,64.2
1978-10-01,64.3
1978-11-01,64.3
1978-12-01,64.3
1979-01-01,65
1979-02-01,65.8
1979-03-01,66
1979-04-01,66.1
1979-05-01,66.2
1979-06-01,66.2
1979-07-01,66.4
1979-08-01,67.5
1979-09-01,67.8
1979-10-01,68
1979-11-01,68
1979-12-01,68.2
1980-01-01,69.9
1980-02-01,70.4
1980-03-01,70.5
1980-04-01,70.6
1980-05-01,71.2
1980-06-01,72.3
1980-07-01,72.4
1980-08-01,72.6
1980-09-01,72.6
1980-10-01,72.6
1980-11-01,73.6
1980-12-01,74.9
1981-01-01,75.3
1981-02-01,75.4
1981-03-01,75.5
1981-04-01,75.8
1981-05-01,77.5
1981-06-01,77.8
1981-07-01,77.9
1981-08-01,78.1
1981-09-01,78.8
1981-10-01,80
1981-11-01,80.4
1981-12-01,80.6
1982-01-01,80.7
1982-02-01,82
1982-03-01,83.2
1982-04-01,83.5
1982-05-01,84.3
1982-06-01,84.5
1982-07-01,85
1982-08-01,85.3
1982-09-01,87.7
1982-10-01,91.4
1982-11-01,93.8
1982-12-01,96.7
1983-01-01,99.6
1983-02-01,100.5
1983-03-01,100.6
1983-04-01,101.2
1983-05-01,101.4
1983-06-01,101.6
1983-07-01,104.7
1983-08-01,105.8
1983-09-01,105.9
1983-10-01,106.2
1983-11-01,106.5
1983-12-01,106.5
1984-01-01,108.1
1984-02-01,108.5
1984-03-01,108.6
1984-04-01,108.7
1984-05-01,108.7
1984-06-01,109.5
1984-07-01,111.3
1984-08-01,111.5
1984-09-01,111.6
1984-10-01,111.8
1984-11-01,111.8
1984-12-01,111.8
1985-01-01,114
1985-02-01,114.8
1985-03-01,115
1985-04-01,115.1
1985-05-01,115.1
1985-06-01,115.4
1985-07-01,117.2
1985-08-01,117.8
1985-09-01,118.2
1985-10-01,118.8
1985-11-01,118.9
1985-12-01,119.9
1986-01-01,121.7
1986-02-01,122.5
1986-03-01,122.8
1986-04-01,123.1
1986-05-01,123.1
1986-06-01,123.3
1986-07-01,125.9
1986-08-01,126.5
1986-09-01,126.8
1986-10-01,126.9
1986-11-01,126.9
1986-12-01,127
1987-01-01,129.6
1987-02-01,130.8
1987-03-01,131.3
1987-04-01,131.6
1987-05-01,131.8
1987-06-01,132.4
1987-07-01,135
1987-08-01,135.3
1987-09-01,135.9
1987-10-01,136.3
1987-11-01,136.5
1987-12-01,137
1988-01-01,140.8
1988-02-01,142.2
1988-03-01,142.8
1988-04-01,142.9
1988-05-01,143.2
1988-06-01,143.6
1988-07-01,147.5
1988-08-01,148.6
1988-09-01,148.9
1988-10-01,149.3
1988-11-01,149.7
1988-12-01,149.9
1989-01-01,157
1989-02-01,158.5
1989-03-01,159.2
1989-04-01,159.5
1989-05-01,161.1
1989-06-01,164.2
1989-07-01,167.5
1989-08-01,168.8
1989-09-01,168.2
1989-10-01,168.8
1989-11-01,168.6
1989-12-01,171.9
1990-01-01,174.1
1990-02-01,175
1990-03-01,175.1
1990-04-01,175.6
1990-05-01,176.7
1990-06-01,180.9
1990-07-01,185.7
1990-08-01,185.8
1990-09-01,185.8
1990-10-01,185.9
1990-11-01,187.2
1990-12-01,190.5
1991-01-01,195.8
1991-02-01,196.7
1991-03-01,197.6
1991-04-01,199.2
1991-05-01,199.6
1991-06-01,202.9
1991-07-01,203.7
1991-08-01,204.7
1991-09-01,205.7
1991-10-01,206.1
1991-11-01,209
1991-12-01,211.7
1992-01-01,212.6
1992-02-01,213.4
1992-03-01,213.5
1992-04-01,214.5
1992-05-01,219.3
1992-06-01,219.2
1992-07-01,220.5
1992-08-01,221.5
1992-09-01,224
1992-10-01,225.6
1992-11-01,225
1992-12-01,228.9
1993-01-01,234.6
1993-02-01,235.6
1993-03-01,236.3
1993-04-01,237.3
1993-05-01,237.9
1993-06-01,236.2
1993-07-01,235.8
1993-08-01,227.9
1993-09-01,215.1
1993-10-01,214
1993-11-01,214.5
1993-12-01,215.5
1994-01-01,217.6
1994-02-01,217.4
1994-03-01,217.7
1994-04-01,218
1994-05-01,220.6
1994-06-01,220.6
1994-07-01,221.3
1994-08-01,221.7
1994-09-01,220.8
1994-10-01,221.3
1994-11-01,221.4
1994-12-01,222
1995-01-01,222.2
1995-02-01,222.7
1995-03-01,222.5
1995-04-01,223
1995-05-01,225.3
1995-06-01,226.4
1995-07-01,226.2
1995-08-01,227.4
1995-09-01,228.2
1995-10-01,228
1995-11-01,228.9
1995-12-01,228.1
1996-01-01,229.3
1996-02-01,229.8
1996-03-01,230.8
1996-04-01,230.5
1996-05-01,233.1
1996-06-01,232.9
1996-07-01,233.3
1996-08-01,233.4
1996-09-01,234.1
1996-10-01,235.3
1996-11-01,236.2
1996-12-01,234.3
1997-01-01,236.4
1997-02-01,237.4
1997-03-01,238.2
1997-04-01,243.2
1997-05-01,243.8
1997-06-01,241.3
1997-07-01,242
1997-08-01,243.4
1997-09-01,246.5
1997-10-01,250.2
1997-11-01,250.7
1997-12-01,251.2
1998-01-01,253.8
1998-02-01,261.2
1998-03-01,254.1
1998-04-01,263.5
1998-05-01,270
1998-06-01,266.9
1998-07-01,273.2
1998-08-01,273.7
1998-09-01,283.5
1998-10-01,284.9
1998-11-01,281.3
1998-12-01,331.2
1999-01-01,354.2
1999-02-01,348.7
1999-03-01,335.9
1999-04-01,349.9
1999-05-01,345.5
1999-06-01,343.2
1999-07-01,356
1999-08-01,350.1
1999-09-01,373.8
1999-10-01,373.3
1999-11-01,369.8
1999-12-01,369.1
2000-01-01,375.1
2000-02-01,383
2000-03-01,387.3
2000-04-01,404.4
2000-05-01,393.5
2000-06-01,388.5
2000-07-01,400.7
2000-08-01,394.1
2000-09-01,408
2000-10-01,396.7
2000-11-01,411
2000-12-01,396.6
2001-01-01,404.3
2001-02-01,408.5
2001-03-01,407.7
2001-04-01,424.2
2001-05-01,418.7
2001-06-01,421
2001-07-01,441.2
2001-08-01,424.6
2001-09-01,444
2001-10-01,429.9
2001-11-01,446.7
2001-12-01,431.7
2002-01-01,432.8
2002-02-01,449.3
2002-03-01,433.4
2002-04-01,461.4
2002-05-01,449
2002-06-01,467.4
2002-07-01,467.2
2002-08-01,478.2
2002-09-01,485.8
2002-10-01,470.6
2002-11-01,470.4
2002-12-01,472.5
2003-01-01,472.4
2003-02-01,472.7
2003-03-01,467.2
2003-04-01,467.9
2003-05-01,465.6
2003-06-01,463.5
2003-07-01,469.1
2003-08-01,471.8
2003-09-01,468.7
2003-10-01,469.5
2003-11-01,469.1
2003-12-01,470.4
2004-01-01,473
2004-02-01,472.6
2004-03-01,473.6
2004-04-01,473.3
2004-05-01,473.5
2004-06-01,476
2004-07-01,480.5
2004-08-01,481.6
2004-09-01,482.9
2004-10-01,482.3
2004-11-01,481.7
2004-12-01,484.8
2005-01-01,493.9
2005-02-01,496.1
2005-03-01,496.6
2005-04-01,497
2005-05-01,498
2005-06-01,497.8
2005-07-01,503.4
2005-08-01,506.5
2005-09-01,510.1
2005-10-01,509.4
2005-11-01,511.2
2005-12-01,513.1
2006-01-01,515.1
2006-02-01,515.9
2006-03-01,519
2006-04-01,518.1
2006-05-01,517.5
2006-06-01,521.5
2006-07-01,521.5
2006-08-01,521.1
2006-09-01,520.8
2006-10-01,521.1
2006-11-01,519.4
2006-12-01,527.3
2007-01-01,543.477
2007-02-01,548.896
2007-03-01,550.021
2007-04-01,547.663
2007-05-01,549.703
2007-06-01,552.314
2007-07-01,553.987
2007-08-01,555.217
2007-09-01,559.636
2007-10-01,560.626
2007-11-01,561.967
2007-12-01,566.696
2008-01-01,572.684
2008-02-01,575.227
2008-03-01,574.89
2008-04-01,576.359
2008-05-01,581.185
2008-06-01,589.904
2008-07-01,596.782
2008-08-01,597.361
2008-09-01,597.581
2008-10-01,599.744
2008-11-01,599.82
2008-12-01,602.644
2009-01-01,607.403
2009-02-01,611.549
2009-03-01,679.078
2009-04-01,742.443
2009-05-01,740.311
2009-06-01,746.283
2009-07-01,762.907
2009-08-01,763.634
2009-09-01,771.089
2009-10-01,773.758
2009-11-01,781.538
2009-12-01,783.794
2010-01-01,786.857
2010-02-01,785.714
2010-03-01,787.268
2010-04-01,788.066
2010-05-01,798.192
2010-06-01,806.154
2010-07-01,819.214
2010-08-01,822.662
2010-09-01,823.766
2010-10-01,821.529
2010-11-01,820.854
2010-12-01,827.68
2011-01-01,828.079
2011-02-01,829.535
2011-03-01,830.693
2011-04-01,827.287
2011-05-01,825.69
2011-06-01,828.86
2011-07-01,833.067
2011-08-01,837.427
2011-09-01,843.141
2011-10-01,842.785
2011-11-01,843.604
2011-12-01,847.063
2012-01-01,851.016
2012-02-01,847.88
2012-03-01,845.76
2012-04-01,847.032
2012-05-01,845.622
2012-06-01,849.078
2012-07-01,858.73
2012-08-01,857.727
2012-09-01,859.094
2012-10-01,858.115
2012-11-01,858.504
2012-12-01,862.945
2013-01-01,867.646
2013-02-01,865.607
2013-03-01,863.888
2013-04-01,869.057
2013-05-01,868.983
2013-06-01,869.824
2013-07-01,881.77
2013-08-01,885.588
2013-09-01,886.493
2013-10-01,887.056
2013-11-01,885.518
2013-12-01,890.438
2014-01-01,896.539
2014-02-01,895.29
2014-03-01,895.841
2014-04-01,896.306
2014-05-01,898.143
2014-06-01,907.216
2014-07-01,904.614
2014-08-01,904.961
2014-09-01,904.487
2014-10-01,909.872
2014-11-01,909.61
2014-12-01,916.707
2015-01-01,917.733
2015-02-01,918.602
2015-03-01,919.24
2015-04-01,917.843
2015-05-01,920.372
2015-06-01,929.542
2015-07-01,935.913
2015-08-01,939.082
2015-09-01,938.348
2015-10-01,940.901
2015-11-01,943.157
2015-12-01,949.439
2016-01-01,952.536
2016-02-01,951.247
2016-03-01,953.512
2016-04-01,952.185
2016-05-01,953.769
2016-06-01,962.838
2016-07-01,962.63
2016-08-01,969.004
2016-09-01,970.921
2016-10-01,973.535
2016-11-01,975.11
2016-12-01,983.271
2017-01-01,984.721
2017-02-01,984.756
2017-03-01,987.91
2017-04-01,1025.961
2017-05-01,1026.125
2017-06-01,1028.777
2017-07-01,1030.729
2017-08-01,1029.619
2017-09-01,1031.891
2017-10-01,1047.932
2017-11-01,1048.219
2017-12-01,1046.785
2018-01-01,1050.073
2018-02-01,1049.343
2018-03-01,1046.45
2018-04-01,1056.874
2018-05-01,1059.665
2018-06-01,1060.067
2018-07-01,1062.895
2018-08-01,1064.098
2018-09-01,1065.017
2018-10-01,1081.193
2018-11-01,1083.514
2018-12-01,1082.248
2019-01-01,1085.997
2019-02-01,1088.195
2019-03-01,1103.24
2019-04-01,1105.201
2019-05-01,1108.299
2019-06-01,1109.099
2019-07-01,1120.066
2019-08-01,1124.082
2019-09-01,1128.109
2019-10-01,1134.55
2019-11-01,1142.857
2019-12-01,1141.6
2020-01-01,1144.642
2020-02-01,1148.752
2020-03-01,1162.66
2020-04-01,1159.847
2020-05-01,1156.179
2020-06-01,1165.761
2020-07-01,1178.054
2020-08-01,1180.537
2020-09-01,1183.975
2020-10-01,1186.127
2020-11-01,1192.609
2020-12-01,1199.508
2021-01-01,1220.942
2021-02-01,1228.75
2021-03-01,1236.352
2021-04-01,1238.348
2021-05-01,1240.082
2021-06-01,1247.577
2021-07-01,1253.276
2021-08-01,1254.492
2021-09-01,1263.542
2021-10-01,1287.067
2021-11-01,1298.746
2021-12-01,1308.024
2022-01-01,1306.913
2022-02-01,1314.838
2022-03-01,1321.917
2022-04-01,1327.276
2022-05-01,1338.572
2022-06-01,1346.046
2022-07-01,1349.636
2022-08-01,1364.765
2022-09-01,1367.458
2022-10-01,1371.864
2022-11-01,1380.951
2022-12-01,1379.589
2023-01-01,1388.79
2023-02-01,1402.834
2023-03-01,1413.38
2023-04-01,1414.924
2023-05-01,1423.094
2023-06-01,1424.29
2023-07-01,1431.302
2023-08-01,1440.574
2023-09-01,1443.712
2023-10-01,1471.019
2023-11-01,1487.792
