"Date","CWUR0000SETB"
1956-01-01,NA
1956-02-01,NA
1956-03-01,22.3
1956-04-01,NA
1956-05-01,NA
1956-06-01,22.6
1956-07-01,NA
1956-08-01,NA
1956-09-01,23.3
1956-10-01,NA
1956-11-01,NA
1956-12-01,23.1
1957-01-01,23.2
1957-02-01,23.7
1957-03-01,23.9
1957-04-01,23.9
1957-05-01,23.8
1957-06-01,23.8
1957-07-01,23.9
1957-08-01,23.5
1957-09-01,23.6
1957-10-01,23.5
1957-11-01,23.7
1957-12-01,23.6
1958-01-01,23.7
1958-02-01,23
1958-03-01,23.3
1958-04-01,23
1958-05-01,23.3
1958-06-01,23.2
1958-07-01,23.7
1958-08-01,24
1958-09-01,23.7
1958-10-01,23.5
1958-11-01,23
1958-12-01,22.7
1959-01-01,22.7
1959-02-01,23.1
1959-03-01,23.3
1959-04-01,23.5
1959-05-01,23.3
1959-06-01,23.5
1959-07-01,23.4
1959-08-01,23.9
1959-09-01,23.7
1959-10-01,24.4
1959-11-01,24.3
1959-12-01,24.3
1960-01-01,24.1
1960-02-01,23.8
1960-03-01,24
1960-04-01,24
1960-05-01,23.8
1960-06-01,24.2
1960-07-01,24.5
1960-08-01,24.8
1960-09-01,24.7
1960-10-01,24.4
1960-11-01,24.8
1960-12-01,24.6
1961-01-01,24.7
1961-02-01,24.3
1961-03-01,24.2
1961-04-01,23.3
1961-05-01,23.5
1961-06-01,23.8
1961-07-01,24.1
1961-08-01,24.3
1961-09-01,24.4
1961-10-01,24.1
1961-11-01,24.2
1961-12-01,23.7
1962-01-01,23.9
1962-02-01,24.1
1962-03-01,23.8
1962-04-01,24.4
1962-05-01,24.2
1962-06-01,24
1962-07-01,23.5
1962-08-01,23.9
1962-09-01,24.8
1962-10-01,24.6
1962-11-01,24.4
1962-12-01,24.7
1963-01-01,24.5
1963-02-01,24.3
1963-03-01,24.2
1963-04-01,23.9
1963-05-01,24
1963-06-01,23.7
1963-07-01,24.2
1963-08-01,24.6
1963-09-01,24
1963-10-01,24.2
1963-11-01,24
1963-12-01,24.1
1964-01-01,NA
1964-02-01,NA
1964-03-01,NA
1964-04-01,NA
1964-05-01,NA
1964-06-01,24
1964-07-01,NA
1964-08-01,NA
1964-09-01,NA
1964-10-01,NA
1964-11-01,NA
1964-12-01,24.1
1965-01-01,NA
1965-02-01,NA
1965-03-01,NA
1965-04-01,NA
1965-05-01,NA
1965-06-01,25.1
1965-07-01,NA
1965-08-01,NA
1965-09-01,NA
1965-10-01,NA
1965-11-01,NA
1965-12-01,25.1
1966-01-01,NA
1966-02-01,NA
1966-03-01,25.2
1966-04-01,NA
1966-05-01,NA
1966-06-01,25.3
1966-07-01,NA
1966-08-01,NA
1966-09-01,25.8
1966-10-01,NA
1966-11-01,NA
1966-12-01,25.9
1967-01-01,26.1
1967-02-01,25.9
1967-03-01,26.1
1967-04-01,26.3
1967-05-01,26.2
1967-06-01,26.4
1967-07-01,26.3
1967-08-01,26.3
1967-09-01,26.6
1967-10-01,26.3
1967-11-01,26.6
1967-12-01,26.2
1968-01-01,26.6
1968-02-01,26.6
1968-03-01,26.7
1968-04-01,26.4
1968-05-01,26.4
1968-06-01,26.6
1968-07-01,26.7
1968-08-01,26.9
1968-09-01,26.8
1968-10-01,26.9
1968-11-01,26.9
1968-12-01,26.7
1969-01-01,27
1969-02-01,27
1969-03-01,27.6
1969-04-01,27.7
1969-05-01,27.6
1969-06-01,27.9
1969-07-01,27.7
1969-08-01,27.8
1969-09-01,27.7
1969-10-01,27.8
1969-11-01,27.4
1969-12-01,27.5
1970-01-01,27.4
1970-02-01,27.5
1970-03-01,27.1
1970-04-01,28.1
1970-05-01,27.9
1970-06-01,27.7
1970-07-01,27.9
1970-08-01,27.5
1970-09-01,27.7
1970-10-01,28.1
1970-11-01,27.9
1970-12-01,28.2
1971-01-01,28.3
1971-02-01,27.9
1971-03-01,27.8
1971-04-01,27.3
1971-05-01,27.3
1971-06-01,27.6
1971-07-01,27.4
1971-08-01,28.4
1971-09-01,28.6
1971-10-01,28.6
1971-11-01,28.1
1971-12-01,28.2
1972-01-01,28.1
1972-02-01,27.8
1972-03-01,27.9
1972-04-01,27.6
1972-05-01,27.9
1972-06-01,27.8
1972-07-01,28.1
1972-08-01,28.5
1972-09-01,29.1
1972-10-01,29
1972-11-01,28.9
1972-12-01,29
1973-01-01,29.1
1973-02-01,29.3
1973-03-01,29.4
1973-04-01,29.9
1973-05-01,30.3
1973-06-01,31.1
1973-07-01,31.2
1973-08-01,31.2
1973-09-01,31
1973-10-01,32
1973-11-01,33.2
1973-12-01,34.7
1974-01-01,36.8
1974-02-01,38.9
1974-03-01,41.7
1974-04-01,42.4
1974-05-01,43.5
1974-06-01,43.9
1974-07-01,44.1
1974-08-01,43.8
1974-09-01,43.5
1974-10-01,42.3
1974-11-01,41.8
1974-12-01,41.8
1975-01-01,42.1
1975-02-01,42.2
1975-03-01,42.3
1975-04-01,42.8
1975-05-01,43.6
1975-06-01,44.9
1975-07-01,46.8
1975-08-01,47.1
1975-09-01,47.2
1975-10-01,47
1975-11-01,46.6
1975-12-01,46.4
1976-01-01,46.3
1976-02-01,45.8
1976-03-01,45.2
1976-04-01,45
1976-05-01,45.7
1976-06-01,46.9
1976-07-01,47.5
1976-08-01,47.8
1976-09-01,47.9
1976-10-01,47.9
1976-11-01,47.8
1976-12-01,47.6
1977-01-01,47.7
1977-02-01,48.2
1977-03-01,48.6
1977-04-01,49.2
1977-05-01,49.7
1977-06-01,50.1
1977-07-01,50.2
1977-08-01,50.2
1977-09-01,50.1
1977-10-01,50
1977-11-01,49.9
1977-12-01,50
1978-01-01,50
1978-02-01,49.8
1978-03-01,49.8
1978-04-01,50
1978-05-01,50.4
1978-06-01,51.1
1978-07-01,51.8
1978-08-01,52.5
1978-09-01,53
1978-10-01,53.1
1978-11-01,53.6
1978-12-01,54.3
1979-01-01,55.1
1979-02-01,56.1
1979-03-01,58.2
1979-04-01,61.9
1979-05-01,65.3
1979-06-01,70
1979-07-01,73.9
1979-08-01,77.1
1979-09-01,79.5
1979-10-01,80.2
1979-11-01,81.1
1979-12-01,83
1980-01-01,88.3
1980-02-01,94.4
1980-03-01,98
1980-04-01,98.9
1980-05-01,99.1
1980-06-01,99.3
1980-07-01,99.3
1980-08-01,99.1
1980-09-01,98.3
1980-10-01,97.7
1980-11-01,97.7
1980-12-01,98.4
1981-01-01,101.6
1981-02-01,108.5
1981-03-01,111
1981-04-01,110.6
1981-05-01,109.8
1981-06-01,109.3
1981-07-01,108.9
1981-08-01,108.6
1981-09-01,108.4
1981-10-01,108.1
1981-11-01,108
1981-12-01,107.7
1982-01-01,107.1
1982-02-01,105.4
1982-03-01,101.4
1982-04-01,96.8
1982-05-01,97.8
1982-06-01,103.5
1982-07-01,105.6
1982-08-01,105.1
1982-09-01,104
1982-10-01,103.1
1982-11-01,102.5
1982-12-01,100.8
1983-01-01,98.3
1983-02-01,95
1983-03-01,92.1
1983-04-01,97.1
1983-05-01,100.5
1983-06-01,101.8
1983-07-01,102.6
1983-08-01,102.8
1983-09-01,102.2
1983-10-01,101
1983-11-01,100
1983-12-01,99.1
1984-01-01,97.9
1984-02-01,97.6
1984-03-01,97.5
1984-04-01,98.9
1984-05-01,99.5
1984-06-01,99
1984-07-01,97.7
1984-08-01,96.8
1984-09-01,97.3
1984-10-01,97.9
1984-11-01,97.6
1984-12-01,96.7
1985-01-01,94.4
1985-02-01,93.1
1985-03-01,95.2
1985-04-01,98.8
1985-05-01,100.7
1985-06-01,101.5
1985-07-01,101.8
1985-08-01,100.9
1985-09-01,99.8
1985-10-01,98.9
1985-11-01,99.6
1985-12-01,99.8
1986-01-01,98.7
1986-02-01,92.8
1986-03-01,81.4
1986-04-01,73.6
1986-05-01,76.3
1986-06-01,79
1986-07-01,73.9
1986-08-01,70.1
1986-09-01,71.5
1986-10-01,69.4
1986-11-01,68.9
1986-12-01,69.2
1987-01-01,73
1987-02-01,76.1
1987-03-01,76.6
1987-04-01,78.5
1987-05-01,79.2
1987-06-01,80.9
1987-07-01,82.3
1987-08-01,84.5
1987-09-01,84.1
1987-10-01,83.3
1987-11-01,83.3
1987-12-01,82
1988-01-01,79.7
1988-02-01,78.3
1988-03-01,77.5
1988-04-01,79.4
1988-05-01,81.4
1988-06-01,81.4
1988-07-01,82.3
1988-08-01,84.3
1988-09-01,83.1
1988-10-01,81.6
1988-11-01,81.5
1988-12-01,80.4
1989-01-01,79.6
1989-02-01,80.3
1989-03-01,81.5
1989-04-01,92.3
1989-05-01,96.7
1989-06-01,96.1
1989-07-01,94.5
1989-08-01,91
1989-09-01,89
1989-10-01,89.1
1989-11-01,87.3
1989-12-01,85.9
1990-01-01,91.7
1990-02-01,90.7
1990-03-01,89.4
1990-04-01,91.3
1990-05-01,92.6
1990-06-01,94.7
1990-07-01,94.4
1990-08-01,103.4
1990-09-01,112.2
1990-10-01,119.2
1990-11-01,119.1
1990-12-01,117.1
1991-01-01,108.3
1991-02-01,99.8
1991-03-01,94.7
1991-04-01,96.3
1991-05-01,100.4
1991-06-01,100.8
1991-07-01,98.5
1991-08-01,99.5
1991-09-01,99.9
1991-10-01,98.4
1991-11-01,99.5
1991-12-01,98.5
1992-01-01,94.5
1992-02-01,92.9
1992-03-01,93.4
1992-04-01,95.1
1992-05-01,99.5
1992-06-01,102.9
1992-07-01,102.7
1992-08-01,101.6
1992-09-01,101.6
1992-10-01,101.5
1992-11-01,102
1992-12-01,99.9
1993-01-01,98.4
1993-02-01,97.7
1993-03-01,97.1
1993-04-01,98.4
1993-05-01,99.7
1993-06-01,99.7
1993-07-01,98.1
1993-08-01,96.9
1993-09-01,96
1993-10-01,99.6
1993-11-01,98.2
1993-12-01,94.6
1994-01-01,92.5
1994-02-01,93.5
1994-03-01,93.1
1994-04-01,94.7
1994-05-01,96
1994-06-01,98.2
1994-07-01,100.5
1994-08-01,104.2
1994-09-01,103.7
1994-10-01,101.7
1994-11-01,102.6
1994-12-01,100.2
1995-01-01,98.5
1995-02-01,97.8
1995-03-01,97.3
1995-04-01,99.5
1995-05-01,104.2
1995-06-01,106.2
1995-07-01,103.5
1995-08-01,101
1995-09-01,99.8
1995-10-01,98.2
1995-11-01,96.3
1995-12-01,96.4
1996-01-01,98.6
1996-02-01,98.1
1996-03-01,101.4
1996-04-01,108.6
1996-05-01,113.5
1996-06-01,111
1996-07-01,108.8
1996-08-01,106.3
1996-09-01,106.2
1996-10-01,106
1996-11-01,108.1
1996-12-01,108.9
1997-01-01,108.8
1997-02-01,108.2
1997-03-01,106.3
1997-04-01,105.9
1997-05-01,105.7
1997-06-01,105.9
1997-07-01,104
1997-08-01,107.7
1997-09-01,109.2
1997-10-01,106.6
1997-11-01,104.4
1997-12-01,101.7
1998-01-01,97.6
1998-02-01,94.1
1998-03-01,91
1998-04-01,91.9
1998-05-01,95
1998-06-01,95
1998-07-01,93.9
1998-08-01,91.7
1998-09-01,90.1
1998-10-01,90.9
1998-11-01,89.7
1998-12-01,86
1999-01-01,85
1999-02-01,83.5
1999-03-01,86.4
1999-04-01,100.8
1999-05-01,101.3
1999-06-01,99.2
1999-07-01,102.6
1999-08-01,107.8
1999-09-01,110.6
1999-10-01,110
1999-11-01,109.5
1999-12-01,112.3
2000-01-01,112.9
2000-02-01,118.6
2000-03-01,132
2000-04-01,128.5
2000-05-01,128.5
2000-06-01,140.1
2000-07-01,136.2
2000-08-01,128
2000-09-01,135.3
2000-10-01,133.1
2000-11-01,133.2
2000-12-01,127.7
2001-01-01,126.9
2001-02-01,127.8
2001-03-01,124.1
2001-04-01,134
2001-05-01,147.4
2001-06-01,142.1
2001-07-01,124.9
2001-08-01,122
2001-09-01,132.4
2001-10-01,116.2
2001-11-01,104.4
2001-12-01,96.3
2002-01-01,98.2
2002-02-01,98.5
2002-03-01,108
2002-04-01,121.7
2002-05-01,121.8
2002-06-01,120.4
2002-07-01,121.2
2002-08-01,121.8
2002-09-01,122.1
2002-10-01,124.9
2002-11-01,124.8
2002-12-01,120
2003-01-01,126.7
2003-02-01,140.9
2003-03-01,148.5
2003-04-01,140.8
2003-05-01,131.5
2003-06-01,130.4
2003-07-01,130.9
2003-08-01,139.4
2003-09-01,147.5
2003-10-01,136.9
2003-11-01,131.5
2003-12-01,128.1
2004-01-01,137.1
2004-02-01,143.6
2004-03-01,150.9
2004-04-01,156.5
2004-05-01,171.1
2004-06-01,173.8
2004-07-01,165.6
2004-08-01,162.4
2004-09-01,161.7
2004-10-01,173.6
2004-11-01,172.3
2004-12-01,161.7
2005-01-01,156.9
2005-02-01,164.9
2005-03-01,176.5
2005-04-01,194.5
2005-05-01,188.7
2005-06-01,186.1
2005-07-01,198.1
2005-08-01,213.4
2005-09-01,250.3
2005-10-01,238
2005-11-01,200.5
2005-12-01,188
2006-01-01,199.9
2006-02-01,198.7
2006-03-01,206.5
2006-04-01,236.1
2006-05-01,251.3
2006-06-01,248.8
2006-07-01,256.2
2006-08-01,255.1
2006-09-01,220.8
2006-10-01,194.4
2006-11-01,192
2006-12-01,199.8
2007-01-01,194.278
2007-02-01,195.934
2007-03-01,221.011
2007-04-01,243.574
2007-05-01,266.737
2007-06-01,261.679
2007-07-01,253.893
2007-08-01,239.097
2007-09-01,240.271
2007-10-01,240.04
2007-11-01,263.248
2007-12-01,259.032
2008-01-01,261.531
2008-02-01,260.402
2008-03-01,279.975
2008-04-01,295.618
2008-05-01,323.495
2008-06-01,348.762
2008-07-01,351.124
2008-08-01,325.116
2008-09-01,316.717
2008-10-01,269.639
2008-11-01,187.77
2008-12-01,149.65
2009-01-01,157.265
2009-02-01,168.028
2009-03-01,169.06
2009-04-01,177.982
2009-05-01,194.339
2009-06-01,225.876
2009-07-01,218.56
2009-08-01,225.797
2009-09-01,221.241
2009-10-01,219.733
2009-11-01,228.871
2009-12-01,225.584
2010-01-01,235.083
2010-02-01,228.569
2010-03-01,238.769
2010-04-01,245.949
2010-05-01,247.688
2010-06-01,235.67
2010-07-01,235.399
2010-08-01,236.436
2010-09-01,233.37
2010-10-01,241.218
2010-11-01,245.957
2010-12-01,257.025
2011-01-01,266.82
2011-02-01,273.013
2011-03-01,305.066
2011-04-01,327.663
2011-05-01,338.832
2011-06-01,319.323
2011-07-01,314.806
2011-08-01,313.307
2011-09-01,310.81
2011-10-01,297.935
2011-11-01,295.069
2011-12-01,283.528
2012-01-01,293.496
2012-02-01,307.606
2012-03-01,332.384
2012-04-01,338.121
2012-05-01,325.789
2012-06-01,305.744
2012-07-01,297.552
2012-08-01,319.156
2012-09-01,332.285
2012-10-01,325.181
2012-11-01,300.633
2012-12-01,288.453
2013-01-01,289.211
2013-02-01,318.057
2013-03-01,322.205
2013-04-01,310.42
2013-05-01,312.897
2013-06-01,314.623
2013-07-01,313.038
2013-08-01,311.531
2013-09-01,307.695
2013-10-01,292.887
2013-11-01,283.453
2013-12-01,285.377
2014-01-01,289.38
2014-02-01,292.84
2014-03-01,307.461
2014-04-01,318.261
2014-05-01,320.138
2014-06-01,320.984
2014-07-01,315.963
2014-08-01,303.14
2014-09-01,296.71
2014-10-01,278.344
2014-11-01,253.904
2014-12-01,225.866
2015-01-01,187.311
2015-02-01,197.251
2015-03-01,217.698
2015-04-01,217.546
2015-05-01,240.228
2015-06-01,246.177
2015-07-01,245.647
2015-08-01,232.269
2015-09-01,208.898
2015-10-01,201.016
2015-11-01,192.445
2015-12-01,181.068
2016-01-01,172.919
2016-02-01,155.723
2016-03-01,171.793
2016-04-01,187.174
2016-05-01,199.512
2016-06-01,208.483
2016-07-01,196.837
2016-08-01,191.07
2016-09-01,195.459
2016-10-01,199.108
2016-11-01,193.97
2016-12-01,197.432
2017-01-01,207.914
2017-02-01,203.527
2017-03-01,205.894
2017-04-01,214.098
2017-05-01,210.957
2017-06-01,207.304
2017-07-01,202.627
2017-08-01,210.585
2017-09-01,232.769
2017-10-01,220.309
2017-11-01,225.982
2017-12-01,218.477
2018-01-01,225.656
2018-02-01,229.148
2018-03-01,228.694
2018-04-01,242.856
2018-05-01,257.236
2018-06-01,258.126
2018-07-01,254.327
2018-08-01,253.399
2018-09-01,254.272
2018-10-01,255.769
2018-11-01,237.01
2018-12-01,213.674
2019-01-01,202.715
2019-02-01,208.497
2019-03-01,227.272
2019-04-01,250.465
2019-05-01,256.526
2019-06-01,243.949
2019-07-01,245.984
2019-08-01,235.591
2019-09-01,233.463
2019-10-01,236.882
2019-11-01,234.235
2019-12-01,230.617
2020-01-01,228.823
2020-02-01,220.156
2020-03-01,203.92
2020-04-01,170.364
2020-05-01,170.212
2020-06-01,186.923
2020-07-01,195.697
2020-08-01,195.722
2020-09-01,197.134
2020-10-01,194.038
2020-11-01,188.778
2020-12-01,195.264
2021-01-01,208.794
2021-02-01,223.208
2021-03-01,249.2
2021-04-01,254.314
2021-05-01,264.8
2021-06-01,270.694
2021-07-01,277.362
2021-08-01,279.014
2021-09-01,279.924
2021-10-01,290.172
2021-11-01,298.206
2021-12-01,291.646
2022-01-01,292.153
2022-02-01,307.739
2022-03-01,368.977
2022-04-01,365.994
2022-05-01,394.293
2022-06-01,432.976
2022-07-01,399.937
2022-08-01,351.471
2022-09-01,332.696
2022-10-01,343.603
2022-11-01,330.364
2022-12-01,289.028
2023-01-01,298.277
2023-02-01,302.975
2023-03-01,306.027
2023-04-01,321.737
2023-05-01,316.68
2023-06-01,318.656
2023-07-01,320.246
2023-08-01,339.625
2023-09-01,341.895
2023-10-01,323.759
2023-11-01,300.21
