"Date","CWSR0000SAM2"
1966-11-01,25
1966-12-01,25.1
1967-01-01,25.3
1967-02-01,25.5
1967-03-01,25.6
1967-04-01,25.8
1967-05-01,25.9
1967-06-01,26.1
1967-07-01,26.2
1967-08-01,26.4
1967-09-01,26.6
1967-10-01,26.8
1967-11-01,27
1967-12-01,27.1
1968-01-01,27.3
1968-02-01,27.4
1968-03-01,27.6
1968-04-01,27.7
1968-05-01,27.9
1968-06-01,28
1968-07-01,28.1
1968-08-01,28.2
1968-09-01,28.4
1968-10-01,28.7
1968-11-01,28.9
1968-12-01,29.1
1969-01-01,29.3
1969-02-01,29.5
1969-03-01,29.8
1969-04-01,30
1969-05-01,30.2
1969-06-01,30.4
1969-07-01,30.5
1969-08-01,30.7
1969-09-01,31
1969-10-01,30.8
1969-11-01,31
1969-12-01,31.1
1970-01-01,31.3
1970-02-01,31.5
1970-03-01,31.8
1970-04-01,32
1970-05-01,32.2
1970-06-01,32.5
1970-07-01,32.7
1970-08-01,32.9
1970-09-01,33.1
1970-10-01,33.2
1970-11-01,33.5
1970-12-01,33.7
1971-01-01,33.9
1971-02-01,34.1
1971-03-01,34.4
1971-04-01,34.6
1971-05-01,34.8
1971-06-01,35
1971-07-01,35.1
1971-08-01,35.3
1971-09-01,35.5
1971-10-01,35.3
1971-11-01,35.4
1971-12-01,35.5
1972-01-01,35.6
1972-02-01,35.7
1972-03-01,35.8
1972-04-01,35.9
1972-05-01,36
1972-06-01,36.1
1972-07-01,36.2
1972-08-01,36.2
1972-09-01,36.3
1972-10-01,36.7
1972-11-01,36.7
1972-12-01,36.9
1973-01-01,37
1973-02-01,37
1973-03-01,37.2
1973-04-01,37.3
1973-05-01,37.5
1973-06-01,37.6
1973-07-01,37.6
1973-08-01,37.7
1973-09-01,38
1973-10-01,38.7
1973-11-01,38.9
1973-12-01,39
1974-01-01,39.2
1974-02-01,39.5
1974-03-01,39.9
1974-04-01,40.2
1974-05-01,40.7
1974-06-01,41.4
1974-07-01,41.9
1974-08-01,42.6
1974-09-01,43
1974-10-01,43.4
1974-11-01,43.8
1974-12-01,44.2
1975-01-01,44.7
1975-02-01,45.2
1975-03-01,45.7
1975-04-01,46.1
1975-05-01,46.4
1975-06-01,46.8
1975-07-01,47.2
1975-08-01,47.5
1975-09-01,47.9
1975-10-01,48.3
1975-11-01,48.2
1975-12-01,48.7
1976-01-01,49.2
1976-02-01,49.7
1976-03-01,50.3
1976-04-01,50.6
1976-05-01,51
1976-06-01,51.4
1976-07-01,51.9
1976-08-01,52.2
1976-09-01,52.6
1976-10-01,52.8
1976-11-01,53.5
1976-12-01,53.9
1977-01-01,54.3
1977-02-01,54.6
1977-03-01,55.3
1977-04-01,55.8
1977-05-01,56.3
1977-06-01,56.8
1977-07-01,57.1
1977-08-01,57.5
1977-09-01,58
1977-10-01,58.1
1977-11-01,58.3
1977-12-01,58.7
1978-01-01,59.2
1978-02-01,59.7
1978-03-01,60
1978-04-01,60.5
1978-05-01,61
1978-06-01,61.3
1978-07-01,61.7
1978-08-01,62.2
1978-09-01,62.7
1978-10-01,63.2
1978-11-01,63.6
1978-12-01,64
1979-01-01,64.6
1979-02-01,65.1
1979-03-01,65.6
1979-04-01,66.2
1979-05-01,66.7
1979-06-01,67.3
1979-07-01,68
1979-08-01,68.5
1979-09-01,69.2
1979-10-01,69.8
1979-11-01,70.3
1979-12-01,71.1
1980-01-01,72
1980-02-01,72.9
1980-03-01,73.6
1980-04-01,74.4
1980-05-01,75
1980-06-01,75.4
1980-07-01,75.9
1980-08-01,76.5
1980-09-01,77.2
1980-10-01,77.7
1980-11-01,78.2
1980-12-01,78.7
1981-01-01,79.5
1981-02-01,80.1
1981-03-01,80.9
1981-04-01,81.6
1981-05-01,82.2
1981-06-01,82.9
1981-07-01,83.6
1981-08-01,84.4
1981-09-01,85.1
1981-10-01,86
1981-11-01,86.9
1981-12-01,87.6
1982-01-01,88.2
1982-02-01,88.8
1982-03-01,89.5
1982-04-01,90.4
1982-05-01,91.3
1982-06-01,92.1
1982-07-01,93.1
1982-08-01,93.9
1982-09-01,94.7
1982-10-01,95.4
1982-11-01,96.4
1982-12-01,97.1
1983-01-01,97.8
1983-02-01,98.7
1983-03-01,98.9
1983-04-01,99.3
1983-05-01,99.8
1983-06-01,100.3
1983-07-01,100.8
1983-08-01,101.4
1983-09-01,101.8
1983-10-01,102.3
1983-11-01,102.8
1983-12-01,103.4
1984-01-01,104
1984-02-01,104.9
1984-03-01,105.1
1984-04-01,105.6
1984-05-01,106.1
1984-06-01,106.6
1984-07-01,107.1
1984-08-01,107.5
1984-09-01,107.9
1984-10-01,108.6
1984-11-01,109.1
1984-12-01,109.5
1985-01-01,110
1985-02-01,110.5
1985-03-01,111.1
1985-04-01,111.7
1985-05-01,112.4
1985-06-01,113
1985-07-01,113.6
1985-08-01,114.2
1985-09-01,114.8
1985-10-01,115.5
1985-11-01,116.2
1985-12-01,117
1986-01-01,117.8
1986-02-01,118.5
1986-03-01,119.4
1986-04-01,120.2
1986-05-01,120.9
1986-06-01,121.6
1986-07-01,122.3
1986-08-01,123.1
1986-09-01,123.9
1986-10-01,124.7
1986-11-01,125.3
1986-12-01,126.1
1987-01-01,126.6
1987-02-01,127.1
1987-03-01,127.7
1987-04-01,128.7
1987-05-01,129.4
1987-06-01,130.1
1987-07-01,130.8
1987-08-01,131.3
1987-09-01,132.1
1987-10-01,132.7
1987-11-01,133.2
1987-12-01,133.6
1988-01-01,134.7
1988-02-01,135.5
1988-03-01,136.2
1988-04-01,136.9
1988-05-01,137.8
1988-06-01,138.6
1988-07-01,139.6
1988-08-01,140.2
1988-09-01,140.9
1988-10-01,141.7
1988-11-01,142.4
1988-12-01,143.1
1989-01-01,144.3
1989-02-01,145.4
1989-03-01,146.3
1989-04-01,147.1
1989-05-01,147.7
1989-06-01,148.8
1989-07-01,149.9
1989-08-01,151
1989-09-01,152.2
1989-10-01,153.1
1989-11-01,154.4
1989-12-01,155.3
1990-01-01,156.2
1990-02-01,157.2
1990-03-01,158.3
1990-04-01,159.6
1990-05-01,160.8
1990-06-01,162
1990-07-01,163.3
1990-08-01,164.9
1990-09-01,165.8
1990-10-01,167.1
1990-11-01,168.5
1990-12-01,169.6
1991-01-01,170.8
1991-02-01,171.9
1991-03-01,173
1991-04-01,173.9
1991-05-01,174.9
1991-06-01,176
1991-07-01,176.9
1991-08-01,178.4
1991-09-01,179.5
1991-10-01,180.6
1991-11-01,181.7
1991-12-01,183
1992-01-01,184.2
1992-02-01,185.5
1992-03-01,186.7
1992-04-01,187.8
1992-05-01,188.7
1992-06-01,189.7
1992-07-01,190.9
1992-08-01,191.9
1992-09-01,193
1992-10-01,194.1
1992-11-01,195.1
1992-12-01,196
1993-01-01,197.3
1993-02-01,198.3
1993-03-01,199.1
1993-04-01,200.4
1993-05-01,201.9
1993-06-01,202.7
1993-07-01,203.5
1993-08-01,204.2
1993-09-01,205
1993-10-01,205.9
1993-11-01,206.5
1993-12-01,207.3
1994-01-01,208
1994-02-01,208.6
1994-03-01,209.6
1994-04-01,210.8
1994-05-01,211.5
1994-06-01,212.4
1994-07-01,213.3
1994-08-01,214.2
1994-09-01,215.2
1994-10-01,216.5
1994-11-01,217.3
1994-12-01,218.4
1995-01-01,219.3
1995-02-01,220.3
1995-03-01,221.1
1995-04-01,221.8
1995-05-01,222.5
1995-06-01,223.4
1995-07-01,224.2
1995-08-01,225.2
1995-09-01,226.1
1995-10-01,226.7
1995-11-01,227.4
1995-12-01,228
1996-01-01,228.8
1996-02-01,229.4
1996-03-01,230
1996-04-01,230.5
1996-05-01,231.2
1996-06-01,231.8
1996-07-01,232.5
1996-08-01,233
1996-09-01,233.5
1996-10-01,234.1
1996-11-01,235
1996-12-01,235.4
1997-01-01,235.8
1997-02-01,236.1
1997-03-01,237
1997-04-01,237.6
1997-05-01,238.1
1997-06-01,238.5
1997-07-01,238.8
1997-08-01,239.4
1997-09-01,239.9
1997-10-01,240.6
1997-11-01,241.3
1997-12-01,242.4
1998-01-01,242.5
1998-02-01,243.3
1998-03-01,244
1998-04-01,244.7
1998-05-01,245.5
1998-06-01,246.4
1998-07-01,247.1
1998-08-01,247.8
1998-09-01,248.4
1998-10-01,249.1
1998-11-01,249.7
1998-12-01,250.3
1999-01-01,251
1999-02-01,251.7
1999-03-01,252.2
1999-04-01,252.9
1999-05-01,253.7
1999-06-01,254.4
1999-07-01,255.2
1999-08-01,255.8
1999-09-01,256.7
1999-10-01,257.4
1999-11-01,258.2
1999-12-01,259.3
2000-01-01,259.9
2000-02-01,261.2
2000-03-01,262.5
2000-04-01,263.4
2000-05-01,264.3
2000-06-01,265.5
2000-07-01,266.5
2000-08-01,267.8
2000-09-01,268.8
2000-10-01,269.6
2000-11-01,270
2000-12-01,270.9
2001-01-01,272.8
2001-02-01,273.9
2001-03-01,275
2001-04-01,276
2001-05-01,276.9
2001-06-01,277.9
2001-07-01,278.3
2001-08-01,280.1
2001-09-01,281.1
2001-10-01,282.2
2001-11-01,283.3
2001-12-01,284
2002-01-01,285.8
2002-02-01,286.3
2002-03-01,287.5
2002-04-01,289
2002-05-01,290.4
2002-06-01,291.2
2002-07-01,293.4
2002-08-01,294.6
2002-09-01,295.4
2002-10-01,297.5
2002-11-01,299.1
2002-12-01,300.5
2003-01-01,300.9
2003-02-01,301.3
2003-03-01,301.7
2003-04-01,302.3
2003-05-01,303.8
2003-06-01,305
2003-07-01,306.2
2003-08-01,307.2
2003-09-01,308.7
2003-10-01,309.8
2003-11-01,311.3
2003-12-01,312.9
2004-01-01,314
2004-02-01,315.8
2004-03-01,317.4
2004-04-01,318.6
2004-05-01,319.6
2004-06-01,321.1
2004-07-01,322.2
2004-08-01,323.5
2004-09-01,324.8
2004-10-01,325.8
2004-11-01,327
2004-12-01,328.6
2005-01-01,330.1
2005-02-01,331.8
2005-03-01,333.4
2005-04-01,334.8
2005-05-01,336
2005-06-01,337
2005-07-01,338.4
2005-08-01,338.3
2005-09-01,339.4
2005-10-01,341.3
2005-11-01,343.4
2005-12-01,343.9
2006-01-01,343.8
2006-02-01,345
2006-03-01,346.6
2006-04-01,347.9
2006-05-01,349.3
2006-06-01,350.6
2006-07-01,351.7
2006-08-01,353.1
2006-09-01,354.2
2006-10-01,355.5
2006-11-01,357.2
2006-12-01,358.2
2007-01-01,360.442
2007-02-01,363.012
2007-03-01,364.097
2007-04-01,365.558
2007-05-01,366.935
2007-06-01,368.446
2007-07-01,370.871
2007-08-01,372.868
2007-09-01,374.385
2007-10-01,376.771
2007-11-01,378.338
2007-12-01,379.816
2008-01-01,381.611
2008-02-01,381.836
2008-03-01,382.471
2008-04-01,383.477
2008-05-01,385.043
2008-06-01,386.034
2008-07-01,386.798
2008-08-01,388.018
2008-09-01,389.031
2008-10-01,389.728
2008-11-01,390.287
2008-12-01,391.501
2009-01-01,392.894
2009-02-01,393.764
2009-03-01,394.894
2009-04-01,396.357
2009-05-01,397.745
2009-06-01,398.601
2009-07-01,400.027
2009-08-01,400.881
2009-09-01,401.901
2009-10-01,402.857
2009-11-01,404.498
2009-12-01,405.51
2010-01-01,407.393
2010-02-01,409.284
2010-03-01,411.091
2010-04-01,412.184
2010-05-01,412.498
2010-06-01,413.816
2010-07-01,414.124
2010-08-01,415.054
2010-09-01,417.661
2010-10-01,418.679
2010-11-01,419.161
2010-12-01,420.257
2011-01-01,420.714
2011-02-01,422.439
2011-03-01,422.971
2011-04-01,424.293
2011-05-01,425.536
2011-06-01,426.328
2011-07-01,427.746
2011-08-01,428.941
2011-09-01,429.634
2011-10-01,432.043
2011-11-01,434.188
2011-12-01,435.663
2012-01-01,436.947
2012-02-01,437.401
2012-03-01,438.872
2012-04-01,440.818
2012-05-01,442.668
2012-06-01,445.844
2012-07-01,447.747
2012-08-01,447.935
2012-09-01,449.407
2012-10-01,450.305
2012-11-01,451.341
2012-12-01,452.86
2013-01-01,453.837
2013-02-01,455.187
2013-03-01,456.951
2013-04-01,456.732
2013-05-01,456.408
2013-06-01,458.788
2013-07-01,459.701
2013-08-01,462.526
2013-09-01,463.556
2013-10-01,463.487
2013-11-01,463.164
2013-12-01,464.13
2014-01-01,465.369
2014-02-01,466.427
2014-03-01,467.955
2014-04-01,468.723
2014-05-01,469.608
2014-06-01,469.903
2014-07-01,470.376
2014-08-01,470.779
2014-09-01,471.483
2014-10-01,472.276
2014-11-01,473.749
2014-12-01,475.209
2015-01-01,475.208
2015-02-01,474.378
2015-03-01,476.504
2015-04-01,480.372
2015-05-01,481.13
2015-06-01,480.585
2015-07-01,481.381
2015-08-01,480.934
2015-09-01,482.201
2015-10-01,486.743
2015-11-01,488.75
2015-12-01,489.417
2016-01-01,491.722
2016-02-01,494.308
2016-03-01,494.841
2016-04-01,496.636
2016-05-01,499.388
2016-06-01,500.5
2016-07-01,502.893
2016-08-01,507.362
2016-09-01,507.817
2016-10-01,508.089
2016-11-01,508.932
2016-12-01,509.703
2017-01-01,510.207
2017-02-01,512.229
2017-03-01,512.888
2017-04-01,513.168
2017-05-01,512.816
2017-06-01,513.8
2017-07-01,514.683
2017-08-01,515.696
2017-09-01,516.659
2017-10-01,517.628
2017-11-01,517.222
2017-12-01,518.055
2018-01-01,520.176
2018-02-01,520.447
2018-03-01,522.506
2018-04-01,523.849
2018-05-01,523.898
2018-06-01,525.634
2018-07-01,525.267
2018-08-01,523.336
2018-09-01,525.566
2018-10-01,526.872
2018-11-01,529.29
2018-12-01,531.693
2019-01-01,532.942
2019-02-01,534.009
2019-03-01,535.34
2019-04-01,536.578
2019-05-01,539.395
2019-06-01,541.483
2019-07-01,544.022
2019-08-01,547.421
2019-09-01,550.074
2019-10-01,556.107
2019-11-01,559.076
2019-12-01,561.772
2020-01-01,563.321
2020-02-01,565.26
2020-03-01,568.077
2020-04-01,571.374
2020-05-01,574.874
2020-06-01,577.533
2020-07-01,579.836
2020-08-01,579.852
2020-09-01,580.272
2020-10-01,578.727
2020-11-01,579.072
2020-12-01,579.199
2021-01-01,580.871
2021-02-01,582.791
2021-03-01,583.568
2021-04-01,583.087
2021-05-01,582.356
2021-06-01,581.59
2021-07-01,582.427
2021-08-01,583.313
2021-09-01,583.09
2021-10-01,587.397
2021-11-01,590.501
2021-12-01,594.135
2022-01-01,597.02
2022-02-01,597.617
2022-03-01,601.65
2022-04-01,604.909
2022-05-01,607.566
2022-06-01,611.498
2022-07-01,614.049
2022-08-01,618.566
2022-09-01,624.016
2022-10-01,621.103
2022-11-01,617.439
2022-12-01,619.394
2023-01-01,615.725
2023-02-01,610.811
2023-03-01,606.515
2023-04-01,605.257
2023-05-01,604.367
2023-06-01,603.712
2023-07-01,600.044
2023-08-01,599.709
2023-09-01,601.662
2023-10-01,605.42
2023-11-01,609.38
