"Date","CUUR0000SAM2"
1952-09-01,14.5
1952-10-01,NA
1952-11-01,NA
1952-12-01,14.6
1953-01-01,NA
1953-02-01,NA
1953-03-01,14.6
1953-04-01,NA
1953-05-01,NA
1953-06-01,14.8
1953-07-01,NA
1953-08-01,NA
1953-09-01,14.9
1953-10-01,NA
1953-11-01,NA
1953-12-01,15.1
1954-01-01,NA
1954-02-01,NA
1954-03-01,15.1
1954-04-01,NA
1954-05-01,NA
1954-06-01,15.2
1954-07-01,NA
1954-08-01,NA
1954-09-01,15.3
1954-10-01,NA
1954-11-01,NA
1954-12-01,15.5
1955-01-01,NA
1955-02-01,NA
1955-03-01,15.6
1955-04-01,NA
1955-05-01,NA
1955-06-01,15.7
1955-07-01,NA
1955-08-01,NA
1955-09-01,15.8
1955-10-01,NA
1955-11-01,NA
1955-12-01,16
1956-01-01,16
1956-02-01,16.1
1956-03-01,16.2
1956-04-01,16.2
1956-05-01,16.2
1956-06-01,16.2
1956-07-01,16.3
1956-08-01,16.4
1956-09-01,16.5
1956-10-01,16.5
1956-11-01,16.6
1956-12-01,16.6
1957-01-01,16.7
1957-02-01,16.7
1957-03-01,16.8
1957-04-01,16.9
1957-05-01,16.9
1957-06-01,17
1957-07-01,17.1
1957-08-01,17.1
1957-09-01,17.1
1957-10-01,17.2
1957-11-01,17.3
1957-12-01,17.4
1958-01-01,17.5
1958-02-01,17.5
1958-03-01,17.6
1958-04-01,17.6
1958-05-01,17.8
1958-06-01,17.8
1958-07-01,17.9
1958-08-01,17.9
1958-09-01,18.1
1958-10-01,18.2
1958-11-01,18.2
1958-12-01,18.2
1959-01-01,18.3
1959-02-01,18.4
1959-03-01,18.5
1959-04-01,18.6
1959-05-01,18.7
1959-06-01,18.7
1959-07-01,18.7
1959-08-01,18.8
1959-09-01,18.9
1959-10-01,19
1959-11-01,19
1959-12-01,19.1
1960-01-01,19.1
1960-02-01,19.2
1960-03-01,19.3
1960-04-01,19.4
1960-05-01,19.4
1960-06-01,19.5
1960-07-01,19.5
1960-08-01,19.6
1960-09-01,19.6
1960-10-01,19.7
1960-11-01,19.8
1960-12-01,19.8
1961-01-01,19.9
1961-02-01,20
1961-03-01,20
1961-04-01,20.1
1961-05-01,20.1
1961-06-01,20.2
1961-07-01,20.3
1961-08-01,20.3
1961-09-01,20.3
1961-10-01,20.4
1961-11-01,20.4
1961-12-01,20.5
1962-01-01,20.6
1962-02-01,20.6
1962-03-01,20.7
1962-04-01,20.8
1962-05-01,20.8
1962-06-01,20.9
1962-07-01,20.9
1962-08-01,21
1962-09-01,21
1962-10-01,21
1962-11-01,21.1
1962-12-01,21.1
1963-01-01,21.3
1963-02-01,21.3
1963-03-01,21.3
1963-04-01,21.4
1963-05-01,21.4
1963-06-01,21.5
1963-07-01,21.5
1963-08-01,21.6
1963-09-01,21.6
1963-10-01,21.6
1963-11-01,21.7
1963-12-01,21.7
1964-01-01,21.7
1964-02-01,21.8
1964-03-01,21.9
1964-04-01,21.9
1964-05-01,22
1964-06-01,22
1964-07-01,22.1
1964-08-01,22.1
1964-09-01,22.1
1964-10-01,22.2
1964-11-01,22.2
1964-12-01,22.2
1965-01-01,22.3
1965-02-01,22.4
1965-03-01,22.5
1965-04-01,22.6
1965-05-01,22.6
1965-06-01,22.7
1965-07-01,22.8
1965-08-01,22.8
1965-09-01,22.8
1965-10-01,22.9
1965-11-01,23
1965-12-01,23
1966-01-01,23.1
1966-02-01,23.2
1966-03-01,23.4
1966-04-01,23.5
1966-05-01,23.6
1966-06-01,23.7
1966-07-01,23.9
1966-08-01,24.1
1966-09-01,24.3
1966-10-01,24.6
1966-11-01,24.8
1966-12-01,24.9
1967-01-01,25.1
1967-02-01,25.3
1967-03-01,25.5
1967-04-01,25.6
1967-05-01,25.8
1967-06-01,25.9
1967-07-01,26.1
1967-08-01,26.2
1967-09-01,26.4
1967-10-01,26.6
1967-11-01,26.7
1967-12-01,26.9
1968-01-01,27.1
1968-02-01,27.2
1968-03-01,27.4
1968-04-01,27.6
1968-05-01,27.7
1968-06-01,27.8
1968-07-01,28
1968-08-01,28.1
1968-09-01,28.3
1968-10-01,28.5
1968-11-01,28.6
1968-12-01,28.8
1969-01-01,29.1
1969-02-01,29.3
1969-03-01,29.6
1969-04-01,29.9
1969-05-01,30
1969-06-01,30.2
1969-07-01,30.4
1969-08-01,30.6
1969-09-01,30.8
1969-10-01,30.6
1969-11-01,30.7
1969-12-01,30.9
1970-01-01,31.1
1970-02-01,31.3
1970-03-01,31.6
1970-04-01,31.9
1970-05-01,32
1970-06-01,32.3
1970-07-01,32.5
1970-08-01,32.7
1970-09-01,32.9
1970-10-01,33
1970-11-01,33.2
1970-12-01,33.4
1971-01-01,33.6
1971-02-01,33.9
1971-03-01,34.2
1971-04-01,34.4
1971-05-01,34.6
1971-06-01,34.7
1971-07-01,35
1971-08-01,35.1
1971-09-01,35.3
1971-10-01,35
1971-11-01,35.1
1971-12-01,35.2
1972-01-01,35.3
1972-02-01,35.5
1972-03-01,35.6
1972-04-01,35.7
1972-05-01,35.8
1972-06-01,35.9
1972-07-01,36
1972-08-01,36.1
1972-09-01,36.1
1972-10-01,36.4
1972-11-01,36.4
1972-12-01,36.5
1973-01-01,36.7
1973-02-01,36.8
1973-03-01,37
1973-04-01,37.1
1973-05-01,37.2
1973-06-01,37.4
1973-07-01,37.4
1973-08-01,37.5
1973-09-01,37.7
1973-10-01,38.4
1973-11-01,38.6
1973-12-01,38.7
1974-01-01,38.9
1974-02-01,39.3
1974-03-01,39.7
1974-04-01,40
1974-05-01,40.4
1974-06-01,41.1
1974-07-01,41.7
1974-08-01,42.3
1974-09-01,42.8
1974-10-01,43.1
1974-11-01,43.4
1974-12-01,43.8
1975-01-01,44.4
1975-02-01,45
1975-03-01,45.4
1975-04-01,45.8
1975-05-01,46
1975-06-01,46.4
1975-07-01,46.9
1975-08-01,47.3
1975-09-01,47.7
1975-10-01,48
1975-11-01,47.9
1975-12-01,48.3
1976-01-01,48.9
1976-02-01,49.5
1976-03-01,50.1
1976-04-01,50.3
1976-05-01,50.6
1976-06-01,50.9
1976-07-01,51.5
1976-08-01,51.9
1976-09-01,52.2
1976-10-01,52.5
1976-11-01,53.2
1976-12-01,53.5
1977-01-01,54
1977-02-01,54.5
1977-03-01,55
1977-04-01,55.4
1977-05-01,55.8
1977-06-01,56.2
1977-07-01,56.7
1977-08-01,57.1
1977-09-01,57.5
1977-10-01,57.7
1977-11-01,58
1977-12-01,58.3
1978-01-01,58.9
1978-02-01,59.5
1978-03-01,59.8
1978-04-01,60.2
1978-05-01,60.5
1978-06-01,60.7
1978-07-01,61.2
1978-08-01,61.8
1978-09-01,62.2
1978-10-01,62.8
1978-11-01,63.5
1978-12-01,63.7
1979-01-01,64.6
1979-02-01,65.1
1979-03-01,65.5
1979-04-01,65.8
1979-05-01,66.2
1979-06-01,66.6
1979-07-01,67.2
1979-08-01,67.8
1979-09-01,68.4
1979-10-01,69
1979-11-01,69.6
1979-12-01,70.4
1980-01-01,71.4
1980-02-01,72.6
1980-03-01,73.2
1980-04-01,73.7
1980-05-01,74.1
1980-06-01,74.4
1980-07-01,74.9
1980-08-01,75.4
1980-09-01,76
1980-10-01,76.7
1980-11-01,77.2
1980-12-01,77.5
1981-01-01,78.6
1981-02-01,79.4
1981-03-01,80
1981-04-01,80.6
1981-05-01,81.1
1981-06-01,81.8
1981-07-01,83
1981-08-01,84.1
1981-09-01,84.8
1981-10-01,85.8
1981-11-01,86.8
1981-12-01,87.3
1982-01-01,88.3
1982-02-01,89.1
1982-03-01,89.8
1982-04-01,90.5
1982-05-01,91.1
1982-06-01,91.8
1982-07-01,92.9
1982-08-01,93.9
1982-09-01,94.7
1982-10-01,95.4
1982-11-01,96.5
1982-12-01,97.1
1983-01-01,98.2
1983-02-01,99.2
1983-03-01,99.4
1983-04-01,99.6
1983-05-01,99.8
1983-06-01,100
1983-07-01,100.7
1983-08-01,101.4
1983-09-01,101.7
1983-10-01,102.2
1983-11-01,102.8
1983-12-01,103.1
1984-01-01,104.1
1984-02-01,105.2
1984-03-01,105.4
1984-04-01,105.7
1984-05-01,105.9
1984-06-01,106.2
1984-07-01,106.9
1984-08-01,107.4
1984-09-01,107.7
1984-10-01,108.3
1984-11-01,108.9
1984-12-01,109.1
1985-01-01,109.9
1985-02-01,110.6
1985-03-01,111.4
1985-04-01,111.7
1985-05-01,112.1
1985-06-01,112.6
1985-07-01,113.4
1985-08-01,114.1
1985-09-01,114.6
1985-10-01,115.2
1985-11-01,116
1985-12-01,116.5
1986-01-01,117.6
1986-02-01,118.7
1986-03-01,119.7
1986-04-01,120.3
1986-05-01,120.8
1986-06-01,121.4
1986-07-01,122.2
1986-08-01,123
1986-09-01,123.7
1986-10-01,124.5
1986-11-01,125.3
1986-12-01,125.7
1987-01-01,126.6
1987-02-01,127.4
1987-03-01,128
1987-04-01,128.7
1987-05-01,129
1987-06-01,129.6
1987-07-01,130.4
1987-08-01,131
1987-09-01,131.5
1987-10-01,132
1987-11-01,132.5
1987-12-01,132.7
1988-01-01,134.1
1988-02-01,135.3
1988-03-01,136.1
1988-04-01,136.6
1988-05-01,137.2
1988-06-01,137.9
1988-07-01,139
1988-08-01,139.6
1988-09-01,140.1
1988-10-01,140.8
1988-11-01,141.5
1988-12-01,141.9
1989-01-01,143.5
1989-02-01,145.1
1989-03-01,145.9
1989-04-01,146.4
1989-05-01,146.9
1989-06-01,147.9
1989-07-01,149.3
1989-08-01,150.4
1989-09-01,151.3
1989-10-01,152.3
1989-11-01,153.6
1989-12-01,154.1
1990-01-01,155.7
1990-02-01,157.2
1990-03-01,158.5
1990-04-01,159.4
1990-05-01,160.5
1990-06-01,161.5
1990-07-01,163.4
1990-08-01,165
1990-09-01,165.8
1990-10-01,167.2
1990-11-01,168.6
1990-12-01,169.3
1991-01-01,171.1
1991-02-01,172.8
1991-03-01,173.8
1991-04-01,174.5
1991-05-01,175.1
1991-06-01,176.1
1991-07-01,177.5
1991-08-01,178.9
1991-09-01,179.7
1991-10-01,180.8
1991-11-01,181.9
1991-12-01,182.8
1992-01-01,184.6
1992-02-01,186.4
1992-03-01,187.4
1992-04-01,188.1
1992-05-01,188.9
1992-06-01,189.7
1992-07-01,191.1
1992-08-01,192.2
1992-09-01,192.9
1992-10-01,194.2
1992-11-01,195.2
1992-12-01,195.6
1993-01-01,197.5
1993-02-01,199.1
1993-03-01,199.7
1993-04-01,200.7
1993-05-01,202
1993-06-01,202.6
1993-07-01,203.8
1993-08-01,204.5
1993-09-01,205
1993-10-01,206.2
1993-11-01,206.8
1993-12-01,207.1
1994-01-01,208.4
1994-02-01,209.8
1994-03-01,210.4
1994-04-01,211.4
1994-05-01,212
1994-06-01,212.6
1994-07-01,213.8
1994-08-01,214.7
1994-09-01,215.4
1994-10-01,216.8
1994-11-01,217.5
1994-12-01,218.2
1995-01-01,219.8
1995-02-01,221.3
1995-03-01,221.8
1995-04-01,222.4
1995-05-01,223
1995-06-01,223.5
1995-07-01,224.6
1995-08-01,225.6
1995-09-01,226.1
1995-10-01,226.9
1995-11-01,227.4
1995-12-01,227.8
1996-01-01,229.3
1996-02-01,230.3
1996-03-01,230.7
1996-04-01,231.1
1996-05-01,231.6
1996-06-01,231.9
1996-07-01,232.9
1996-08-01,233.4
1996-09-01,233.6
1996-10-01,234.2
1996-11-01,234.9
1996-12-01,235
1997-01-01,236.3
1997-02-01,237.1
1997-03-01,237.7
1997-04-01,238.1
1997-05-01,238.5
1997-06-01,238.7
1997-07-01,239.2
1997-08-01,239.8
1997-09-01,240
1997-10-01,240.5
1997-11-01,241.2
1997-12-01,241.8
1998-01-01,242.9
1998-02-01,244.2
1998-03-01,244.8
1998-04-01,245.4
1998-05-01,245.9
1998-06-01,246.5
1998-07-01,247.4
1998-08-01,248.2
1998-09-01,248.4
1998-10-01,249
1998-11-01,249.3
1998-12-01,249.6
1999-01-01,251.3
1999-02-01,252.6
1999-03-01,253.1
1999-04-01,253.5
1999-05-01,254
1999-06-01,254.6
1999-07-01,255.5
1999-08-01,256.2
1999-09-01,256.6
1999-10-01,257.1
1999-11-01,257.7
1999-12-01,258.5
2000-01-01,260.1
2000-02-01,262
2000-03-01,263.2
2000-04-01,263.9
2000-05-01,264.4
2000-06-01,265.6
2000-07-01,266.7
2000-08-01,268
2000-09-01,268.7
2000-10-01,269.4
2000-11-01,269.8
2000-12-01,270.4
2001-01-01,273
2001-02-01,274.9
2001-03-01,275.9
2001-04-01,276.8
2001-05-01,277.3
2001-06-01,278.3
2001-07-01,278.9
2001-08-01,280.5
2001-09-01,281
2001-10-01,282
2001-11-01,283
2001-12-01,283.5
2002-01-01,286.2
2002-02-01,287.7
2002-03-01,288.9
2002-04-01,290.2
2002-05-01,291.2
2002-06-01,291.7
2002-07-01,293.8
2002-08-01,294.7
2002-09-01,295.2
2002-10-01,297.1
2002-11-01,298.5
2002-12-01,299.4
2003-01-01,300.8
2003-02-01,302.3
2003-03-01,302.6
2003-04-01,303.1
2003-05-01,304.2
2003-06-01,305.2
2003-07-01,306.4
2003-08-01,307.2
2003-09-01,308.2
2003-10-01,309.1
2003-11-01,310.6
2003-12-01,311.9
2004-01-01,313.8
2004-02-01,316.6
2004-03-01,318.4
2004-04-01,319.2
2004-05-01,319.8
2004-06-01,321
2004-07-01,322.3
2004-08-01,323.1
2004-09-01,323.7
2004-10-01,324.8
2004-11-01,326
2004-12-01,327.3
2005-01-01,329.5
2005-02-01,332.5
2005-03-01,334.3
2005-04-01,335.2
2005-05-01,335.9
2005-06-01,336.3
2005-07-01,337.8
2005-08-01,337.3
2005-09-01,337.9
2005-10-01,339.7
2005-11-01,341.7
2005-12-01,342
2006-01-01,342.9
2006-02-01,346.1
2006-03-01,348
2006-04-01,348.8
2006-05-01,349.7
2006-06-01,350.3
2006-07-01,351.2
2006-08-01,352.1
2006-09-01,352.7
2006-10-01,354
2006-11-01,355.6
2006-12-01,356
2007-01-01,359.757
2007-02-01,363.908
2007-03-01,365.164
2007-04-01,366.07
2007-05-01,367.127
2007-06-01,367.758
2007-07-01,370.008
2007-08-01,371.461
2007-09-01,372.432
2007-10-01,374.75
2007-11-01,376.25
2007-12-01,376.94
2008-01-01,380.135
2008-02-01,382.196
2008-03-01,382.872
2008-04-01,383.292
2008-05-01,384.505
2008-06-01,384.685
2008-07-01,385.361
2008-08-01,385.99
2008-09-01,386.579
2008-10-01,387.44
2008-11-01,387.992
2008-12-01,388.267
2009-01-01,391.365
2009-02-01,394.047
2009-03-01,394.837
2009-04-01,395.753
2009-05-01,396.648
2009-06-01,396.75
2009-07-01,397.868
2009-08-01,398.303
2009-09-01,399.16
2009-10-01,400.015
2009-11-01,401.392
2009-12-01,401.452
2010-01-01,404.937
2010-02-01,408.447
2010-03-01,409.687
2010-04-01,410.256
2010-05-01,410.173
2010-06-01,410.802
2010-07-01,410.71
2010-08-01,411.182
2010-09-01,413.807
2010-10-01,414.564
2010-11-01,414.85
2010-12-01,415.079
2011-01-01,417.025
2011-02-01,420.567
2011-03-01,420.852
2011-04-01,421.716
2011-05-01,422.438
2011-06-01,422.813
2011-07-01,423.847
2011-08-01,424.546
2011-09-01,425.258
2011-10-01,427.467
2011-11-01,429.191
2011-12-01,430.005
2012-01-01,432.583
2012-02-01,434.832
2012-03-01,435.721
2012-04-01,437.151
2012-05-01,438.766
2012-06-01,441.041
2012-07-01,442.305
2012-08-01,442.41
2012-09-01,443.812
2012-10-01,444.242
2012-11-01,445.278
2012-12-01,445.955
2013-01-01,448.226
2013-02-01,451.625
2013-03-01,452.596
2013-04-01,452.083
2013-05-01,451.648
2013-06-01,453.325
2013-07-01,453.773
2013-08-01,456.062
2013-09-01,457.458
2013-10-01,457.135
2013-11-01,456.855
2013-12-01,457.296
2014-01-01,459.618
2014-02-01,462.648
2014-03-01,463.678
2014-04-01,464.238
2014-05-01,465.014
2014-06-01,464.96
2014-07-01,465.166
2014-08-01,464.936
2014-09-01,465.403
2014-10-01,466.038
2014-11-01,467.482
2014-12-01,468.393
2015-01-01,470.03
2015-02-01,471.138
2015-03-01,472.645
2015-04-01,476.163
2015-05-01,476.8
2015-06-01,475.546
2015-07-01,475.956
2015-08-01,475.189
2015-09-01,476.466
2015-10-01,480.245
2015-11-01,481.894
2015-12-01,481.983
2016-01-01,485.321
2016-02-01,489.432
2016-03-01,489.52
2016-04-01,490.848
2016-05-01,493.27
2016-06-01,493.438
2016-07-01,495.431
2016-08-01,499.187
2016-09-01,499.483
2016-10-01,499.717
2016-11-01,500.697
2016-12-01,500.845
2017-01-01,502.948
2017-02-01,506.105
2017-03-01,505.991
2017-04-01,505.855
2017-05-01,505.611
2017-06-01,505.813
2017-07-01,506.681
2017-08-01,507.39
2017-09-01,508.078
2017-10-01,509.256
2017-11-01,508.879
2017-12-01,509.045
2018-01-01,513.135
2018-02-01,515.205
2018-03-01,516.713
2018-04-01,517.228
2018-05-01,517.22
2018-06-01,518.307
2018-07-01,518.277
2018-08-01,516.841
2018-09-01,518.108
2018-10-01,519.152
2018-11-01,520.973
2018-12-01,522.506
2019-01-01,525.698
2019-02-01,527.683
2019-03-01,528.575
2019-04-01,529.371
2019-05-01,531.566
2019-06-01,532.956
2019-07-01,535.515
2019-08-01,539.066
2019-09-01,540.813
2019-10-01,545.652
2019-11-01,547.735
2019-12-01,549.077
2020-01-01,552.721
2020-02-01,555.597
2020-03-01,557.889
2020-04-01,559.994
2020-05-01,562.701
2020-06-01,564.754
2020-07-01,567.299
2020-08-01,567.771
2020-09-01,567.525
2020-10-01,565.999
2020-11-01,565.345
2020-12-01,564.201
2021-01-01,568.778
2021-02-01,572.378
2021-03-01,573.009
2021-04-01,572.108
2021-05-01,571.255
2021-06-01,570.509
2021-07-01,571.934
2021-08-01,573.5
2021-09-01,572.559
2021-10-01,575.493
2021-11-01,577.076
2021-12-01,578.555
2022-01-01,584.111
2022-02-01,586.177
2022-03-01,589.652
2022-04-01,591.94
2022-05-01,594.243
2022-06-01,598.035
2022-07-01,601.056
2022-08-01,605.883
2022-09-01,609.852
2022-10-01,606.839
2022-11-01,602.333
2022-12-01,602.395
2023-01-01,601.551
2023-02-01,598.778
2023-03-01,595.745
2023-04-01,594.346
2023-05-01,593.738
2023-06-01,593.503
2023-07-01,591.832
2023-08-01,592.913
2023-09-01,593.777
2023-10-01,594.974
2023-11-01,597.016
