"Date","CUSR0000SEHF"
1966-04-01,23.6
1966-05-01,23.6
1966-06-01,23.6
1966-07-01,23.6
1966-08-01,23.6
1966-09-01,23.6
1966-10-01,23.6
1966-11-01,23.6
1966-12-01,23.5
1967-01-01,23.6
1967-02-01,23.6
1967-03-01,23.6
1967-04-01,23.5
1967-05-01,23.6
1967-06-01,23.6
1967-07-01,23.7
1967-08-01,23.7
1967-09-01,23.8
1967-10-01,23.9
1967-11-01,23.8
1967-12-01,23.7
1968-01-01,23.7
1968-02-01,23.8
1968-03-01,23.8
1968-04-01,23.8
1968-05-01,23.8
1968-06-01,23.9
1968-07-01,24
1968-08-01,24
1968-09-01,23.9
1968-10-01,23.9
1968-11-01,24
1968-12-01,24
1969-01-01,24
1969-02-01,24
1969-03-01,24
1969-04-01,24.1
1969-05-01,24.2
1969-06-01,24.3
1969-07-01,24.3
1969-08-01,24.4
1969-09-01,24.5
1969-10-01,24.6
1969-11-01,24.7
1969-12-01,24.8
1970-01-01,24.8
1970-02-01,24.9
1970-03-01,25
1970-04-01,25.1
1970-05-01,25.2
1970-06-01,25.2
1970-07-01,25.3
1970-08-01,25.5
1970-09-01,25.6
1970-10-01,25.9
1970-11-01,26
1970-12-01,26.2
1971-01-01,26.3
1971-02-01,26.6
1971-03-01,26.7
1971-04-01,26.8
1971-05-01,26.9
1971-06-01,27.1
1971-07-01,27.3
1971-08-01,27.5
1971-09-01,27.5
1971-10-01,27.6
1971-11-01,27.6
1971-12-01,27.9
1972-01-01,28.1
1972-02-01,28.1
1972-03-01,28.1
1972-04-01,28.2
1972-05-01,28.4
1972-06-01,28.5
1972-07-01,28.6
1972-08-01,28.7
1972-09-01,28.7
1972-10-01,28.9
1972-11-01,29
1972-12-01,29
1973-01-01,29.3
1973-02-01,29.3
1973-03-01,29.3
1973-04-01,29.5
1973-05-01,29.6
1973-06-01,29.7
1973-07-01,29.8
1973-08-01,30
1973-09-01,30.1
1973-10-01,30.4
1973-11-01,30.8
1973-12-01,31
1974-01-01,31.7
1974-02-01,32.3
1974-03-01,32.8
1974-04-01,33.4
1974-05-01,33.9
1974-06-01,34.2
1974-07-01,34.6
1974-08-01,35.3
1974-09-01,35.7
1974-10-01,36.1
1974-11-01,36.6
1974-12-01,37.1
1975-01-01,38.1
1975-02-01,38.6
1975-03-01,38.7
1975-04-01,39.3
1975-05-01,39.5
1975-06-01,39.9
1975-07-01,40.1
1975-08-01,40.4
1975-09-01,41.1
1975-10-01,41.3
1975-11-01,42.1
1975-12-01,42.6
1976-01-01,42.9
1976-02-01,43.5
1976-03-01,43.6
1976-04-01,43.8
1976-05-01,43.9
1976-06-01,43.9
1976-07-01,44.3
1976-08-01,44.7
1976-09-01,45.2
1976-10-01,45.7
1976-11-01,46.9
1976-12-01,48.1
1977-01-01,49.2
1977-02-01,49.3
1977-03-01,49.9
1977-04-01,50
1977-05-01,49.7
1977-06-01,49.6
1977-07-01,50.2
1977-08-01,50.7
1977-09-01,51
1977-10-01,51.2
1977-11-01,52.7
1977-12-01,52.6
1978-01-01,52.4
1978-02-01,53.1
1978-03-01,53.7
1978-04-01,54.3
1978-05-01,54.9
1978-06-01,54.9
1978-07-01,55
1978-08-01,55.1
1978-09-01,55.4
1978-10-01,56.1
1978-11-01,56.1
1978-12-01,56.5
1979-01-01,57.3
1979-02-01,57.8
1979-03-01,58.2
1979-04-01,58.5
1979-05-01,59
1979-06-01,60
1979-07-01,60.9
1979-08-01,61.8
1979-09-01,62.5
1979-10-01,63.6
1979-11-01,64
1979-12-01,65
1980-01-01,65.5
1980-02-01,66.9
1980-03-01,67.8
1980-04-01,68.8
1980-05-01,70.1
1980-06-01,71.3
1980-07-01,72.3
1980-08-01,73
1980-09-01,73.5
1980-10-01,73.9
1980-11-01,74.5
1980-12-01,75.4
1981-01-01,76.3
1981-02-01,77.5
1981-03-01,78.1
1981-04-01,79.2
1981-05-01,79.9
1981-06-01,80.9
1981-07-01,82.1
1981-08-01,83.1
1981-09-01,84
1981-10-01,84.1
1981-11-01,85.8
1981-12-01,86.4
1982-01-01,88.1
1982-02-01,88.5
1982-03-01,90
1982-04-01,90.6
1982-05-01,91.7
1982-06-01,92.1
1982-07-01,92.4
1982-08-01,92.9
1982-09-01,94.1
1982-10-01,96.5
1982-11-01,97.6
1982-12-01,98.6
1983-01-01,99.1
1983-02-01,99.5
1983-03-01,100.1
1983-04-01,100.9
1983-05-01,101
1983-06-01,100.7
1983-07-01,101.2
1983-08-01,100.7
1983-09-01,101.1
1983-10-01,101.8
1983-11-01,102.6
1983-12-01,102.9
1984-01-01,102.4
1984-02-01,103
1984-03-01,103
1984-04-01,103.8
1984-05-01,104
1984-06-01,103.7
1984-07-01,105.3
1984-08-01,106
1984-09-01,106.8
1984-10-01,106.6
1984-11-01,106.8
1984-12-01,106.5
1985-01-01,106.6
1985-02-01,106.5
1985-03-01,107.1
1985-04-01,107.3
1985-05-01,107.3
1985-06-01,107
1985-07-01,106.9
1985-08-01,106.1
1985-09-01,106.6
1985-10-01,106.2
1985-11-01,106.1
1985-12-01,106.2
1986-01-01,106.4
1986-02-01,106.7
1986-03-01,106.3
1986-04-01,105.7
1986-05-01,105.2
1986-06-01,106.6
1986-07-01,105.5
1986-08-01,105.9
1986-09-01,105.3
1986-10-01,103.5
1986-11-01,102.8
1986-12-01,102.8
1987-01-01,103.8
1987-02-01,103.4
1987-03-01,103.6
1987-04-01,102.9
1987-05-01,103.3
1987-06-01,104.6
1987-07-01,104
1987-08-01,104.7
1987-09-01,104.9
1987-10-01,103.3
1987-11-01,104
1987-12-01,103.7
1988-01-01,103.4
1988-02-01,103.5
1988-03-01,103.5
1988-04-01,103.9
1988-05-01,103.3
1988-06-01,104.4
1988-07-01,104.6
1988-08-01,104.7
1988-09-01,105.4
1988-10-01,106.3
1988-11-01,106.4
1988-12-01,106.4
1989-01-01,106.7
1989-02-01,106.2
1989-03-01,106.5
1989-04-01,107.1
1989-05-01,107
1989-06-01,107.2
1989-07-01,107.9
1989-08-01,108.3
1989-09-01,108
1989-10-01,108.3
1989-11-01,108.6
1989-12-01,108.9
1990-01-01,108.6
1990-02-01,109.6
1990-03-01,109.6
1990-04-01,109.2
1990-05-01,108.7
1990-06-01,109.4
1990-07-01,108.7
1990-08-01,108.9
1990-09-01,109.4
1990-10-01,109.4
1990-11-01,110.3
1990-12-01,110.2
1991-01-01,112.4
1991-02-01,112.8
1991-03-01,112.7
1991-04-01,111.8
1991-05-01,112.5
1991-06-01,111.6
1991-07-01,112.5
1991-08-01,112
1991-09-01,112.6
1991-10-01,113.2
1991-11-01,113.4
1991-12-01,114
1992-01-01,113.7
1992-02-01,113.5
1992-03-01,113.2
1992-04-01,113.9
1992-05-01,114.1
1992-06-01,114.5
1992-07-01,114.6
1992-08-01,114.8
1992-09-01,115.4
1992-10-01,115.6
1992-11-01,116.9
1992-12-01,117.1
1993-01-01,116.8
1993-02-01,115.2
1993-03-01,117.1
1993-04-01,117.7
1993-05-01,118.5
1993-06-01,119
1993-07-01,119.2
1993-08-01,119.5
1993-09-01,119.9
1993-10-01,120
1993-11-01,119.4
1993-12-01,119.6
1994-01-01,119.1
1994-02-01,119.7
1994-03-01,120.4
1994-04-01,119.6
1994-05-01,119.3
1994-06-01,119.1
1994-07-01,119.2
1994-08-01,119.4
1994-09-01,118.9
1994-10-01,118.6
1994-11-01,118.9
1994-12-01,118.6
1995-01-01,119.3
1995-02-01,119.4
1995-03-01,119.4
1995-04-01,119.2
1995-05-01,118.6
1995-06-01,118.8
1995-07-01,118.8
1995-08-01,119.9
1995-09-01,118.2
1995-10-01,119.4
1995-11-01,119.2
1995-12-01,119.6
1996-01-01,120.1
1996-02-01,120.9
1996-03-01,120.4
1996-04-01,121.6
1996-05-01,122.1
1996-06-01,121
1996-07-01,122.4
1996-08-01,123
1996-09-01,122.8
1996-10-01,122.7
1996-11-01,123.2
1996-12-01,124.2
1997-01-01,126.4
1997-02-01,126.7
1997-03-01,125.4
1997-04-01,124.7
1997-05-01,123.5
1997-06-01,124.7
1997-07-01,124.5
1997-08-01,123.8
1997-09-01,125
1997-10-01,125.2
1997-11-01,126.5
1997-12-01,124.1
1998-01-01,123.3
1998-02-01,121.6
1998-03-01,121.9
1998-04-01,122.3
1998-05-01,122.3
1998-06-01,121.7
1998-07-01,121.3
1998-08-01,120.9
1998-09-01,120
1998-10-01,119.7
1998-11-01,120
1998-12-01,120.1
1999-01-01,120
1999-02-01,120.5
1999-03-01,120.4
1999-04-01,120.2
1999-05-01,120
1999-06-01,120
1999-07-01,120.3
1999-08-01,120.9
1999-09-01,122
1999-10-01,122.2
1999-11-01,122.3
1999-12-01,121.4
2000-01-01,121.6
2000-02-01,123.1
2000-03-01,123.3
2000-04-01,123.8
2000-05-01,123.8
2000-06-01,127
2000-07-01,129.2
2000-08-01,129
2000-09-01,131.5
2000-10-01,133.8
2000-11-01,133.5
2000-12-01,136.6
2001-01-01,146.8
2001-02-01,146.8
2001-03-01,145.7
2001-04-01,144.7
2001-05-01,146
2001-06-01,145.9
2001-07-01,144
2001-08-01,141.8
2001-09-01,139.2
2001-10-01,136.2
2001-11-01,136.1
2001-12-01,135.3
2002-01-01,134.4
2002-02-01,134.1
2002-03-01,134.4
2002-04-01,134.4
2002-05-01,134.4
2002-06-01,133.5
2002-07-01,133.5
2002-08-01,133.5
2002-09-01,134
2002-10-01,135
2002-11-01,135.5
2002-12-01,136.5
2003-01-01,137
2003-02-01,139.8
2003-03-01,146.9
2003-04-01,146.4
2003-05-01,146.4
2003-06-01,146.5
2003-07-01,146.3
2003-08-01,146.5
2003-09-01,147.7
2003-10-01,146.5
2003-11-01,145.3
2003-12-01,145.8
2004-01-01,147
2004-02-01,148.5
2004-03-01,146.9
2004-04-01,147.4
2004-05-01,148.2
2004-06-01,150.6
2004-07-01,151.6
2004-08-01,152.8
2004-09-01,152
2004-10-01,151.5
2004-11-01,155.5
2004-12-01,155.7
2005-01-01,154.8
2005-02-01,155.9
2005-03-01,156.3
2005-04-01,159.3
2005-05-01,160.7
2005-06-01,160.4
2005-07-01,162.6
2005-08-01,165.1
2005-09-01,172.9
2005-10-01,182.4
2005-11-01,185.7
2005-12-01,182
2006-01-01,188.6
2006-02-01,186.1
2006-03-01,183.5
2006-04-01,181.5
2006-05-01,180.7
2006-06-01,179.9
2006-07-01,179.9
2006-08-01,181
2006-09-01,183.2
2006-10-01,178.3
2006-11-01,180.3
2006-12-01,182
2007-01-01,183.022
2007-02-01,184.074
2007-03-01,186.249
2007-04-01,186.123
2007-05-01,186.448
2007-06-01,188.139
2007-07-01,186.519
2007-08-01,185.333
2007-09-01,186.093
2007-10-01,187.331
2007-11-01,187.885
2007-12-01,188.21
2008-01-01,187.893
2008-02-01,190.139
2008-03-01,193.324
2008-04-01,198.339
2008-05-01,203.096
2008-06-01,207.674
2008-07-01,214.373
2008-08-01,213.071
2008-09-01,207.264
2008-10-01,205.382
2008-11-01,203.009
2008-12-01,202.903
2009-01-01,202.024
2009-02-01,200.49
2009-03-01,197.78
2009-04-01,194.583
2009-05-01,191.213
2009-06-01,191.141
2009-07-01,189.862
2009-08-01,189.631
2009-09-01,189.557
2009-10-01,190.844
2009-11-01,193.167
2009-12-01,192.348
2010-01-01,192.463
2010-02-01,191.885
2010-03-01,194.002
2010-04-01,194.01
2010-05-01,193.429
2010-06-01,192.586
2010-07-01,193.461
2010-08-01,193.75
2010-09-01,192.785
2010-10-01,192.619
2010-11-01,191.335
2010-12-01,192.163
2011-01-01,191.375
2011-02-01,192.348
2011-03-01,193.275
2011-04-01,194.315
2011-05-01,195.289
2011-06-01,194.587
2011-07-01,195.46
2011-08-01,195.694
2011-09-01,196.438
2011-10-01,195.647
2011-11-01,194.665
2011-12-01,193.627
2012-01-01,192.221
2012-02-01,190.492
2012-03-01,189.745
2012-04-01,189.268
2012-05-01,188.022
2012-06-01,188.408
2012-07-01,187.546
2012-08-01,188.819
2012-09-01,189.036
2012-10-01,189.754
2012-11-01,191.433
2012-12-01,191.59
2013-01-01,191.943
2013-02-01,192.625
2013-03-01,192.157
2013-04-01,194.187
2013-05-01,196.397
2013-06-01,196.117
2013-07-01,195.813
2013-08-01,194.73
2013-09-01,195.904
2013-10-01,195.985
2013-11-01,195.995
2013-12-01,196.18
2014-01-01,199.864
2014-02-01,201.224
2014-03-01,206.971
2014-04-01,202.451
2014-05-01,204.98
2014-06-01,205.072
2014-07-01,205.442
2014-08-01,203.85
2014-09-01,203.241
2014-10-01,202.514
2014-11-01,201.607
2014-12-01,203.473
2015-01-01,203.197
2015-02-01,202.869
2015-03-01,200.887
2015-04-01,199.886
2015-05-01,198.157
2015-06-01,199.148
2015-07-01,197.974
2015-08-01,197.905
2015-09-01,197.46
2015-10-01,196.686
2015-11-01,195.996
2015-12-01,194.266
2016-01-01,193.63
2016-02-01,193.118
2016-03-01,193.472
2016-04-01,193.632
2016-05-01,194.328
2016-06-01,194.521
2016-07-01,196.697
2016-08-01,197.788
2016-09-01,199.183
2016-10-01,199.164
2016-11-01,198.706
2016-12-01,198.373
2017-01-01,199.114
2017-02-01,200.293
2017-03-01,199.95
2017-04-01,201.997
2017-05-01,203.43
2017-06-01,204.171
2017-07-01,204.338
2017-08-01,204.067
2017-09-01,203.857
2017-10-01,203.244
2017-11-01,203.556
2017-12-01,204.239
2018-01-01,203.096
2018-02-01,205.629
2018-03-01,205.143
2018-04-01,204.32
2018-05-01,204.491
2018-06-01,203.353
2018-07-01,202.745
2018-08-01,203.52
2018-09-01,201.561
2018-10-01,202.668
2018-11-01,202.723
2018-12-01,206.85
2019-01-01,205.316
2019-02-01,204.224
2019-03-01,204.785
2019-04-01,204.036
2019-05-01,203.081
2019-06-01,202.464
2019-07-01,202.664
2019-08-01,202.199
2019-09-01,201.745
2019-10-01,203.084
2019-11-01,203.577
2019-12-01,204.423
2020-01-01,204.392
2020-02-01,204.201
2020-03-01,203.673
2020-04-01,203.323
2020-05-01,202.809
2020-06-01,202.929
2020-07-01,202.656
2020-08-01,202.044
2020-09-01,204.686
2020-10-01,205.668
2020-11-01,207.925
2020-12-01,209.933
2021-01-01,208.498
2021-02-01,210.959
2021-03-01,212.001
2021-04-01,214.255
2021-05-01,215.468
2021-06-01,216.029
2021-07-01,217.391
2021-08-01,219.436
2021-09-01,222.192
2021-10-01,228.536
2021-11-01,229.978
2021-12-01,231.637
2022-01-01,236.513
2022-02-01,237.128
2022-03-01,240.494
2022-04-01,243.678
2022-05-01,250.504
2022-06-01,258.268
2022-07-01,258.361
2022-08-01,262.975
2022-09-01,266.065
2022-10-01,264.244
2022-11-01,262.751
2022-12-01,267.77
2023-01-01,273.445
2023-02-01,268.768
2023-03-01,262.551
2023-04-01,258.134
2023-05-01,254.55
2023-06-01,255.463
2023-07-01,255.132
2023-08-01,255.697
2023-09-01,257.128
2023-10-01,258.317
2023-11-01,262.793
