"Date","CWUR0000SAS"
1954-05-01,NA
1954-06-01,20.1
1954-07-01,NA
1954-08-01,NA
1954-09-01,20.2
1954-10-01,NA
1954-11-01,NA
1954-12-01,20.3
1955-01-01,NA
1955-02-01,NA
1955-03-01,20.4
1955-04-01,NA
1955-05-01,NA
1955-06-01,20.6
1955-07-01,NA
1955-08-01,NA
1955-09-01,20.6
1955-10-01,NA
1955-11-01,NA
1955-12-01,20.8
1956-01-01,20.8
1956-02-01,20.8
1956-03-01,20.9
1956-04-01,20.9
1956-05-01,21
1956-06-01,21
1956-07-01,21.1
1956-08-01,21.2
1956-09-01,21.2
1956-10-01,21.3
1956-11-01,21.3
1956-12-01,21.4
1957-01-01,21.5
1957-02-01,21.6
1957-03-01,21.7
1957-04-01,21.7
1957-05-01,21.8
1957-06-01,21.9
1957-07-01,22
1957-08-01,22.1
1957-09-01,22.1
1957-10-01,22.2
1957-11-01,22.3
1957-12-01,22.4
1958-01-01,22.4
1958-02-01,22.5
1958-03-01,22.6
1958-04-01,22.7
1958-05-01,22.7
1958-06-01,22.8
1958-07-01,22.8
1958-08-01,22.9
1958-09-01,22.9
1958-10-01,22.9
1958-11-01,23
1958-12-01,23
1959-01-01,23.1
1959-02-01,23.1
1959-03-01,23.2
1959-04-01,23.3
1959-05-01,23.3
1959-06-01,23.3
1959-07-01,23.4
1959-08-01,23.5
1959-09-01,23.7
1959-10-01,23.7
1959-11-01,23.7
1959-12-01,23.8
1960-01-01,23.8
1960-02-01,24
1960-03-01,24
1960-04-01,24.1
1960-05-01,24.1
1960-06-01,24.1
1960-07-01,24.2
1960-08-01,24.3
1960-09-01,24.3
1960-10-01,24.4
1960-11-01,24.4
1960-12-01,24.4
1961-01-01,24.5
1961-02-01,24.6
1961-03-01,24.6
1961-04-01,24.6
1961-05-01,24.7
1961-06-01,24.7
1961-07-01,24.7
1961-08-01,24.7
1961-09-01,24.8
1961-10-01,24.8
1961-11-01,24.8
1961-12-01,24.9
1962-01-01,25
1962-02-01,25
1962-03-01,25
1962-04-01,25.1
1962-05-01,25.1
1962-06-01,25.2
1962-07-01,25.2
1962-08-01,25.3
1962-09-01,25.3
1962-10-01,25.3
1962-11-01,25.3
1962-12-01,25.3
1963-01-01,25.4
1963-02-01,25.5
1963-03-01,25.5
1963-04-01,25.5
1963-05-01,25.6
1963-06-01,25.6
1963-07-01,25.7
1963-08-01,25.7
1963-09-01,25.8
1963-10-01,25.8
1963-11-01,25.9
1963-12-01,25.9
1964-01-01,25.9
1964-02-01,25.9
1964-03-01,26
1964-04-01,26.1
1964-05-01,26.1
1964-06-01,26.1
1964-07-01,26.2
1964-08-01,26.2
1964-09-01,26.2
1964-10-01,26.3
1964-11-01,26.3
1964-12-01,26.4
1965-01-01,26.5
1965-02-01,26.5
1965-03-01,26.6
1965-04-01,26.6
1965-05-01,26.7
1965-06-01,26.7
1965-07-01,26.7
1965-08-01,26.8
1965-09-01,26.9
1965-10-01,27
1965-11-01,27
1965-12-01,27.1
1966-01-01,27.1
1966-02-01,27.2
1966-03-01,27.3
1966-04-01,27.5
1966-05-01,27.6
1966-06-01,27.7
1966-07-01,27.8
1966-08-01,27.9
1966-09-01,28
1966-10-01,28.2
1966-11-01,28.3
1966-12-01,28.4
1967-01-01,28.5
1967-02-01,28.6
1967-03-01,28.7
1967-04-01,28.7
1967-05-01,28.8
1967-06-01,28.9
1967-07-01,29
1967-08-01,29.1
1967-09-01,29.2
1967-10-01,29.3
1967-11-01,29.4
1967-12-01,29.5
1968-01-01,29.7
1968-02-01,29.8
1968-03-01,30
1968-04-01,30.1
1968-05-01,30.2
1968-06-01,30.4
1968-07-01,30.6
1968-08-01,30.8
1968-09-01,30.9
1968-10-01,31
1968-11-01,31.2
1968-12-01,31.3
1969-01-01,31.5
1969-02-01,31.7
1969-03-01,32
1969-04-01,32.2
1969-05-01,32.4
1969-06-01,32.5
1969-07-01,32.7
1969-08-01,32.9
1969-09-01,33.1
1969-10-01,33.3
1969-11-01,33.4
1969-12-01,33.7
1970-01-01,33.9
1970-02-01,34.2
1970-03-01,34.6
1970-04-01,34.8
1970-05-01,35
1970-06-01,35.2
1970-07-01,35.4
1970-08-01,35.6
1970-09-01,35.8
1970-10-01,36
1970-11-01,36.2
1970-12-01,36.4
1971-01-01,36.6
1971-02-01,36.7
1971-03-01,36.7
1971-04-01,36.8
1971-05-01,37
1971-06-01,37.2
1971-07-01,37.3
1971-08-01,37.5
1971-09-01,37.6
1971-10-01,37.7
1971-11-01,37.8
1971-12-01,37.9
1972-01-01,38.1
1972-02-01,38.2
1972-03-01,38.3
1972-04-01,38.4
1972-05-01,38.5
1972-06-01,38.6
1972-07-01,38.7
1972-08-01,38.8
1972-09-01,38.9
1972-10-01,39
1972-11-01,39.1
1972-12-01,39.3
1973-01-01,39.3
1973-02-01,39.5
1973-03-01,39.6
1973-04-01,39.7
1973-05-01,39.9
1973-06-01,40
1973-07-01,40.1
1973-08-01,40.4
1973-09-01,40.8
1973-10-01,41.2
1973-11-01,41.5
1973-12-01,41.7
1974-01-01,42
1974-02-01,42.3
1974-03-01,42.6
1974-04-01,42.9
1974-05-01,43.3
1974-06-01,43.7
1974-07-01,44.2
1974-08-01,44.7
1974-09-01,45.2
1974-10-01,45.6
1974-11-01,46
1974-12-01,46.4
1975-01-01,46.8
1975-02-01,47.1
1975-03-01,47.3
1975-04-01,47.6
1975-05-01,47.7
1975-06-01,48
1975-07-01,48.3
1975-08-01,48.5
1975-09-01,49
1975-10-01,49.3
1975-11-01,49.9
1975-12-01,50.2
1976-01-01,50.7
1976-02-01,51.1
1976-03-01,51.4
1976-04-01,51.5
1976-05-01,51.7
1976-06-01,52
1976-07-01,52.4
1976-08-01,52.7
1976-09-01,53.1
1976-10-01,53.4
1976-11-01,53.7
1976-12-01,53.9
1977-01-01,54.3
1977-02-01,54.7
1977-03-01,55.1
1977-04-01,55.4
1977-05-01,55.7
1977-06-01,56.2
1977-07-01,56.6
1977-08-01,56.9
1977-09-01,57.3
1977-10-01,57.5
1977-11-01,57.8
1977-12-01,58.1
1978-01-01,58.6
1978-02-01,59
1978-03-01,59.4
1978-04-01,59.8
1978-05-01,60.3
1978-06-01,60.8
1978-07-01,61.3
1978-08-01,61.8
1978-09-01,62.4
1978-10-01,63
1978-11-01,63.3
1978-12-01,63.5
1979-01-01,64.1
1979-02-01,64.7
1979-03-01,65.3
1979-04-01,65.8
1979-05-01,66.6
1979-06-01,67.3
1979-07-01,68.2
1979-08-01,69
1979-09-01,69.9
1979-10-01,70.7
1979-11-01,71.5
1979-12-01,72.4
1980-01-01,73.5
1980-02-01,74.6
1980-03-01,75.9
1980-04-01,77.1
1980-05-01,78.2
1980-06-01,79.8
1980-07-01,79.2
1980-08-01,79.2
1980-09-01,79.8
1980-10-01,80.8
1980-11-01,81.6
1980-12-01,82.8
1981-01-01,83.6
1981-02-01,84.3
1981-03-01,85
1981-04-01,85.8
1981-05-01,87
1981-06-01,88.1
1981-07-01,89.8
1981-08-01,90.7
1981-09-01,92.1
1981-10-01,92.5
1981-11-01,93.1
1981-12-01,93.5
1982-01-01,94
1982-02-01,94.4
1982-03-01,94.5
1982-04-01,95.4
1982-05-01,96.4
1982-06-01,97.3
1982-07-01,98
1982-08-01,98.6
1982-09-01,98.7
1982-10-01,98.9
1982-11-01,98.4
1982-12-01,97.5
1983-01-01,97.7
1983-02-01,97.9
1983-03-01,98.1
1983-04-01,98.4
1983-05-01,98.6
1983-06-01,99
1983-07-01,99.4
1983-08-01,100
1983-09-01,100.6
1983-10-01,100.9
1983-11-01,100.9
1983-12-01,101
1984-01-01,101.4
1984-02-01,101.5
1984-03-01,101.4
1984-04-01,101.5
1984-05-01,102.5
1984-06-01,103
1984-07-01,103.8
1984-08-01,105.5
1984-09-01,106.3
1984-10-01,106.2
1984-11-01,106.1
1984-12-01,106.3
1985-01-01,106.8
1985-02-01,107.2
1985-03-01,107.6
1985-04-01,107.9
1985-05-01,108.7
1985-06-01,109.4
1985-07-01,109.9
1985-08-01,110.4
1985-09-01,110.7
1985-10-01,111
1985-11-01,111.4
1985-12-01,111.6
1986-01-01,112.3
1986-02-01,112.7
1986-03-01,113.2
1986-04-01,113.7
1986-05-01,114
1986-06-01,114.9
1986-07-01,115.3
1986-08-01,115.7
1986-09-01,116.1
1986-10-01,116.3
1986-11-01,116.3
1986-12-01,116.4
1987-01-01,116.9
1987-02-01,117.3
1987-03-01,117.7
1987-04-01,118.1
1987-05-01,118.5
1987-06-01,119.3
1987-07-01,119.7
1987-08-01,120.4
1987-09-01,120.9
1987-10-01,121.1
1987-11-01,121.2
1987-12-01,121.3
1988-01-01,122
1988-02-01,122.5
1988-03-01,122.8
1988-04-01,123.1
1988-05-01,123.6
1988-06-01,124.5
1988-07-01,125.1
1988-08-01,125.7
1988-09-01,126.3
1988-10-01,126.7
1988-11-01,126.9
1988-12-01,127.2
1989-01-01,127.9
1989-02-01,128.4
1989-03-01,128.9
1989-04-01,129.1
1989-05-01,129.7
1989-06-01,130.6
1989-07-01,131.5
1989-08-01,132
1989-09-01,132.3
1989-10-01,132.6
1989-11-01,132.9
1989-12-01,133.4
1990-01-01,134.2
1990-02-01,134.8
1990-03-01,135.6
1990-04-01,135.8
1990-05-01,136.2
1990-06-01,137.4
1990-07-01,138.3
1990-08-01,139.3
1990-09-01,139.9
1990-10-01,140.1
1990-11-01,140.4
1990-12-01,140.7
1991-01-01,142
1991-02-01,142.7
1991-03-01,143
1991-04-01,143
1991-05-01,143.4
1991-06-01,144.1
1991-07-01,145
1991-08-01,145.5
1991-09-01,146.2
1991-10-01,146.4
1991-11-01,146.6
1991-12-01,147
1992-01-01,147.8
1992-02-01,148.2
1992-03-01,148.7
1992-04-01,148.8
1992-05-01,149
1992-06-01,149.8
1992-07-01,150.5
1992-08-01,150.9
1992-09-01,151.1
1992-10-01,151.6
1992-11-01,151.9
1992-12-01,152.1
1993-01-01,153
1993-02-01,153.5
1993-03-01,153.9
1993-04-01,154.1
1993-05-01,154.5
1993-06-01,155.5
1993-07-01,156
1993-08-01,156.5
1993-09-01,156.9
1993-10-01,157.1
1993-11-01,157.2
1993-12-01,157.6
1994-01-01,158.2
1994-02-01,159
1994-03-01,159.4
1994-04-01,159.4
1994-05-01,159.6
1994-06-01,160.4
1994-07-01,160.9
1994-08-01,161.6
1994-09-01,161.9
1994-10-01,162.1
1994-11-01,162.3
1994-12-01,162.4
1995-01-01,163.4
1995-02-01,164.1
1995-03-01,164.6
1995-04-01,164.8
1995-05-01,165.1
1995-06-01,166
1995-07-01,166.5
1995-08-01,167
1995-09-01,167.3
1995-10-01,167.7
1995-11-01,167.7
1995-12-01,167.9
1996-01-01,168.6
1996-02-01,169.4
1996-03-01,169.8
1996-04-01,170
1996-05-01,170.4
1996-06-01,171.2
1996-07-01,172
1996-08-01,172.5
1996-09-01,172.8
1996-10-01,173
1996-11-01,173.2
1996-12-01,173.4
1997-01-01,174.2
1997-02-01,174.9
1997-03-01,175.2
1997-04-01,175.3
1997-05-01,175.5
1997-06-01,176.4
1997-07-01,177.1
1997-08-01,177.4
1997-09-01,177.7
1997-10-01,178
1997-11-01,178.1
1997-12-01,178.2
1998-01-01,178.7
1998-02-01,179.1
1998-03-01,179.6
1998-04-01,179.9
1998-05-01,180.3
1998-06-01,181.1
1998-07-01,181.6
1998-08-01,181.9
1998-09-01,182.2
1998-10-01,182.3
1998-11-01,182.4
1998-12-01,182.5
1999-01-01,183
1999-02-01,183.5
1999-03-01,184
1999-04-01,184.2
1999-05-01,184.4
1999-06-01,185.2
1999-07-01,185.9
1999-08-01,186.3
1999-09-01,186.6
1999-10-01,186.7
1999-11-01,187.1
1999-12-01,187.2
2000-01-01,188.1
2000-02-01,188.7
2000-03-01,189.4
2000-04-01,189.6
2000-05-01,190.1
2000-06-01,191.5
2000-07-01,192.4
2000-08-01,193
2000-09-01,193.4
2000-10-01,193.9
2000-11-01,194
2000-12-01,194.5
2001-01-01,196.6
2001-02-01,197.2
2001-03-01,197.8
2001-04-01,198
2001-05-01,198.7
2001-06-01,200.1
2001-07-01,200.6
2001-08-01,201.2
2001-09-01,201.1
2001-10-01,201
2001-11-01,201.4
2001-12-01,201.7
2002-01-01,202.5
2002-02-01,203.3
2002-03-01,203.9
2002-04-01,204.2
2002-05-01,204.8
2002-06-01,205.8
2002-07-01,206.6
2002-08-01,207.3
2002-09-01,207.6
2002-10-01,207.8
2002-11-01,208.1
2002-12-01,208.3
2003-01-01,209.4
2003-02-01,210.2
2003-03-01,211.2
2003-04-01,211.3
2003-05-01,212
2003-06-01,212.9
2003-07-01,213.6
2003-08-01,214
2003-09-01,214.3
2003-10-01,214.4
2003-11-01,214.1
2003-12-01,214.2
2004-01-01,215.3
2004-02-01,216
2004-03-01,216.7
2004-04-01,217.1
2004-05-01,217.6
2004-06-01,219
2004-07-01,219.7
2004-08-01,220.2
2004-09-01,220.3
2004-10-01,220
2004-11-01,220.4
2004-12-01,220.5
2005-01-01,221.5
2005-02-01,222.3
2005-03-01,223.2
2005-04-01,223.8
2005-05-01,224.2
2005-06-01,225.3
2005-07-01,226.3
2005-08-01,226.8
2005-09-01,227.5
2005-10-01,228.6
2005-11-01,229.3
2005-12-01,229.2
2006-01-01,230.7
2006-02-01,231.2
2006-03-01,231.8
2006-04-01,232.2
2006-05-01,232.8
2006-06-01,234.3
2006-07-01,235.2
2006-08-01,235.9
2006-09-01,236.3
2006-10-01,235.8
2006-11-01,236.2
2006-12-01,236.6
2007-01-01,237.761
2007-02-01,238.783
2007-03-01,239.586
2007-04-01,240.106
2007-05-01,240.672
2007-06-01,242.241
2007-07-01,242.901
2007-08-01,243.118
2007-09-01,243.436
2007-10-01,243.572
2007-11-01,243.906
2007-12-01,244.275
2008-01-01,245.484
2008-02-01,246.154
2008-03-01,247.197
2008-04-01,248.045
2008-05-01,249.175
2008-06-01,251.365
2008-07-01,252.991
2008-08-01,253.304
2008-09-01,252.861
2008-10-01,252.369
2008-11-01,252.144
2008-12-01,252.176
2009-01-01,253.033
2009-02-01,253.456
2009-03-01,253.591
2009-04-01,253.403
2009-05-01,253.482
2009-06-01,254.624
2009-07-01,255.003
2009-08-01,255.342
2009-09-01,255.244
2009-10-01,254.847
2009-11-01,254.663
2009-12-01,254.519
2010-01-01,254.918
2010-02-01,255.199
2010-03-01,255.634
2010-04-01,255.796
2010-05-01,256.048
2010-06-01,257.138
2010-07-01,257.595
2010-08-01,257.745
2010-09-01,257.663
2010-10-01,257.198
2010-11-01,257.219
2010-12-01,257.382
2011-01-01,257.982
2011-02-01,258.732
2011-03-01,259.108
2011-04-01,259.419
2011-05-01,260.062
2011-06-01,261.122
2011-07-01,261.777
2011-08-01,262.344
2011-09-01,262.636
2011-10-01,262.427
2011-11-01,262.535
2011-12-01,262.954
2012-01-01,263.615
2012-02-01,263.904
2012-03-01,264.394
2012-04-01,264.819
2012-05-01,265.369
2012-06-01,266.623
2012-07-01,266.938
2012-08-01,267.409
2012-09-01,267.865
2012-10-01,267.906
2012-11-01,268.233
2012-12-01,268.661
2013-01-01,269.551
2013-02-01,270.341
2013-03-01,270.749
2013-04-01,271.032
2013-05-01,271.918
2013-06-01,273.071
2013-07-01,273.616
2013-08-01,274.017
2013-09-01,274.511
2013-10-01,274.347
2013-11-01,274.59
2013-12-01,274.948
2014-01-01,276.158
2014-02-01,276.933
2014-03-01,278.156
2014-04-01,278.269
2014-05-01,279.451
2014-06-01,280.589
2014-07-01,280.998
2014-08-01,281.082
2014-09-01,281.342
2014-10-01,281.21
2014-11-01,281.349
2014-12-01,281.8
2015-01-01,282.761
2015-02-01,283.352
2015-03-01,283.748
2015-04-01,284.353
2015-05-01,284.895
2015-06-01,286.337
2015-07-01,286.772
2015-08-01,287.138
2015-09-01,287.626
2015-10-01,287.9
2015-11-01,288.423
2015-12-01,288.663
2016-01-01,289.731
2016-02-01,290.516
2016-03-01,291.168
2016-04-01,291.837
2016-05-01,293.028
2016-06-01,294.472
2016-07-01,295.152
2016-08-01,295.864
2016-09-01,296.32
2016-10-01,296.343
2016-11-01,296.901
2016-12-01,297.48
2017-01-01,298.67
2017-02-01,299.758
2017-03-01,299.398
2017-04-01,299.829
2017-05-01,300.822
2017-06-01,302.107
2017-07-01,302.474
2017-08-01,303.26
2017-09-01,303.747
2017-10-01,304.037
2017-11-01,304.493
2017-12-01,305.191
2018-01-01,306.317
2018-02-01,307.517
2018-03-01,308.032
2018-04-01,308.47
2018-05-01,309.563
2018-06-01,310.629
2018-07-01,311.072
2018-08-01,311.589
2018-09-01,311.912
2018-10-01,312.321
2018-11-01,312.663
2018-12-01,313.441
2019-01-01,314.354
2019-02-01,315.115
2019-03-01,315.809
2019-04-01,316.437
2019-05-01,317.096
2019-06-01,318.398
2019-07-01,319.051
2019-08-01,319.694
2019-09-01,320.302
2019-10-01,321.002
2019-11-01,321.571
2019-12-01,321.967
2020-01-01,323.264
2020-02-01,324.294
2020-03-01,324.348
2020-04-01,323.341
2020-05-01,323.351
2020-06-01,324.61
2020-07-01,326.628
2020-08-01,327.019
2020-09-01,327.068
2020-10-01,327.114
2020-11-01,327.755
2020-12-01,327.834
2021-01-01,328.263
2021-02-01,329.423
2021-03-01,330.433
2021-04-01,331.831
2021-05-01,333.235
2021-06-01,334.964
2021-07-01,336.096
2021-08-01,336.585
2021-09-01,337.282
2021-10-01,338.972
2021-11-01,340.073
2021-12-01,340.889
2022-01-01,343.365
2022-02-01,345.295
2022-03-01,347.306
2022-04-01,349.715
2022-05-01,352.555
2022-06-01,356.273
2022-07-01,357.84
2022-08-01,360.3
2022-09-01,362.948
2022-10-01,364.144
2022-11-01,365.408
2022-12-01,367.422
2023-01-01,370.555
2023-02-01,372.208
2023-03-01,373.358
2023-04-01,374.424
2023-05-01,375.577
2023-06-01,377.322
2023-07-01,378.497
2023-08-01,379.946
2023-09-01,381.807
2023-10-01,383.16
2023-11-01,384.893
