"Date","CUUR0000SAT1"
1964-11-01,32.2
1964-12-01,32.3
1965-01-01,32.5
1965-02-01,32.4
1965-03-01,32.3
1965-04-01,32.5
1965-05-01,32.6
1965-06-01,32.5
1965-07-01,32.6
1965-08-01,32.5
1965-09-01,32.5
1965-10-01,32.5
1965-11-01,32.7
1965-12-01,32.7
1966-01-01,32.5
1966-02-01,32.5
1966-03-01,32.6
1966-04-01,32.8
1966-05-01,32.8
1966-06-01,32.8
1966-07-01,33.1
1966-08-01,33.1
1966-09-01,33
1966-10-01,33.3
1966-11-01,33.4
1966-12-01,33.1
1967-01-01,33
1967-02-01,33.2
1967-03-01,33.3
1967-04-01,33.6
1967-05-01,33.7
1967-06-01,33.7
1967-07-01,33.9
1967-08-01,33.9
1967-09-01,34.1
1967-10-01,34.3
1967-11-01,34.5
1967-12-01,34.4
1968-01-01,34.6
1968-02-01,34.5
1968-03-01,34.6
1968-04-01,34.6
1968-05-01,34.6
1968-06-01,34.8
1968-07-01,34.9
1968-08-01,34.9
1968-09-01,34.8
1968-10-01,35.1
1968-11-01,35.3
1968-12-01,34.9
1969-01-01,35
1969-02-01,35.4
1969-03-01,36.1
1969-04-01,36.2
1969-05-01,35.9
1969-06-01,36.1
1969-07-01,36
1969-08-01,36
1969-09-01,35.7
1969-10-01,36.4
1969-11-01,36.4
1969-12-01,36.6
1970-01-01,36.6
1970-02-01,36.6
1970-03-01,36.5
1970-04-01,37.1
1970-05-01,37.3
1970-06-01,37.6
1970-07-01,37.7
1970-08-01,37.5
1970-09-01,37.6
1970-10-01,38.3
1970-11-01,38.6
1970-12-01,38.9
1971-01-01,39.1
1971-02-01,39.1
1971-03-01,39.2
1971-04-01,39.2
1971-05-01,39.5
1971-06-01,39.7
1971-07-01,39.7
1971-08-01,39.6
1971-09-01,39.3
1971-10-01,39.6
1971-11-01,39.4
1971-12-01,39.3
1972-01-01,39.3
1972-02-01,39.1
1972-03-01,39.2
1972-04-01,39.2
1972-05-01,39.6
1972-06-01,39.6
1972-07-01,39.8
1972-08-01,39.9
1972-09-01,40
1972-10-01,40.1
1972-11-01,40.2
1972-12-01,40.2
1973-01-01,40
1973-02-01,40.1
1973-03-01,40.2
1973-04-01,40.6
1973-05-01,41
1973-06-01,41.4
1973-07-01,41.4
1973-08-01,41.3
1973-09-01,41.1
1973-10-01,41.5
1973-11-01,41.8
1973-12-01,42.1
1974-01-01,42.6
1974-02-01,43.1
1974-03-01,44.1
1974-04-01,44.7
1974-05-01,45.7
1974-06-01,46.5
1974-07-01,47.2
1974-08-01,47.5
1974-09-01,47.8
1974-10-01,48.1
1974-11-01,48.2
1974-12-01,48.1
1975-01-01,48
1975-02-01,48.1
1975-03-01,48.7
1975-04-01,49.2
1975-05-01,49.6
1975-06-01,50.4
1975-07-01,51.5
1975-08-01,51.8
1975-09-01,52
1975-10-01,52.3
1975-11-01,52.7
1975-12-01,52.8
1976-01-01,53
1976-02-01,53.1
1976-03-01,53.6
1976-04-01,54.1
1976-05-01,54.9
1976-06-01,55.7
1976-07-01,56.4
1976-08-01,56.7
1976-09-01,57
1976-10-01,57.5
1976-11-01,57.6
1976-12-01,57.7
1977-01-01,57.9
1977-02-01,58.3
1977-03-01,58.8
1977-04-01,59.5
1977-05-01,60
1977-06-01,60.3
1977-07-01,60.4
1977-08-01,60.2
1977-09-01,60.1
1977-10-01,60.1
1977-11-01,60.1
1977-12-01,60.1
1978-01-01,60.2
1978-02-01,60.3
1978-03-01,60.5
1978-04-01,60.9
1978-05-01,61.7
1978-06-01,62.5
1978-07-01,63.1
1978-08-01,63.4
1978-09-01,63.6
1978-10-01,64
1978-11-01,64.6
1978-12-01,65
1979-01-01,65.5
1979-02-01,66.1
1979-03-01,66.9
1979-04-01,68.7
1979-05-01,70.3
1979-06-01,72.1
1979-07-01,73.5
1979-08-01,74.5
1979-09-01,75
1979-10-01,75.4
1979-11-01,76
1979-12-01,76.9
1980-01-01,78.9
1980-02-01,81
1980-03-01,82.4
1980-04-01,83.5
1980-05-01,84.2
1980-06-01,84.4
1980-07-01,84.6
1980-08-01,85
1980-09-01,85.5
1980-10-01,86
1980-11-01,87
1980-12-01,87.6
1981-01-01,88.8
1981-02-01,91
1981-03-01,91.8
1981-04-01,92.4
1981-05-01,93.2
1981-06-01,93.9
1981-07-01,94.5
1981-08-01,94.8
1981-09-01,95.2
1981-10-01,95.9
1981-11-01,96.6
1981-12-01,96.8
1982-01-01,96.8
1982-02-01,96.1
1982-03-01,95
1982-04-01,94.2
1982-05-01,95.1
1982-06-01,97.6
1982-07-01,98.8
1982-08-01,98.8
1982-09-01,98.4
1982-10-01,98.4
1982-11-01,98.5
1982-12-01,98.1
1983-01-01,97.4
1983-02-01,96.4
1983-03-01,95.5
1983-04-01,97.1
1983-05-01,98.6
1983-06-01,99.3
1983-07-01,100
1983-08-01,100.7
1983-09-01,101.1
1983-10-01,101.5
1983-11-01,101.9
1983-12-01,102
1984-01-01,101.7
1984-02-01,101.6
1984-03-01,102
1984-04-01,103
1984-05-01,103.9
1984-06-01,104.1
1984-07-01,103.9
1984-08-01,103.9
1984-09-01,104.2
1984-10-01,104.8
1984-11-01,105
1984-12-01,104.9
1985-01-01,104.4
1985-02-01,104.3
1985-03-01,105.1
1985-04-01,106.3
1985-05-01,106.8
1985-06-01,106.9
1985-07-01,106.8
1985-08-01,106.4
1985-09-01,106
1985-10-01,106.3
1985-11-01,107.1
1985-12-01,107.4
1986-01-01,107.2
1986-02-01,105.5
1986-03-01,102.1
1986-04-01,99.8
1986-05-01,100.6
1986-06-01,101.6
1986-07-01,100.2
1986-08-01,98.9
1986-09-01,99.2
1986-10-01,99.4
1986-11-01,99.9
1986-12-01,100
1987-01-01,101.3
1987-02-01,101.8
1987-03-01,102
1987-04-01,103
1987-05-01,103.5
1987-06-01,104.3
1987-07-01,104.9
1987-08-01,105.4
1987-09-01,105.4
1987-10-01,106
1987-11-01,106.8
1987-12-01,106.5
1988-01-01,106
1988-02-01,105.7
1988-03-01,105.4
1988-04-01,106
1988-05-01,107
1988-06-01,107.4
1988-07-01,107.8
1988-08-01,108.6
1988-09-01,108.6
1988-10-01,109
1988-11-01,109.6
1988-12-01,109.6
1989-01-01,109.8
1989-02-01,110.3
1989-03-01,110.7
1989-04-01,113.6
1989-05-01,115
1989-06-01,114.9
1989-07-01,114.3
1989-08-01,113.1
1989-09-01,112.4
1989-10-01,113.3
1989-11-01,113.7
1989-12-01,113.9
1990-01-01,115.9
1990-02-01,115.6
1990-03-01,115.1
1990-04-01,115.5
1990-05-01,115.9
1990-06-01,116.4
1990-07-01,116.6
1990-08-01,119
1990-09-01,121.4
1990-10-01,124.2
1990-11-01,125.1
1990-12-01,125.1
1991-01-01,123.2
1991-02-01,121.2
1991-03-01,119.9
1991-04-01,120.2
1991-05-01,121.5
1991-06-01,121.9
1991-07-01,121.7
1991-08-01,122
1991-09-01,122.1
1991-10-01,122.4
1991-11-01,123.4
1991-12-01,123.4
1992-01-01,122.5
1992-02-01,122
1992-03-01,122.2
1992-04-01,122.9
1992-05-01,124.3
1992-06-01,125.4
1992-07-01,125.5
1992-08-01,125.4
1992-09-01,125.4
1992-10-01,126.1
1992-11-01,127
1992-12-01,126.7
1993-01-01,126.6
1993-02-01,126.5
1993-03-01,126.3
1993-04-01,126.8
1993-05-01,127.5
1993-06-01,127.6
1993-07-01,127.4
1993-08-01,127.3
1993-09-01,127.1
1993-10-01,129
1993-11-01,129.5
1993-12-01,128.6
1994-01-01,128.2
1994-02-01,128.5
1994-03-01,128.6
1994-04-01,129.2
1994-05-01,130
1994-06-01,131
1994-07-01,131.8
1994-08-01,133
1994-09-01,133.1
1994-10-01,133.6
1994-11-01,134.8
1994-12-01,134.9
1995-01-01,134.9
1995-02-01,135
1995-03-01,135.2
1995-04-01,136.2
1995-05-01,137.5
1995-06-01,137.9
1995-07-01,136.9
1995-08-01,136.3
1995-09-01,135.9
1995-10-01,136.3
1995-11-01,136.5
1995-12-01,136.6
1996-01-01,137.4
1996-02-01,137.5
1996-03-01,138.3
1996-04-01,140.3
1996-05-01,141.7
1996-06-01,141
1996-07-01,140.5
1996-08-01,139.9
1996-09-01,140
1996-10-01,140.5
1996-11-01,141.5
1996-12-01,141.7
1997-01-01,141.8
1997-02-01,141.9
1997-03-01,141.5
1997-04-01,141.3
1997-05-01,141
1997-06-01,140.7
1997-07-01,140.1
1997-08-01,140.8
1997-09-01,141
1997-10-01,140.9
1997-11-01,140.6
1997-12-01,140
1998-01-01,139.3
1998-02-01,138.4
1998-03-01,137.5
1998-04-01,137.7
1998-05-01,138.4
1998-06-01,138.2
1998-07-01,138
1998-08-01,137.4
1998-09-01,137
1998-10-01,137.7
1998-11-01,138
1998-12-01,137.2
1999-01-01,136.7
1999-02-01,135.9
1999-03-01,136.4
1999-04-01,140.1
1999-05-01,140.2
1999-06-01,139.7
1999-07-01,140.6
1999-08-01,141.9
1999-09-01,142.9
1999-10-01,143.3
1999-11-01,143.6
1999-12-01,144.4
2000-01-01,144.4
2000-02-01,145.6
2000-03-01,149.2
2000-04-01,148.7
2000-05-01,148.8
2000-06-01,151.4
2000-07-01,150.6
2000-08-01,148.6
2000-09-01,150.4
2000-10-01,150.4
2000-11-01,151.1
2000-12-01,150.3
2001-01-01,150.3
2001-02-01,150.7
2001-03-01,149.7
2001-04-01,152.1
2001-05-01,155.3
2001-06-01,154
2001-07-01,149.9
2001-08-01,148.8
2001-09-01,151.2
2001-10-01,148.1
2001-11-01,146.1
2001-12-01,144.3
2002-01-01,144.4
2002-02-01,144.1
2002-03-01,146.3
2002-04-01,149.6
2002-05-01,149.5
2002-06-01,149.1
2002-07-01,149.5
2002-08-01,149.7
2002-09-01,150
2002-10-01,151.1
2002-11-01,151.5
2002-12-01,150.4
2003-01-01,151.8
2003-02-01,155.3
2003-03-01,157.3
2003-04-01,155.5
2003-05-01,153.1
2003-06-01,152.6
2003-07-01,152.4
2003-08-01,154.1
2003-09-01,155.4
2003-10-01,153
2003-11-01,151.7
2003-12-01,150.8
2004-01-01,153.2
2004-02-01,154.9
2004-03-01,156.6
2004-04-01,157.9
2004-05-01,161.5
2004-06-01,161.9
2004-07-01,160
2004-08-01,159.1
2004-09-01,159.4
2004-10-01,162.9
2004-11-01,163.6
2004-12-01,161.3
2005-01-01,160.5
2005-02-01,162.6
2005-03-01,165.2
2005-04-01,169.6
2005-05-01,168.3
2005-06-01,167.7
2005-07-01,170.3
2005-08-01,173.8
2005-09-01,183.1
2005-10-01,180.5
2005-11-01,171.8
2005-12-01,168.9
2006-01-01,172.1
2006-02-01,171.9
2006-03-01,173.5
2006-04-01,180.4
2006-05-01,183.9
2006-06-01,183.2
2006-07-01,184.9
2006-08-01,184.5
2006-09-01,176.5
2006-10-01,170.7
2006-11-01,170
2006-12-01,171.8
2007-01-01,170.562
2007-02-01,170.775
2007-03-01,176.468
2007-04-01,181.478
2007-05-01,186.376
2007-06-01,185.175
2007-07-01,183.619
2007-08-01,180.408
2007-09-01,180.586
2007-10-01,180.919
2007-11-01,186.839
2007-12-01,186.134
2008-01-01,186.978
2008-02-01,186.571
2008-03-01,191.067
2008-04-01,194.574
2008-05-01,201.133
2008-06-01,207.257
2008-07-01,208.038
2008-08-01,201.779
2008-09-01,199.153
2008-10-01,187.976
2008-11-01,168.527
2008-12-01,159.411
2009-01-01,161.788
2009-02-01,164.871
2009-03-01,165.023
2009-04-01,167.516
2009-05-01,171.757
2009-06-01,179.649
2009-07-01,178.33
2009-08-01,179.987
2009-09-01,179.466
2009-10-01,180.896
2009-11-01,184.099
2009-12-01,183.766
2010-01-01,186.308
2010-02-01,185.274
2010-03-01,187.796
2010-04-01,189.503
2010-05-01,190.071
2010-06-01,187.593
2010-07-01,188.028
2010-08-01,188.616
2010-09-01,187.646
2010-10-01,189.674
2010-11-01,190.915
2010-12-01,193.545
2011-01-01,196.087
2011-02-01,198.073
2011-03-01,206.165
2011-04-01,212.21
2011-05-01,215.829
2011-06-01,212.216
2011-07-01,211.432
2011-08-01,211.315
2011-09-01,210.513
2011-10-01,207.404
2011-11-01,206.635
2011-12-01,203.809
2012-01-01,206.307
2012-02-01,210.013
2012-03-01,216.536
2012-04-01,218.563
2012-05-01,215.978
2012-06-01,211.423
2012-07-01,209.458
2012-08-01,214.763
2012-09-01,217.53
2012-10-01,215.832
2012-11-01,209.745
2012-12-01,206.874
2013-01-01,207.331
2013-02-01,214.823
2013-03-01,216.167
2013-04-01,213.438
2013-05-01,214.066
2013-06-01,214.706
2013-07-01,214.964
2013-08-01,214.581
2013-09-01,213.435
2013-10-01,209.879
2013-11-01,207.401
2013-12-01,207.997
2014-01-01,208.925
2014-02-01,210.041
2014-03-01,213.792
2014-04-01,216.975
2014-05-01,217.7
2014-06-01,217.793
2014-07-01,216.942
2014-08-01,213.873
2014-09-01,211.998
2014-10-01,207.737
2014-11-01,201.505
2014-12-01,194.641
2015-01-01,185.461
2015-02-01,188.542
2015-03-01,194.27
2015-04-01,194.906
2015-05-01,200.528
2015-06-01,202.021
2015-07-01,202.049
2015-08-01,198.657
2015-09-01,192.689
2015-10-01,190.464
2015-11-01,188.675
2015-12-01,186.117
2016-01-01,184.734
2016-02-01,181.626
2016-03-01,185.706
2016-04-01,189.744
2016-05-01,192.537
2016-06-01,194.261
2016-07-01,191.796
2016-08-01,190.232
2016-09-01,190.487
2016-10-01,191.218
2016-11-01,190.263
2016-12-01,191.417
2017-01-01,194.508
2017-02-01,194.019
2017-03-01,194.89
2017-04-01,196.926
2017-05-01,196.549
2017-06-01,195.67
2017-07-01,194.419
2017-08-01,196.21
2017-09-01,200.487
2017-10-01,197.766
2017-11-01,199.421
2017-12-01,198.757
2018-01-01,201.164
2018-02-01,202.935
2018-03-01,203.343
2018-04-01,206.149
2018-05-01,209.49
2018-06-01,210.184
2018-07-01,209.959
2018-08-01,209.725
2018-09-01,208.55
2018-10-01,209.429
2018-11-01,205.769
2018-12-01,200.605
2019-01-01,198.551
2019-02-01,199.92
2019-03-01,204.68
2019-04-01,209.918
2019-05-01,210.674
2019-06-01,208.319
2019-07-01,209.185
2019-08-01,206.979
2019-09-01,205.068
2019-10-01,206.07
2019-11-01,205.317
2019-12-01,204.61
2020-01-01,204.277
2020-02-01,203.291
2020-03-01,200.626
2020-04-01,191.079
2020-05-01,188.771
2020-06-01,193.105
2020-07-01,198.657
2020-08-01,200.884
2020-09-01,200.967
2020-10-01,200.711
2020-11-01,200.039
2020-12-01,201.523
2021-01-01,203.963
2021-02-01,207.664
2021-03-01,214.743
2021-04-01,220.742
2021-05-01,227.144
2021-06-01,235.331
2021-07-01,238.055
2021-08-01,237.994
2021-09-01,236.655
2021-10-01,241.413
2021-11-01,245.735
2021-12-01,246.999
2022-01-01,248.995
2022-02-01,253.525
2022-03-01,264.669
2022-04-01,265.383
2022-05-01,271.545
2022-06-01,282.398
2022-07-01,277.502
2022-08-01,269.389
2022-09-01,264.941
2022-10-01,266.595
2022-11-01,263.196
2022-12-01,254.846
2023-01-01,256.981
2023-02-01,258.339
2023-03-01,260.495
2023-04-01,265.893
2023-05-01,267.275
2023-06-01,269.273
2023-07-01,270.609
2023-08-01,274.66
2023-09-01,272.841
2023-10-01,269.92
2023-11-01,266.755
