"Date","CPILEGNS"
1967-01-01,33.9
1967-02-01,34
1967-03-01,34
1967-04-01,34.1
1967-05-01,34.2
1967-06-01,34.3
1967-07-01,34.5
1967-08-01,34.6
1967-09-01,34.7
1967-10-01,34.8
1967-11-01,34.9
1967-12-01,35
1968-01-01,35.1
1968-02-01,35.3
1968-03-01,35.4
1968-04-01,35.6
1968-05-01,35.7
1968-06-01,35.9
1968-07-01,36
1968-08-01,36.1
1968-09-01,36.3
1968-10-01,36.5
1968-11-01,36.6
1968-12-01,36.7
1969-01-01,36.8
1969-02-01,37
1969-03-01,37.3
1969-04-01,37.5
1969-05-01,37.7
1969-06-01,37.9
1969-07-01,38.1
1969-08-01,38.3
1969-09-01,38.5
1969-10-01,38.6
1969-11-01,38.8
1969-12-01,39.1
1970-01-01,39.2
1970-02-01,39.4
1970-03-01,39.7
1970-04-01,39.9
1970-05-01,40.1
1970-06-01,40.3
1970-07-01,40.4
1970-08-01,40.5
1970-09-01,40.7
1970-10-01,40.9
1970-11-01,41
1970-12-01,41.2
1971-01-01,41.2
1971-02-01,41.3
1971-03-01,41.5
1971-04-01,41.7
1971-05-01,41.9
1971-06-01,42.1
1971-07-01,42.2
1971-08-01,42.3
1971-09-01,42.3
1971-10-01,42.4
1971-11-01,42.5
1971-12-01,42.6
1972-01-01,42.7
1972-02-01,42.9
1972-03-01,43
1972-04-01,43.1
1972-05-01,43.2
1972-06-01,43.3
1972-07-01,43.5
1972-08-01,43.7
1972-09-01,43.7
1972-10-01,43.9
1972-11-01,44
1972-12-01,44.1
1973-01-01,44.2
1973-02-01,44.5
1973-03-01,45
1973-04-01,45.3
1973-05-01,45.5
1973-06-01,45.8
1973-07-01,45.9
1973-08-01,46.8
1973-09-01,47
1973-10-01,47.3
1973-11-01,47.5
1973-12-01,47.7
1974-01-01,48
1974-02-01,48.5
1974-03-01,49
1974-04-01,49.2
1974-05-01,49.7
1974-06-01,50.2
1974-07-01,50.6
1974-08-01,51.3
1974-09-01,51.9
1974-10-01,52.4
1974-11-01,52.9
1974-12-01,53.3
1975-01-01,53.5
1975-02-01,53.9
1975-03-01,54.1
1975-04-01,54.3
1975-05-01,54.5
1975-06-01,54.9
1975-07-01,55.5
1975-08-01,55.6
1975-09-01,55.9
1975-10-01,56.2
1975-11-01,56.6
1975-12-01,56.8
1976-01-01,57
1976-02-01,57.1
1976-03-01,57.3
1976-04-01,57.5
1976-05-01,57.9
1976-06-01,58.1
1976-07-01,58.5
1976-08-01,58.7
1976-09-01,59
1976-10-01,59.2
1976-11-01,59.3
1976-12-01,59.5
1977-01-01,59.8
1977-02-01,60.4
1977-03-01,60.8
1977-04-01,61.2
1977-05-01,61.6
1977-06-01,62
1977-07-01,62.2
1977-08-01,62.5
1977-09-01,62.7
1977-10-01,62.9
1977-11-01,63.2
1977-12-01,63.5
1978-01-01,63.9
1978-02-01,64.3
1978-03-01,64.8
1978-04-01,65.4
1978-05-01,66
1978-06-01,66.6
1978-07-01,67.1
1978-08-01,67.5
1978-09-01,68
1978-10-01,68.6
1978-11-01,69
1978-12-01,69.3
1979-01-01,69.8
1979-02-01,70.6
1979-03-01,71.2
1979-04-01,71.9
1979-05-01,72.5
1979-06-01,73
1979-07-01,73.6
1979-08-01,74.2
1979-09-01,74.8
1979-10-01,75.5
1979-11-01,76.2
1979-12-01,77
1980-01-01,77.8
1980-02-01,78.5
1980-03-01,79.5
1980-04-01,80.3
1980-05-01,81.1
1980-06-01,82
1980-07-01,82
1980-08-01,82.6
1980-09-01,83.5
1980-10-01,84.4
1980-11-01,85.3
1980-12-01,86
1981-01-01,86.5
1981-02-01,86.9
1981-03-01,87.4
1981-04-01,88
1981-05-01,88.8
1981-06-01,89.6
1981-07-01,90.7
1981-08-01,91.4
1981-09-01,92.5
1981-10-01,92.7
1981-11-01,93.1
1981-12-01,93.3
1982-01-01,93.7
1982-02-01,94.1
1982-03-01,94.2
1982-04-01,94.9
1982-05-01,95.8
1982-06-01,96.6
1982-07-01,97.1
1982-08-01,97.3
1982-09-01,97.5
1982-10-01,97.8
1982-11-01,97.6
1982-12-01,97.2
1983-01-01,97.7
1983-02-01,98
1983-03-01,98.3
1983-04-01,98.8
1983-05-01,99
1983-06-01,99.2
1983-07-01,99.6
1983-08-01,99.9
1983-09-01,100.6
1983-10-01,101
1983-11-01,101.3
1983-12-01,101.6
1984-01-01,102.2
1984-02-01,102.7
1984-03-01,103
1984-04-01,103.4
1984-05-01,103.7
1984-06-01,103.9
1984-07-01,104.3
1984-08-01,104.9
1984-09-01,105.4
1984-10-01,105.7
1984-11-01,105.9
1984-12-01,106.1
1985-01-01,106.4
1985-02-01,107
1985-03-01,107.4
1985-04-01,107.6
1985-05-01,107.9
1985-06-01,108.1
1985-07-01,108.3
1985-08-01,108.6
1985-09-01,109.1
1985-10-01,109.6
1985-11-01,110.1
1985-12-01,110.3
1986-01-01,110.8
1986-02-01,110.9
1986-03-01,111.3
1986-04-01,111.7
1986-05-01,111.9
1986-06-01,112.1
1986-07-01,112.5
1986-08-01,113
1986-09-01,113.6
1986-10-01,114.1
1986-11-01,114.4
1986-12-01,114.5
1987-01-01,115
1987-02-01,115.3
1987-03-01,115.8
1987-04-01,116.4
1987-05-01,116.7
1987-06-01,116.9
1987-07-01,117.1
1987-08-01,117.6
1987-09-01,118.3
1987-10-01,118.9
1987-11-01,119.2
1987-12-01,119.2
1988-01-01,119.7
1988-02-01,120
1988-03-01,120.6
1988-04-01,121.2
1988-05-01,121.5
1988-06-01,121.8
1988-07-01,122.3
1988-08-01,122.8
1988-09-01,123.8
1988-10-01,124.4
1988-11-01,124.7
1988-12-01,124.8
1989-01-01,125.5
1989-02-01,126
1989-03-01,126.7
1989-04-01,127.1
1989-05-01,127.6
1989-06-01,127.7
1989-07-01,128.2
1989-08-01,128.5
1989-09-01,129.1
1989-10-01,129.9
1989-11-01,130.4
1989-12-01,130.6
1990-01-01,131.5
1990-02-01,132.3
1990-03-01,133.3
1990-04-01,133.5
1990-05-01,133.7
1990-06-01,134.2
1990-07-01,134.8
1990-08-01,135.6
1990-09-01,136.3
1990-10-01,136.9
1990-11-01,137.2
1990-12-01,137.4
1991-01-01,138.6
1991-02-01,139.3
1991-03-01,139.8
1991-04-01,140.2
1991-05-01,140.3
1991-06-01,140.5
1991-07-01,140.9
1991-08-01,141.3
1991-09-01,141.9
1991-10-01,142.3
1991-11-01,142.7
1991-12-01,142.8
1992-01-01,143.3
1992-02-01,144
1992-03-01,144.7
1992-04-01,144.9
1992-05-01,144.9
1992-06-01,145
1992-07-01,145.3
1992-08-01,145.8
1992-09-01,146.2
1992-10-01,146.9
1992-11-01,147.1
1992-12-01,147.1
1993-01-01,147.9
1993-02-01,148.7
1993-03-01,149.1
1993-04-01,149.5
1993-05-01,149.6
1993-06-01,149.6
1993-07-01,149.7
1993-08-01,150.3
1993-09-01,150.6
1993-10-01,151.2
1993-11-01,151.5
1993-12-01,151.7
1994-01-01,152.2
1994-02-01,152.6
1994-03-01,153.3
1994-04-01,153.4
1994-05-01,153.5
1994-06-01,153.7
1994-07-01,154
1994-08-01,154.6
1994-09-01,155
1994-10-01,155.5
1994-11-01,155.7
1994-12-01,155.7
1995-01-01,156.5
1995-02-01,157.2
1995-03-01,157.8
1995-04-01,158.3
1995-05-01,158.3
1995-06-01,158.3
1995-07-01,158.5
1995-08-01,159
1995-09-01,159.5
1995-10-01,160.2
1995-11-01,160.3
1995-12-01,160.2
1996-01-01,161
1996-02-01,161.6
1996-03-01,162.3
1996-04-01,162.5
1996-05-01,162.5
1996-06-01,162.7
1996-07-01,163.1
1996-08-01,163.4
1996-09-01,164
1996-10-01,164.7
1996-11-01,164.9
1996-12-01,164.8
1997-01-01,165.3
1997-02-01,165.9
1997-03-01,166.5
1997-04-01,166.8
1997-05-01,166.8
1997-06-01,166.7
1997-07-01,167
1997-08-01,167.3
1997-09-01,167.6
1997-10-01,168.3
1997-11-01,168.3
1997-12-01,168.3
1998-01-01,169
1998-02-01,169.6
1998-03-01,170.1
1998-04-01,170.4
1998-05-01,170.5
1998-06-01,170.5
1998-07-01,170.8
1998-08-01,171.2
1998-09-01,171.6
1998-10-01,172.2
1998-11-01,172.3
1998-12-01,172.3
1999-01-01,172.9
1999-02-01,173.2
1999-03-01,173.7
1999-04-01,174.2
1999-05-01,174.1
1999-06-01,174
1999-07-01,174.3
1999-08-01,174.5
1999-09-01,175.1
1999-10-01,175.7
1999-11-01,175.8
1999-12-01,175.7
2000-01-01,176.3
2000-02-01,176.9
2000-03-01,177.8
2000-04-01,178.1
2000-05-01,178.2
2000-06-01,178.3
2000-07-01,178.7
2000-08-01,179.1
2000-09-01,179.6
2000-10-01,180.1
2000-11-01,180.3
2000-12-01,180.2
2001-01-01,181
2001-02-01,181.8
2001-03-01,182.6
2001-04-01,182.9
2001-05-01,182.9
2001-06-01,183.3
2001-07-01,183.6
2001-08-01,184.1
2001-09-01,184.5
2001-10-01,185.1
2001-11-01,185.4
2001-12-01,185.2
2002-01-01,185.7
2002-02-01,186.5
2002-03-01,187.1
2002-04-01,187.5
2002-05-01,187.4
2002-06-01,187.3
2002-07-01,187.5
2002-08-01,188.1
2002-09-01,188.4
2002-10-01,188.8
2002-11-01,188.9
2002-12-01,188.6
2003-01-01,189
2003-02-01,189.7
2003-03-01,190.2
2003-04-01,190.2
2003-05-01,190.3
2003-06-01,190.3
2003-07-01,190.5
2003-08-01,190.8
2003-09-01,191
2003-10-01,191.7
2003-11-01,191.6
2003-12-01,191.5
2004-01-01,191.9
2004-02-01,192.7
2004-03-01,193.7
2004-04-01,194.1
2004-05-01,194.3
2004-06-01,194.4
2004-07-01,194.5
2004-08-01,194.7
2004-09-01,195.2
2004-10-01,196
2004-11-01,196
2004-12-01,195.8
2005-01-01,196.4
2005-02-01,197.3
2005-03-01,198.3
2005-04-01,198.6
2005-05-01,198.6
2005-06-01,198.5
2005-07-01,198.7
2005-08-01,198.9
2005-09-01,199.2
2005-10-01,200.1
2005-11-01,200.2
2005-12-01,200.1
2006-01-01,200.8
2006-02-01,201.6
2006-03-01,202.6
2006-04-01,203
2006-05-01,203.3
2006-06-01,203.6
2006-07-01,203.9
2006-08-01,204.4
2006-09-01,204.9
2006-10-01,205.6
2006-11-01,205.3
2006-12-01,205.1
2007-01-01,205.993
2007-02-01,207.106
2007-03-01,207.85
2007-04-01,208.243
2007-05-01,208.4
2007-06-01,208.636
2007-07-01,208.98
2007-08-01,209.399
2007-09-01,210
2007-10-01,210.714
2007-11-01,210.888
2007-12-01,210.89
2008-01-01,211.846
2008-02-01,212.545
2008-03-01,213.42
2008-04-01,213.851
2008-05-01,214.101
2008-06-01,214.6
2008-07-01,215.335
2008-08-01,215.873
2008-09-01,216.397
2008-10-01,216.695
2008-11-01,216.417
2008-12-01,215.93
2009-01-01,216.586
2009-02-01,217.325
2009-03-01,218.033
2009-04-01,218.388
2009-05-01,218.323
2009-06-01,218.44
2009-07-01,218.421
2009-08-01,218.642
2009-09-01,219.076
2009-10-01,219.624
2009-11-01,219.291
2009-12-01,219.048
2010-01-01,219.287
2010-02-01,219.708
2010-03-01,220.133
2010-04-01,220.252
2010-05-01,220.298
2010-06-01,220.336
2010-07-01,220.316
2010-08-01,220.619
2010-09-01,221.03
2010-10-01,221.236
2010-11-01,221.235
2010-12-01,221.045
2011-01-01,221.666
2011-02-01,222.506
2011-03-01,223.315
2011-04-01,223.798
2011-05-01,224.275
2011-06-01,224.635
2011-07-01,225.01
2011-08-01,225.797
2011-09-01,226.303
2011-10-01,226.754
2011-11-01,226.818
2011-12-01,226.795
2012-01-01,227.422
2012-02-01,227.925
2012-03-01,228.705
2012-04-01,229.252
2012-05-01,229.52
2012-06-01,229.788
2012-07-01,229.811
2012-08-01,230.148
2012-09-01,230.661
2012-10-01,231.169
2012-11-01,231.16
2012-12-01,231.043
2013-01-01,231.679
2013-02-01,232.363
2013-03-01,232.889
2013-04-01,233.123
2013-05-01,233.264
2013-06-01,233.456
2013-07-01,233.616
2013-08-01,234.071
2013-09-01,234.53
2013-10-01,234.905
2013-11-01,234.937
2013-12-01,234.768
2014-01-01,235.23
2014-02-01,235.94
2014-03-01,236.768
2014-04-01,237.414
2014-05-01,238.006
2014-06-01,238.112
2014-07-01,238.203
2014-08-01,238.454
2014-09-01,239.038
2014-10-01,239.603
2014-11-01,239.467
2014-12-01,239.186
2015-01-01,239.67
2015-02-01,240.398
2015-03-01,241.135
2015-04-01,241.769
2015-05-01,242.047
2015-06-01,242.321
2015-07-01,242.439
2015-08-01,242.722
2015-09-01,243.466
2015-10-01,244.059
2015-11-01,244.023
2015-12-01,243.711
2016-01-01,244.455
2016-02-01,245.459
2016-03-01,245.913
2016-04-01,246.515
2016-05-01,246.903
2016-06-01,247.059
2016-07-01,247.027
2016-08-01,247.506
2016-09-01,247.919
2016-10-01,248.356
2016-11-01,248.269
2016-12-01,248.172
2017-01-01,249.115
2017-02-01,250.097
2017-03-01,250.277
2017-04-01,250.662
2017-05-01,250.866
2017-06-01,250.965
2017-07-01,250.981
2017-08-01,251.467
2017-09-01,251.95
2017-10-01,252.597
2017-11-01,252.4
2017-12-01,252.51
2018-01-01,253.594
2018-02-01,254.555
2018-03-01,255.275
2018-04-01,255.75
2018-05-01,256.112
2018-06-01,256.325
2018-07-01,256.545
2018-08-01,256.717
2018-09-01,257.118
2018-10-01,257.653
2018-11-01,257.692
2018-12-01,257.794
2019-01-01,258.855
2019-02-01,259.817
2019-03-01,260.505
2019-04-01,260.925
2019-05-01,261.203
2019-06-01,261.696
2019-07-01,262.059
2019-08-01,262.592
2019-09-01,262.969
2019-10-01,263.527
2019-11-01,263.545
2019-12-01,263.45
2020-01-01,264.54
2020-02-01,265.734
2020-03-01,265.896
2020-04-01,265.465
2020-05-01,265.471
2020-06-01,266.097
2020-07-01,267.149
2020-08-01,268.073
2020-09-01,268.338
2020-10-01,268.671
2020-11-01,268.68
2020-12-01,268.613
2021-01-01,269.199
2021-02-01,270.06
2021-03-01,270.989
2021-04-01,273.092
2021-05-01,274.891
2021-06-01,277.161
2021-07-01,278.235
2021-08-01,278.691
2021-09-01,279.366
2021-10-01,281.238
2021-11-01,282.397
2021-12-01,283.593
2022-01-01,285.779
2022-02-01,287.972
2022-03-01,289.456
2022-04-01,291.199
2022-05-01,293.092
2022-06-01,295.378
2022-07-01,296.702
2022-08-01,298.346
2022-09-01,299.749
2022-10-01,300.807
2022-11-01,301.126
2022-12-01,301.705
2023-01-01,303.612
2023-02-01,305.57
2023-03-01,306.869
2023-04-01,308.189
2023-05-01,309.312
2023-06-01,310.054
2023-07-01,310.611
2023-08-01,311.293
2023-09-01,311.99
2023-10-01,312.616
2023-11-01,312.732
