"Date","CWSR0000SAA1"
1967-12-01,54
1968-01-01,54.2
1968-02-01,54.5
1968-03-01,54.8
1968-04-01,55.1
1968-05-01,55.3
1968-06-01,55.6
1968-07-01,56.1
1968-08-01,56.5
1968-09-01,57.1
1968-10-01,57.3
1968-11-01,57.5
1968-12-01,57.8
1969-01-01,58.3
1969-02-01,58.6
1969-03-01,58.7
1969-04-01,58.9
1969-05-01,59.2
1969-06-01,59.4
1969-07-01,59.9
1969-08-01,60.1
1969-09-01,60.2
1969-10-01,60.3
1969-11-01,60.8
1969-12-01,60.9
1970-01-01,61.1
1970-02-01,61.3
1970-03-01,61.5
1970-04-01,61.7
1970-05-01,61.8
1970-06-01,62
1970-07-01,62.1
1970-08-01,62.1
1970-09-01,62.4
1970-10-01,62.7
1970-11-01,62.9
1970-12-01,63.1
1971-01-01,63.1
1971-02-01,63.1
1971-03-01,63.5
1971-04-01,63.6
1971-05-01,63.9
1971-06-01,64.1
1971-07-01,64.1
1971-08-01,63.8
1971-09-01,64
1971-10-01,64.1
1971-11-01,64
1971-12-01,64.1
1972-01-01,64.1
1972-02-01,64.1
1972-03-01,63.9
1972-04-01,64.4
1972-05-01,64.5
1972-06-01,64.3
1972-07-01,64.4
1972-08-01,64.2
1972-09-01,64.9
1972-10-01,65.2
1972-11-01,65.6
1972-12-01,65.8
1973-01-01,66.2
1973-02-01,66.1
1973-03-01,66.2
1973-04-01,66.5
1973-05-01,66.7
1973-06-01,67.1
1973-07-01,67.1
1973-08-01,67.3
1973-09-01,67.4
1973-10-01,67.5
1973-11-01,67.7
1973-12-01,68.1
1974-01-01,68.4
1974-02-01,69.2
1974-03-01,70
1974-04-01,70.9
1974-05-01,71.5
1974-06-01,72.4
1974-07-01,72.8
1974-08-01,73.7
1974-09-01,74.1
1974-10-01,74.4
1974-11-01,74.9
1974-12-01,75.1
1975-01-01,75.1
1975-02-01,75.2
1975-03-01,75
1975-04-01,75.2
1975-05-01,75.2
1975-06-01,75.2
1975-07-01,75.3
1975-08-01,75.1
1975-09-01,75.4
1975-10-01,75.6
1975-11-01,76
1975-12-01,76
1976-01-01,76.4
1976-02-01,77
1976-03-01,77.2
1976-04-01,77.2
1976-05-01,77.7
1976-06-01,77.7
1976-07-01,78
1976-08-01,78.5
1976-09-01,79.3
1976-10-01,79
1976-11-01,79.1
1976-12-01,79.4
1977-01-01,79.8
1977-02-01,80.6
1977-03-01,80.9
1977-04-01,81.1
1977-05-01,81.4
1977-06-01,81.5
1977-07-01,81.8
1977-08-01,82.2
1977-09-01,82.2
1977-10-01,82.1
1977-11-01,82.8
1977-12-01,83.1
1978-01-01,83
1978-02-01,82.6
1978-03-01,82.4
1978-04-01,82.9
1978-05-01,83.2
1978-06-01,83.6
1978-07-01,84
1978-08-01,83.7
1978-09-01,83.9
1978-10-01,84
1978-11-01,84
1978-12-01,84.4
1979-01-01,84.9
1979-02-01,84.6
1979-03-01,84.7
1979-04-01,84.8
1979-05-01,85
1979-06-01,85.3
1979-07-01,85.8
1979-08-01,85.8
1979-09-01,85.9
1979-10-01,86.2
1979-11-01,86.5
1979-12-01,86.8
1980-01-01,87
1980-02-01,87.5
1980-03-01,88.2
1980-04-01,88.7
1980-05-01,89.3
1980-06-01,89.2
1980-07-01,89.4
1980-08-01,89.8
1980-09-01,90.3
1980-10-01,91
1980-11-01,91.4
1980-12-01,91.8
1981-01-01,92
1981-02-01,92.6
1981-03-01,93
1981-04-01,93.4
1981-05-01,93.8
1981-06-01,94.1
1981-07-01,94.6
1981-08-01,95.2
1981-09-01,95.4
1981-10-01,95.6
1981-11-01,95.7
1981-12-01,95.7
1982-01-01,95.7
1982-02-01,96.4
1982-03-01,96.6
1982-04-01,96.9
1982-05-01,97.1
1982-06-01,97.4
1982-07-01,97.8
1982-08-01,97.9
1982-09-01,98.1
1982-10-01,98.4
1982-11-01,98.6
1982-12-01,98.8
1983-01-01,99.3
1983-02-01,99.4
1983-03-01,99.6
1983-04-01,99.5
1983-05-01,100.2
1983-06-01,100.6
1983-07-01,100.9
1983-08-01,100.6
1983-09-01,100.4
1983-10-01,100.5
1983-11-01,100.8
1983-12-01,101.1
1984-01-01,102
1984-02-01,101.4
1984-03-01,101.5
1984-04-01,101.2
1984-05-01,100.9
1984-06-01,101.3
1984-07-01,102.2
1984-08-01,103.1
1984-09-01,103
1984-10-01,103.2
1984-11-01,103.4
1984-12-01,103.5
1985-01-01,103.7
1985-02-01,103.9
1985-03-01,104.2
1985-04-01,104.7
1985-05-01,104.7
1985-06-01,104.7
1985-07-01,105.1
1985-08-01,105.5
1985-09-01,106.1
1985-10-01,105.9
1985-11-01,105.9
1985-12-01,106.4
1986-01-01,106.6
1986-02-01,105.9
1986-03-01,105.5
1986-04-01,105.4
1986-05-01,105.5
1986-06-01,105.5
1986-07-01,105.5
1986-08-01,105.6
1986-09-01,106.3
1986-10-01,105.9
1986-11-01,106.3
1986-12-01,106.3
1987-01-01,106.7
1987-02-01,107.2
1987-03-01,107.4
1987-04-01,107.9
1987-05-01,108.3
1987-06-01,108.7
1987-07-01,108.8
1987-08-01,109
1987-09-01,109
1987-10-01,109.3
1987-11-01,109.7
1987-12-01,109.7
1988-01-01,110.2
1988-02-01,110.5
1988-03-01,111.5
1988-04-01,111.6
1988-05-01,112
1988-06-01,112.6
1988-07-01,113.5
1988-08-01,112.4
1988-09-01,113.8
1988-10-01,114.6
1988-11-01,115.1
1988-12-01,115.8
1989-01-01,116.1
1989-02-01,115.2
1989-03-01,115.3
1989-04-01,115.5
1989-05-01,115.6
1989-06-01,115.5
1989-07-01,115.8
1989-08-01,115.6
1989-09-01,116.4
1989-10-01,117.4
1989-11-01,118
1989-12-01,117.5
1990-01-01,117.6
1990-02-01,118
1990-03-01,118.5
1990-04-01,118.9
1990-05-01,119.4
1990-06-01,119.4
1990-07-01,119.5
1990-08-01,119.8
1990-09-01,120.1
1990-10-01,120
1990-11-01,120
1990-12-01,120.9
1991-01-01,121.3
1991-02-01,121.4
1991-03-01,121.6
1991-04-01,122.9
1991-05-01,123.4
1991-06-01,123.3
1991-07-01,121.9
1991-08-01,124
1991-09-01,124.6
1991-10-01,124
1991-11-01,124.4
1991-12-01,124.5
1992-01-01,125
1992-02-01,125.8
1992-03-01,126
1992-04-01,125.6
1992-05-01,125.2
1992-06-01,125.7
1992-07-01,125.6
1992-08-01,125.2
1992-09-01,125.4
1992-10-01,126
1992-11-01,126
1992-12-01,126.3
1993-01-01,126
1993-02-01,127.1
1993-03-01,126.9
1993-04-01,126.9
1993-05-01,126.4
1993-06-01,126.4
1993-07-01,126.3
1993-08-01,126.8
1993-09-01,126.5
1993-10-01,126.8
1993-11-01,128
1993-12-01,127.1
1994-01-01,126.3
1994-02-01,125
1994-03-01,124
1994-04-01,125.1
1994-05-01,125.2
1994-06-01,125.9
1994-07-01,127
1994-08-01,126.9
1994-09-01,127.2
1994-10-01,126.3
1994-11-01,126.2
1994-12-01,124.7
1995-01-01,125.6
1995-02-01,126.2
1995-03-01,125.9
1995-04-01,125.5
1995-05-01,126.3
1995-06-01,126.2
1995-07-01,125.4
1995-08-01,125.6
1995-09-01,126.1
1995-10-01,126.1
1995-11-01,125.7
1995-12-01,126.3
1996-01-01,126.9
1996-02-01,127.4
1996-03-01,127.9
1996-04-01,127.3
1996-05-01,127.4
1996-06-01,127.3
1996-07-01,127
1996-08-01,127.2
1996-09-01,126.9
1996-10-01,127.2
1996-11-01,128.7
1996-12-01,128.3
1997-01-01,129
1997-02-01,128.2
1997-03-01,127.8
1997-04-01,129.5
1997-05-01,129.6
1997-06-01,129.3
1997-07-01,130.5
1997-08-01,130.6
1997-09-01,131.4
1997-10-01,130.4
1997-11-01,130.6
1997-12-01,131.4
1998-01-01,131.4
1998-02-01,131.2
1998-03-01,131.7
1998-04-01,131.2
1998-05-01,130.9
1998-06-01,131.2
1998-07-01,131.8
1998-08-01,132
1998-09-01,131.3
1998-10-01,131.8
1998-11-01,131.7
1998-12-01,130.7
1999-01-01,130.3
1999-02-01,131
1999-03-01,130.5
1999-04-01,131.8
1999-05-01,131.6
1999-06-01,132
1999-07-01,131.3
1999-08-01,129.6
1999-09-01,131.1
1999-10-01,131.5
1999-11-01,130.8
1999-12-01,132
2000-01-01,131.7
2000-02-01,131
2000-03-01,130.4
2000-04-01,129.4
2000-05-01,130.2
2000-06-01,129.8
2000-07-01,129.5
2000-08-01,129.7
2000-09-01,129.7
2000-10-01,127.8
2000-11-01,128.6
2000-12-01,128.5
2001-01-01,128.3
2001-02-01,127.9
2001-03-01,126.2
2001-04-01,126
2001-05-01,126.7
2001-06-01,126.6
2001-07-01,125.9
2001-08-01,125.1
2001-09-01,124.6
2001-10-01,124.9
2001-11-01,124.5
2001-12-01,123.2
2002-01-01,123.4
2002-02-01,123.1
2002-03-01,123.5
2002-04-01,123.1
2002-05-01,122.1
2002-06-01,121.5
2002-07-01,121.8
2002-08-01,121.9
2002-09-01,120.8
2002-10-01,120.1
2002-11-01,119.9
2002-12-01,119.3
2003-01-01,118.1
2003-02-01,117.7
2003-03-01,118.5
2003-04-01,117.6
2003-05-01,116.7
2003-06-01,116.8
2003-07-01,116.3
2003-08-01,116.4
2003-09-01,117.6
2003-10-01,117.8
2003-11-01,118.4
2003-12-01,118.4
2004-01-01,118
2004-02-01,118.4
2004-03-01,117.6
2004-04-01,117.5
2004-05-01,117.9
2004-06-01,118.5
2004-07-01,118.6
2004-08-01,117
2004-09-01,116.6
2004-10-01,115.7
2004-11-01,116
2004-12-01,116.3
2005-01-01,117
2005-02-01,117
2005-03-01,117.2
2005-04-01,116.6
2005-05-01,116.6
2005-06-01,115.8
2005-07-01,114.8
2005-08-01,115.3
2005-09-01,114
2005-10-01,114.5
2005-11-01,114.6
2005-12-01,114.1
2006-01-01,114.2
2006-02-01,113.4
2006-03-01,113.5
2006-04-01,114.2
2006-05-01,113.9
2006-06-01,113.9
2006-07-01,114
2006-08-01,114.1
2006-09-01,115.3
2006-10-01,114.3
2006-11-01,113.8
2006-12-01,113.7
2007-01-01,112.056
2007-02-01,111.784
2007-03-01,112.003
2007-04-01,112.027
2007-05-01,111.473
2007-06-01,111.792
2007-07-01,112.799
2007-08-01,111.444
2007-09-01,112.276
2007-10-01,112.627
2007-11-01,113.022
2007-12-01,113.348
2008-01-01,113.841
2008-02-01,114.267
2008-03-01,114.076
2008-04-01,114.217
2008-05-01,114.139
2008-06-01,113.39
2008-07-01,113.228
2008-08-01,113.033
2008-09-01,113.016
2008-10-01,113.25
2008-11-01,113.046
2008-12-01,112.401
2009-01-01,114.117
2009-02-01,116.885
2009-03-01,117.284
2009-04-01,115.16
2009-05-01,115.29
2009-06-01,114.273
2009-07-01,112.96
2009-08-01,114.034
2009-09-01,113.705
2009-10-01,113.194
2009-11-01,112.656
2009-12-01,112.366
2010-01-01,112.017
2010-02-01,111.935
2010-03-01,111.958
2010-04-01,111.343
2010-05-01,111.643
2010-06-01,112.874
2010-07-01,111.519
2010-08-01,111.948
2010-09-01,111.805
2010-10-01,111.425
2010-11-01,111.446
2010-12-01,111.53
2011-01-01,112.517
2011-02-01,112.11
2011-03-01,111.744
2011-04-01,111.636
2011-05-01,112.947
2011-06-01,114.138
2011-07-01,115.382
2011-08-01,115.857
2011-09-01,116.739
2011-10-01,118.318
2011-11-01,119.38
2011-12-01,118.864
2012-01-01,118.9
2012-02-01,117.931
2012-03-01,120.66
2012-04-01,121.149
2012-05-01,120.533
2012-06-01,119.548
2012-07-01,121.04
2012-08-01,121.284
2012-09-01,120.826
2012-10-01,120.53
2012-11-01,121.457
2012-12-01,121.639
2013-01-01,122.209
2013-02-01,121.672
2013-03-01,121.728
2013-04-01,122.687
2013-05-01,122.516
2013-06-01,122.494
2013-07-01,122.623
2013-08-01,122.992
2013-09-01,122.317
2013-10-01,122.591
2013-11-01,122.735
2013-12-01,122.773
2014-01-01,121.88
2014-02-01,121.302
2014-03-01,121.739
2014-04-01,122.068
2014-05-01,121.976
2014-06-01,122.605
2014-07-01,123.056
2014-08-01,120.774
2014-09-01,120.982
2014-10-01,120.88
2014-11-01,120.732
2014-12-01,120.157
2015-01-01,118.927
2015-02-01,120.555
2015-03-01,121.761
2015-04-01,121.169
2015-05-01,120.78
2015-06-01,120.517
2015-07-01,119.835
2015-08-01,119.384
2015-09-01,120.425
2015-10-01,119.741
2015-11-01,120.337
2015-12-01,121.898
2016-01-01,119.768
2016-02-01,119.26
2016-03-01,118.811
2016-04-01,119.35
2016-05-01,120.061
2016-06-01,120.136
2016-07-01,120.919
2016-08-01,120.828
2016-09-01,119.501
2016-10-01,119.167
2016-11-01,118.643
2016-12-01,118.028
2017-01-01,118.456
2017-02-01,118.323
2017-03-01,117.401
2017-04-01,116.818
2017-05-01,117.28
2017-06-01,116.66
2017-07-01,116.493
2017-08-01,117.185
2017-09-01,117.771
2017-10-01,118.254
2017-11-01,117.583
2017-12-01,118.054
2018-01-01,118.645
2018-02-01,119.423
2018-03-01,119.243
2018-04-01,120.342
2018-05-01,119.872
2018-06-01,119.899
2018-07-01,119.603
2018-08-01,116.891
2018-09-01,119.809
2018-10-01,122.043
2018-11-01,120.671
2018-12-01,120.228
2019-01-01,119.606
2019-02-01,121.607
2019-03-01,119.382
2019-04-01,118.585
2019-05-01,118.502
2019-06-01,119.202
2019-07-01,119.323
2019-08-01,119.838
2019-09-01,123.205
2019-10-01,122.665
2019-11-01,119.823
2019-12-01,118.752
2020-01-01,118.624
2020-02-01,118.913
2020-03-01,118.766
2020-04-01,113.765
2020-05-01,111.192
2020-06-01,113.396
2020-07-01,114.081
2020-08-01,114.361
2020-09-01,114.236
2020-10-01,113.225
2020-11-01,113.429
2020-12-01,114.132
2021-01-01,115.882
2021-02-01,114.365
2021-03-01,116.026
2021-04-01,116.428
2021-05-01,116.584
2021-06-01,116.384
2021-07-01,117.734
2021-08-01,118.601
2021-09-01,119.474
2021-10-01,120.844
2021-11-01,122.526
2021-12-01,123.522
2022-01-01,123.954
2022-02-01,124.246
2022-03-01,124.727
2022-04-01,124.779
2022-05-01,125.171
2022-06-01,126.372
2022-07-01,125.627
2022-08-01,125.648
2022-09-01,125.019
2022-10-01,125.066
2022-11-01,124.798
2022-12-01,126.116
2023-01-01,127.286
2023-02-01,126.911
2023-03-01,127.613
2023-04-01,128.153
2023-05-01,128.868
2023-06-01,130.172
2023-07-01,130.255
2023-08-01,129.905
2023-09-01,131.287
2023-10-01,131.763
2023-11-01,128.501
