"Date","CPIAPPSL"
1970-07-01,59.1
1970-08-01,59.3
1970-09-01,59.6
1970-10-01,59.8
1970-11-01,60.1
1970-12-01,60.3
1971-01-01,60.4
1971-02-01,60.6
1971-03-01,60.6
1971-04-01,60.7
1971-05-01,61.1
1971-06-01,61.2
1971-07-01,61.3
1971-08-01,61.1
1971-09-01,61.3
1971-10-01,61.4
1971-11-01,61.5
1971-12-01,61.6
1972-01-01,61.7
1972-02-01,61.9
1972-03-01,61.9
1972-04-01,62.1
1972-05-01,62.2
1972-06-01,62.2
1972-07-01,62.2
1972-08-01,62
1972-09-01,62.5
1972-10-01,62.8
1972-11-01,63
1972-12-01,63.2
1973-01-01,63.2
1973-02-01,63.4
1973-03-01,63.8
1973-04-01,64.2
1973-05-01,64.4
1973-06-01,64.6
1973-07-01,64.6
1973-08-01,64.9
1973-09-01,65.2
1973-10-01,65.4
1973-11-01,65.7
1973-12-01,66
1974-01-01,66.3
1974-02-01,67
1974-03-01,67.5
1974-04-01,68.2
1974-05-01,68.7
1974-06-01,69.2
1974-07-01,69.5
1974-08-01,70.8
1974-09-01,71
1974-10-01,71.2
1974-11-01,71.7
1974-12-01,71.7
1975-01-01,71.8
1975-02-01,72
1975-03-01,72.1
1975-04-01,72.1
1975-05-01,72.2
1975-06-01,72.2
1975-07-01,72.6
1975-08-01,72.6
1975-09-01,72.7
1975-10-01,73
1975-11-01,73.2
1975-12-01,73.4
1976-01-01,73.7
1976-02-01,74
1976-03-01,74.2
1976-04-01,74.3
1976-05-01,74.6
1976-06-01,74.9
1976-07-01,75.3
1976-08-01,75.8
1976-09-01,76.1
1976-10-01,76.2
1976-11-01,76.5
1976-12-01,76.8
1977-01-01,77.2
1977-02-01,77.6
1977-03-01,77.5
1977-04-01,77.6
1977-05-01,78.1
1977-06-01,78.5
1977-07-01,79.1
1977-08-01,79.2
1977-09-01,79.1
1977-10-01,79.3
1977-11-01,79.8
1977-12-01,80.1
1978-01-01,80.1
1978-02-01,79.5
1978-03-01,79.9
1978-04-01,80.7
1978-05-01,81.3
1978-06-01,81.6
1978-07-01,81.5
1978-08-01,81.7
1978-09-01,81.9
1978-10-01,82.4
1978-11-01,82.6
1978-12-01,82.6
1979-01-01,83
1979-02-01,83.3
1979-03-01,83.6
1979-04-01,84
1979-05-01,84.5
1979-06-01,84.7
1979-07-01,84.8
1979-08-01,85
1979-09-01,85.6
1979-10-01,86.1
1979-11-01,86.6
1979-12-01,87.3
1980-01-01,88.1
1980-02-01,88.7
1980-03-01,89.7
1980-04-01,90.1
1980-05-01,90.3
1980-06-01,90.6
1980-07-01,90.9
1980-08-01,91.4
1980-09-01,92
1980-10-01,92.7
1980-11-01,93.1
1980-12-01,93.3
1981-01-01,93.4
1981-02-01,93.9
1981-03-01,94.3
1981-04-01,94.7
1981-05-01,94.8
1981-06-01,95
1981-07-01,95.4
1981-08-01,95.9
1981-09-01,96.1
1981-10-01,96.4
1981-11-01,96.4
1981-12-01,96.7
1982-01-01,96.7
1982-02-01,97
1982-03-01,97.3
1982-04-01,97.5
1982-05-01,97.6
1982-06-01,97.7
1982-07-01,98.1
1982-08-01,98.1
1982-09-01,98.1
1982-10-01,98.3
1982-11-01,98.3
1982-12-01,98.2
1983-01-01,98.6
1983-02-01,99.1
1983-03-01,99.1
1983-04-01,99.3
1983-05-01,99.9
1983-06-01,100.3
1983-07-01,100.9
1983-08-01,101
1983-09-01,100.8
1983-10-01,100.6
1983-11-01,100.9
1983-12-01,101.1
1984-01-01,101.5
1984-02-01,101.2
1984-03-01,101.3
1984-04-01,101.2
1984-05-01,101.4
1984-06-01,101.3
1984-07-01,101.9
1984-08-01,102.5
1984-09-01,102.7
1984-10-01,103
1984-11-01,103
1984-12-01,103.1
1985-01-01,103.2
1985-02-01,104.1
1985-03-01,104.5
1985-04-01,104.5
1985-05-01,104.4
1985-06-01,105.1
1985-07-01,105.2
1985-08-01,105.3
1985-09-01,105.5
1985-10-01,105.7
1985-11-01,106
1985-12-01,106.1
1986-01-01,106.1
1986-02-01,105.4
1986-03-01,105
1986-04-01,105
1986-05-01,104.9
1986-06-01,104.9
1986-07-01,105.5
1986-08-01,106.4
1986-09-01,106.9
1986-10-01,106.6
1986-11-01,106.9
1986-12-01,107.2
1987-01-01,108
1987-02-01,108.6
1987-03-01,109.2
1987-04-01,109.8
1987-05-01,110.3
1987-06-01,110.3
1987-07-01,110.3
1987-08-01,111
1987-09-01,111.6
1987-10-01,112.3
1987-11-01,113
1987-12-01,112.7
1988-01-01,113.2
1988-02-01,112.1
1988-03-01,113.4
1988-04-01,115.1
1988-05-01,115.1
1988-06-01,115.5
1988-07-01,115.9
1988-08-01,114.5
1988-09-01,116.3
1988-10-01,117.5
1988-11-01,117.7
1988-12-01,118.2
1989-01-01,118.4
1989-02-01,117.1
1989-03-01,118.1
1989-04-01,118.6
1989-05-01,118.9
1989-06-01,118.7
1989-07-01,118.3
1989-08-01,117.1
1989-09-01,118.7
1989-10-01,119.6
1989-11-01,120
1989-12-01,119.8
1990-01-01,119.9
1990-02-01,122
1990-03-01,123.8
1990-04-01,124.1
1990-05-01,124
1990-06-01,124.2
1990-07-01,124.2
1990-08-01,124.5
1990-09-01,125.4
1990-10-01,125.4
1990-11-01,125.4
1990-12-01,126.2
1991-01-01,126.9
1991-02-01,127.3
1991-03-01,127
1991-04-01,127.5
1991-05-01,128
1991-06-01,127.9
1991-07-01,128.7
1991-08-01,129.9
1991-09-01,130
1991-10-01,130.1
1991-11-01,131
1991-12-01,130.7
1992-01-01,130.9
1992-02-01,131
1992-03-01,131.3
1992-04-01,130.7
1992-05-01,131.6
1992-06-01,132.1
1992-07-01,132.7
1992-08-01,132.3
1992-09-01,132.2
1992-10-01,132.5
1992-11-01,132.7
1992-12-01,132.8
1993-01-01,132.8
1993-02-01,134
1993-03-01,134
1993-04-01,134
1993-05-01,133.5
1993-06-01,133
1993-07-01,132.8
1993-08-01,134
1993-09-01,133.7
1993-10-01,133.8
1993-11-01,134.4
1993-12-01,134.1
1994-01-01,133.3
1994-02-01,133.2
1994-03-01,133.8
1994-04-01,133.5
1994-05-01,134
1994-06-01,134.8
1994-07-01,134.2
1994-08-01,133.2
1994-09-01,133.6
1994-10-01,133
1994-11-01,132.5
1994-12-01,132.1
1995-01-01,132.2
1995-02-01,131.9
1995-03-01,132.2
1995-04-01,131.9
1995-05-01,131.6
1995-06-01,131.3
1995-07-01,131.4
1995-08-01,132.5
1995-09-01,132.3
1995-10-01,132.4
1995-11-01,132
1995-12-01,132.2
1996-01-01,132.7
1996-02-01,132.2
1996-03-01,132.6
1996-04-01,131.8
1996-05-01,131.8
1996-06-01,131.6
1996-07-01,131.3
1996-08-01,130.6
1996-09-01,131.3
1996-10-01,131.3
1996-11-01,131.6
1996-12-01,131.9
1997-01-01,132.3
1997-02-01,133
1997-03-01,132.4
1997-04-01,133
1997-05-01,133.3
1997-06-01,133.1
1997-07-01,133.3
1997-08-01,132.7
1997-09-01,132.9
1997-10-01,132.7
1997-11-01,132.7
1997-12-01,133
1998-01-01,133.1
1998-02-01,133
1998-03-01,132.7
1998-04-01,132.3
1998-05-01,132.7
1998-06-01,133.3
1998-07-01,133.5
1998-08-01,135.1
1998-09-01,133.1
1998-10-01,132.7
1998-11-01,132.7
1998-12-01,132
1999-01-01,131.5
1999-02-01,130.8
1999-03-01,130.4
1999-04-01,131.7
1999-05-01,131.7
1999-06-01,131.7
1999-07-01,131.5
1999-08-01,130.9
1999-09-01,131.2
1999-10-01,131.4
1999-11-01,131
1999-12-01,131.3
2000-01-01,130.7
2000-02-01,130.4
2000-03-01,130.3
2000-04-01,129.8
2000-05-01,129.7
2000-06-01,129.3
2000-07-01,128.9
2000-08-01,128.9
2000-09-01,129.5
2000-10-01,129.2
2000-11-01,129.2
2000-12-01,129.1
2001-01-01,129.4
2001-02-01,129.6
2001-03-01,129.5
2001-04-01,128.2
2001-05-01,127.4
2001-06-01,127.4
2001-07-01,127.3
2001-08-01,126.4
2001-09-01,125.8
2001-10-01,125.8
2001-11-01,125.4
2001-12-01,124.9
2002-01-01,124.4
2002-02-01,124.6
2002-03-01,125.3
2002-04-01,125.1
2002-05-01,124.6
2002-06-01,123.9
2002-07-01,123.5
2002-08-01,124.3
2002-09-01,123.4
2002-10-01,123
2002-11-01,123.1
2002-12-01,122.7
2003-01-01,122.1
2003-02-01,121.8
2003-03-01,120.7
2003-04-01,120.3
2003-05-01,120
2003-06-01,120.6
2003-07-01,121.1
2003-08-01,120.8
2003-09-01,120.9
2003-10-01,121.1
2003-11-01,120.8
2003-12-01,120.2
2004-01-01,120.1
2004-02-01,120.1
2004-03-01,120.4
2004-04-01,120.6
2004-05-01,120.9
2004-06-01,121.2
2004-07-01,121
2004-08-01,120.3
2004-09-01,120
2004-10-01,120.3
2004-11-01,120.6
2004-12-01,119.8
2005-01-01,120.3
2005-02-01,120
2005-03-01,120.5
2005-04-01,119.9
2005-05-01,119.9
2005-06-01,119.4
2005-07-01,119
2005-08-01,119.5
2005-09-01,119.1
2005-10-01,119
2005-11-01,119.2
2005-12-01,118.6
2006-01-01,118.9
2006-02-01,117.8
2006-03-01,119.1
2006-04-01,119.6
2006-05-01,119.9
2006-06-01,120.1
2006-07-01,119
2006-08-01,119.8
2006-09-01,120.2
2006-10-01,119.8
2006-11-01,119.4
2006-12-01,119.8
2007-01-01,119.86
2007-02-01,120.237
2007-03-01,119.797
2007-04-01,119.331
2007-05-01,119.166
2007-06-01,118.576
2007-07-01,118.449
2007-08-01,117.901
2007-09-01,118.023
2007-10-01,118.435
2007-11-01,118.737
2007-12-01,119.35
2008-01-01,119.438
2008-02-01,118.904
2008-03-01,118.399
2008-04-01,118.729
2008-05-01,118.716
2008-06-01,118.501
2008-07-01,119.006
2008-08-01,119.736
2008-09-01,119.618
2008-10-01,118.799
2008-11-01,118.867
2008-12-01,118.119
2009-01-01,117.967
2009-02-01,119.888
2009-03-01,120.368
2009-04-01,120.182
2009-05-01,120.038
2009-06-01,120.276
2009-07-01,119.984
2009-08-01,120.236
2009-09-01,120.779
2009-10-01,120.5
2009-11-01,120.007
2009-12-01,120.441
2010-01-01,119.91
2010-02-01,120.184
2010-03-01,120.225
2010-04-01,119.646
2010-05-01,119.648
2010-06-01,119.623
2010-07-01,119.322
2010-08-01,118.96
2010-09-01,119.21
2010-10-01,118.917
2010-11-01,119.027
2010-12-01,119.223
2011-01-01,119.82
2011-02-01,119.904
2011-03-01,119.739
2011-04-01,120.037
2011-05-01,121.146
2011-06-01,121.71
2011-07-01,122.547
2011-08-01,123.551
2011-09-01,123.244
2011-10-01,123.775
2011-11-01,124.762
2011-12-01,124.865
2012-01-01,125.399
2012-02-01,125.075
2012-03-01,125.85
2012-04-01,126.432
2012-05-01,126.663
2012-06-01,126.248
2012-07-01,125.935
2012-08-01,125.333
2012-09-01,126.386
2012-10-01,127.291
2012-11-01,127.191
2012-12-01,127.289
2013-01-01,128.076
2013-02-01,128.134
2013-03-01,126.97
2013-04-01,126.905
2013-05-01,126.916
2013-06-01,126.995
2013-07-01,127.645
2013-08-01,127.412
2013-09-01,127.281
2013-10-01,126.988
2013-11-01,127.333
2013-12-01,128.577
2014-01-01,127.882
2014-02-01,127.279
2014-03-01,127.439
2014-04-01,127.475
2014-05-01,127.773
2014-06-01,127.982
2014-07-01,127.942
2014-08-01,127.357
2014-09-01,127.813
2014-10-01,127.761
2014-11-01,127.254
2014-12-01,126.637
2015-01-01,126.129
2015-02-01,125.96
2015-03-01,126.626
2015-04-01,126.39
2015-05-01,125.831
2015-06-01,125.51
2015-07-01,125.689
2015-08-01,126.166
2015-09-01,126.011
2015-10-01,125.323
2015-11-01,125.724
2015-12-01,126.042
2016-01-01,124.999
2016-02-01,125.898
2016-03-01,125.843
2016-04-01,125.782
2016-05-01,126.707
2016-06-01,126.276
2016-07-01,125.881
2016-08-01,126.148
2016-09-01,125.914
2016-10-01,126.521
2016-11-01,126.605
2016-12-01,126.185
2017-01-01,126.044
2017-02-01,126.058
2017-03-01,126.397
2017-04-01,126.301
2017-05-01,125.651
2017-06-01,125.508
2017-07-01,125.368
2017-08-01,125.39
2017-09-01,125.759
2017-10-01,125.961
2017-11-01,125.024
2017-12-01,124.234
2018-01-01,124.855
2018-02-01,125.839
2018-03-01,126.489
2018-04-01,127.326
2018-05-01,127.464
2018-06-01,126.384
2018-07-01,125.676
2018-08-01,123.451
2018-09-01,125.143
2018-10-01,126.021
2018-11-01,125.099
2018-12-01,124.356
2019-01-01,124.437
2019-02-01,124.596
2019-03-01,123.731
2019-04-01,123.911
2019-05-01,123.767
2019-06-01,124.916
2019-07-01,124.803
2019-08-01,124.44
2019-09-01,124.693
2019-10-01,123.531
2019-11-01,123.483
2019-12-01,122.714
2020-01-01,122.454
2020-02-01,123.043
2020-03-01,121.648
2020-04-01,117.19
2020-05-01,114.188
2020-06-01,115.898
2020-07-01,116.688
2020-08-01,117.007
2020-09-01,117.134
2020-10-01,117.004
2020-11-01,117.231
2020-12-01,117.674
2021-01-01,119.068
2021-02-01,118.407
2021-03-01,118.509
2021-04-01,119.693
2021-05-01,120.71
2021-06-01,121.464
2021-07-01,121.407
2021-08-01,121.813
2021-09-01,121.23
2021-10-01,122.43
2021-11-01,123.253
2021-12-01,124.397
2022-01-01,125.29
2022-02-01,126.018
2022-03-01,126.409
2022-04-01,126.23
2022-05-01,126.794
2022-06-01,127.676
2022-07-01,127.527
2022-08-01,127.885
2022-09-01,127.939
2022-10-01,127.62
2022-11-01,127.746
2022-12-01,128.012
2023-01-01,129.072
2023-02-01,130.116
2023-03-01,130.459
2023-04-01,130.811
2023-05-01,131.195
2023-06-01,131.608
2023-07-01,131.567
2023-08-01,131.835
2023-09-01,130.833
2023-10-01,130.96
2023-11-01,129.27
