"Date","CPILFENS"
1957-01-01,28.5
1957-02-01,28.5
1957-03-01,28.7
1957-04-01,28.8
1957-05-01,28.8
1957-06-01,28.9
1957-07-01,28.9
1957-08-01,29
1957-09-01,29.1
1957-10-01,29.2
1957-11-01,29.4
1957-12-01,29.4
1958-01-01,29.4
1958-02-01,29.4
1958-03-01,29.5
1958-04-01,29.5
1958-05-01,29.5
1958-06-01,29.5
1958-07-01,29.6
1958-08-01,29.6
1958-09-01,29.6
1958-10-01,29.7
1958-11-01,29.9
1958-12-01,29.9
1959-01-01,29.9
1959-02-01,29.9
1959-03-01,30
1959-04-01,30
1959-05-01,30.1
1959-06-01,30.1
1959-07-01,30.2
1959-08-01,30.2
1959-09-01,30.3
1959-10-01,30.5
1959-11-01,30.5
1959-12-01,30.5
1960-01-01,30.5
1960-02-01,30.6
1960-03-01,30.6
1960-04-01,30.6
1960-05-01,30.6
1960-06-01,30.6
1960-07-01,30.6
1960-08-01,30.6
1960-09-01,30.6
1960-10-01,30.8
1960-11-01,30.8
1960-12-01,30.8
1961-01-01,30.8
1961-02-01,30.8
1961-03-01,30.8
1961-04-01,30.9
1961-05-01,30.9
1961-06-01,30.9
1961-07-01,31
1961-08-01,31
1961-09-01,31.1
1961-10-01,31.2
1961-11-01,31.2
1961-12-01,31.2
1962-01-01,31.2
1962-02-01,31.2
1962-03-01,31.3
1962-04-01,31.3
1962-05-01,31.4
1962-06-01,31.4
1962-07-01,31.4
1962-08-01,31.4
1962-09-01,31.5
1962-10-01,31.6
1962-11-01,31.6
1962-12-01,31.6
1963-01-01,31.5
1963-02-01,31.5
1963-03-01,31.6
1963-04-01,31.7
1963-05-01,31.7
1963-06-01,31.8
1963-07-01,31.8
1963-08-01,31.9
1963-09-01,31.9
1963-10-01,32
1963-11-01,32.1
1963-12-01,32.1
1964-01-01,32.1
1964-02-01,32.1
1964-03-01,32.2
1964-04-01,32.2
1964-05-01,32.2
1964-06-01,32.3
1964-07-01,32.3
1964-08-01,32.2
1964-09-01,32.3
1964-10-01,32.4
1964-11-01,32.5
1964-12-01,32.5
1965-01-01,32.6
1965-02-01,32.6
1965-03-01,32.6
1965-04-01,32.7
1965-05-01,32.7
1965-06-01,32.7
1965-07-01,32.7
1965-08-01,32.7
1965-09-01,32.8
1965-10-01,32.9
1965-11-01,32.9
1965-12-01,33
1966-01-01,32.9
1966-02-01,33
1966-03-01,33.1
1966-04-01,33.3
1966-05-01,33.4
1966-06-01,33.5
1966-07-01,33.6
1966-08-01,33.7
1966-09-01,33.8
1966-10-01,34
1966-11-01,34.1
1966-12-01,34.1
1967-01-01,34.1
1967-02-01,34.2
1967-03-01,34.3
1967-04-01,34.4
1967-05-01,34.5
1967-06-01,34.6
1967-07-01,34.7
1967-08-01,34.8
1967-09-01,35
1967-10-01,35.2
1967-11-01,35.3
1967-12-01,35.4
1968-01-01,35.5
1968-02-01,35.6
1968-03-01,35.8
1968-04-01,35.9
1968-05-01,36
1968-06-01,36.2
1968-07-01,36.4
1968-08-01,36.5
1968-09-01,36.7
1968-10-01,36.9
1968-11-01,37.1
1968-12-01,37.2
1969-01-01,37.3
1969-02-01,37.5
1969-03-01,37.8
1969-04-01,38.1
1969-05-01,38.2
1969-06-01,38.3
1969-07-01,38.5
1969-08-01,38.6
1969-09-01,38.9
1969-10-01,39.1
1969-11-01,39.3
1969-12-01,39.5
1970-01-01,39.6
1970-02-01,39.8
1970-03-01,40.1
1970-04-01,40.3
1970-05-01,40.5
1970-06-01,40.8
1970-07-01,40.9
1970-08-01,41
1970-09-01,41.3
1970-10-01,41.6
1970-11-01,41.9
1970-12-01,42.1
1971-01-01,42.1
1971-02-01,42.1
1971-03-01,42.2
1971-04-01,42.3
1971-05-01,42.6
1971-06-01,42.8
1971-07-01,42.9
1971-08-01,42.9
1971-09-01,43.1
1971-10-01,43.2
1971-11-01,43.3
1971-12-01,43.4
1972-01-01,43.4
1972-02-01,43.5
1972-03-01,43.6
1972-04-01,43.7
1972-05-01,43.9
1972-06-01,44
1972-07-01,44.1
1972-08-01,44.3
1972-09-01,44.3
1972-10-01,44.5
1972-11-01,44.6
1972-12-01,44.7
1973-01-01,44.6
1973-02-01,44.7
1973-03-01,44.9
1973-04-01,45.1
1973-05-01,45.3
1973-06-01,45.4
1973-07-01,45.5
1973-08-01,45.7
1973-09-01,46
1973-10-01,46.4
1973-11-01,46.6
1973-12-01,46.8
1974-01-01,46.8
1974-02-01,47.1
1974-03-01,47.5
1974-04-01,47.9
1974-05-01,48.4
1974-06-01,49
1974-07-01,49.5
1974-08-01,50.1
1974-09-01,50.7
1974-10-01,51.3
1974-11-01,51.8
1974-12-01,52
1975-01-01,52.2
1975-02-01,52.6
1975-03-01,52.9
1975-04-01,53.3
1975-05-01,53.5
1975-06-01,53.7
1975-07-01,54
1975-08-01,54.2
1975-09-01,54.6
1975-10-01,54.9
1975-11-01,55.3
1975-12-01,55.5
1976-01-01,55.7
1976-02-01,56
1976-03-01,56.4
1976-04-01,56.7
1976-05-01,57
1976-06-01,57.2
1976-07-01,57.6
1976-08-01,57.9
1976-09-01,58.3
1976-10-01,58.6
1976-11-01,58.9
1976-12-01,58.9
1977-01-01,59.2
1977-02-01,59.5
1977-03-01,59.9
1977-04-01,60.3
1977-05-01,60.6
1977-06-01,61
1977-07-01,61.2
1977-08-01,61.5
1977-09-01,61.9
1977-10-01,62.1
1977-11-01,62.4
1977-12-01,62.7
1978-01-01,63
1978-02-01,63.2
1978-03-01,63.7
1978-04-01,64.2
1978-05-01,64.7
1978-06-01,65.3
1978-07-01,65.7
1978-08-01,66.1
1978-09-01,66.8
1978-10-01,67.3
1978-11-01,67.8
1978-12-01,68
1979-01-01,68.4
1979-02-01,69
1979-03-01,69.6
1979-04-01,70.2
1979-05-01,70.8
1979-06-01,71.4
1979-07-01,72
1979-08-01,72.7
1979-09-01,73.4
1979-10-01,74.1
1979-11-01,75
1979-12-01,75.7
1980-01-01,76.6
1980-02-01,77.3
1980-03-01,78.3
1980-04-01,79.3
1980-05-01,80.2
1980-06-01,81.1
1980-07-01,80.9
1980-08-01,81.3
1980-09-01,82.2
1980-10-01,83.2
1980-11-01,84.1
1980-12-01,84.9
1981-01-01,85.3
1981-02-01,85.7
1981-03-01,86.1
1981-04-01,86.8
1981-05-01,87.8
1981-06-01,88.7
1981-07-01,89.9
1981-08-01,90.7
1981-09-01,91.9
1981-10-01,92.3
1981-11-01,92.7
1981-12-01,93
1982-01-01,93.2
1982-02-01,93.5
1982-03-01,93.7
1982-04-01,94.5
1982-05-01,95.4
1982-06-01,96.3
1982-07-01,96.7
1982-08-01,97.1
1982-09-01,97.3
1982-10-01,97.7
1982-11-01,97.6
1982-12-01,97.2
1983-01-01,97.6
1983-02-01,97.9
1983-03-01,98.1
1983-04-01,98.6
1983-05-01,98.8
1983-06-01,99.1
1983-07-01,99.6
1983-08-01,100
1983-09-01,100.7
1983-10-01,101.3
1983-11-01,101.8
1983-12-01,101.9
1984-01-01,102.3
1984-02-01,102.6
1984-03-01,103
1984-04-01,103.5
1984-05-01,103.9
1984-06-01,104.2
1984-07-01,104.6
1984-08-01,105.1
1984-09-01,105.8
1984-10-01,106.3
1984-11-01,106.5
1984-12-01,106.7
1985-01-01,106.9
1985-02-01,107.4
1985-03-01,107.9
1985-04-01,108.2
1985-05-01,108.6
1985-06-01,108.8
1985-07-01,109
1985-08-01,109.4
1985-09-01,110
1985-10-01,110.7
1985-11-01,111.2
1985-12-01,111.3
1986-01-01,111.6
1986-02-01,111.9
1986-03-01,112.3
1986-04-01,112.7
1986-05-01,112.9
1986-06-01,113.1
1986-07-01,113.5
1986-08-01,113.8
1986-09-01,114.5
1986-10-01,115.1
1986-11-01,115.4
1986-12-01,115.5
1987-01-01,115.8
1987-02-01,116.1
1987-03-01,116.8
1987-04-01,117.4
1987-05-01,117.6
1987-06-01,117.7
1987-07-01,118
1987-08-01,118.6
1987-09-01,119.4
1987-10-01,120.1
1987-11-01,120.5
1987-12-01,120.4
1988-01-01,120.8
1988-02-01,121.1
1988-03-01,121.9
1988-04-01,122.4
1988-05-01,122.7
1988-06-01,123
1988-07-01,123.3
1988-08-01,123.8
1988-09-01,124.7
1988-10-01,125.5
1988-11-01,125.8
1988-12-01,126
1989-01-01,126.4
1989-02-01,126.9
1989-03-01,127.6
1989-04-01,128
1989-05-01,128.3
1989-06-01,128.5
1989-07-01,129
1989-08-01,129.3
1989-09-01,130
1989-10-01,130.9
1989-11-01,131.3
1989-12-01,131.5
1990-01-01,132
1990-02-01,132.8
1990-03-01,133.9
1990-04-01,134.2
1990-05-01,134.4
1990-06-01,134.8
1990-07-01,135.5
1990-08-01,136.4
1990-09-01,137.2
1990-10-01,137.8
1990-11-01,138.2
1990-12-01,138.3
1991-01-01,139.4
1991-02-01,140.3
1991-03-01,140.9
1991-04-01,141.1
1991-05-01,141.3
1991-06-01,141.5
1991-07-01,142
1991-08-01,142.7
1991-09-01,143.4
1991-10-01,143.9
1991-11-01,144.4
1991-12-01,144.4
1992-01-01,144.9
1992-02-01,145.6
1992-03-01,146.4
1992-04-01,146.6
1992-05-01,146.7
1992-06-01,146.9
1992-07-01,147.3
1992-08-01,147.7
1992-09-01,148.1
1992-10-01,149
1992-11-01,149.3
1992-12-01,149.2
1993-01-01,149.9
1993-02-01,150.8
1993-03-01,151.4
1993-04-01,151.7
1993-05-01,151.7
1993-06-01,151.8
1993-07-01,152
1993-08-01,152.6
1993-09-01,152.9
1993-10-01,153.5
1993-11-01,153.9
1993-12-01,153.9
1994-01-01,154.3
1994-02-01,155
1994-03-01,155.8
1994-04-01,155.9
1994-05-01,156
1994-06-01,156.2
1994-07-01,156.4
1994-08-01,157
1994-09-01,157.5
1994-10-01,158
1994-11-01,158.2
1994-12-01,157.9
1995-01-01,158.7
1995-02-01,159.6
1995-03-01,160.4
1995-04-01,160.7
1995-05-01,160.8
1995-06-01,160.9
1995-07-01,161.1
1995-08-01,161.6
1995-09-01,162.1
1995-10-01,162.8
1995-11-01,163
1995-12-01,162.7
1996-01-01,163.4
1996-02-01,164.2
1996-03-01,164.9
1996-04-01,165
1996-05-01,165.1
1996-06-01,165.2
1996-07-01,165.5
1996-08-01,165.8
1996-09-01,166.4
1996-10-01,167
1996-11-01,167.2
1996-12-01,167
1997-01-01,167.5
1997-02-01,168.3
1997-03-01,169
1997-04-01,169.4
1997-05-01,169.3
1997-06-01,169.2
1997-07-01,169.5
1997-08-01,169.6
1997-09-01,170
1997-10-01,170.8
1997-11-01,170.8
1997-12-01,170.7
1998-01-01,171.2
1998-02-01,172.1
1998-03-01,172.6
1998-04-01,173
1998-05-01,173.1
1998-06-01,173
1998-07-01,173.3
1998-08-01,173.8
1998-09-01,174.2
1998-10-01,174.7
1998-11-01,174.8
1998-12-01,174.8
1999-01-01,175.3
1999-02-01,175.7
1999-03-01,176.2
1999-04-01,176.8
1999-05-01,176.6
1999-06-01,176.6
1999-07-01,176.9
1999-08-01,177.1
1999-09-01,177.7
1999-10-01,178.3
1999-11-01,178.4
1999-12-01,178.2
2000-01-01,178.8
2000-02-01,179.5
2000-03-01,180.5
2000-04-01,180.9
2000-05-01,180.9
2000-06-01,181
2000-07-01,181.3
2000-08-01,181.7
2000-09-01,182.3
2000-10-01,182.8
2000-11-01,183
2000-12-01,182.8
2001-01-01,183.5
2001-02-01,184.4
2001-03-01,185.3
2001-04-01,185.6
2001-05-01,185.5
2001-06-01,185.9
2001-07-01,186.2
2001-08-01,186.6
2001-09-01,187.1
2001-10-01,187.6
2001-11-01,188.1
2001-12-01,187.8
2002-01-01,188.2
2002-02-01,189.2
2002-03-01,189.8
2002-04-01,190.3
2002-05-01,190.2
2002-06-01,190.1
2002-07-01,190.3
2002-08-01,191
2002-09-01,191.3
2002-10-01,191.8
2002-11-01,191.8
2002-12-01,191.4
2003-01-01,191.8
2003-02-01,192.5
2003-03-01,193
2003-04-01,193.1
2003-05-01,193.2
2003-06-01,193
2003-07-01,193.2
2003-08-01,193.5
2003-09-01,193.6
2003-10-01,194.3
2003-11-01,193.9
2003-12-01,193.6
2004-01-01,194
2004-02-01,194.9
2004-03-01,196.1
2004-04-01,196.5
2004-05-01,196.5
2004-06-01,196.6
2004-07-01,196.6
2004-08-01,196.8
2004-09-01,197.4
2004-10-01,198.2
2004-11-01,198.1
2004-12-01,197.8
2005-01-01,198.4
2005-02-01,199.5
2005-03-01,200.7
2005-04-01,200.9
2005-05-01,200.8
2005-06-01,200.6
2005-07-01,200.8
2005-08-01,201
2005-09-01,201.3
2005-10-01,202.3
2005-11-01,202.3
2005-12-01,202.1
2006-01-01,202.6
2006-02-01,203.6
2006-03-01,204.9
2006-04-01,205.5
2006-05-01,205.7
2006-06-01,205.9
2006-07-01,206.2
2006-08-01,206.7
2006-09-01,207.2
2006-10-01,207.8
2006-11-01,207.6
2006-12-01,207.3
2007-01-01,208.009
2007-02-01,209.112
2007-03-01,209.923
2007-04-01,210.311
2007-05-01,210.316
2007-06-01,210.474
2007-07-01,210.756
2007-08-01,211.111
2007-09-01,211.628
2007-10-01,212.318
2007-11-01,212.435
2007-12-01,212.356
2008-01-01,213.138
2008-02-01,213.866
2008-03-01,214.866
2008-04-01,215.059
2008-05-01,215.18
2008-06-01,215.553
2008-07-01,216.045
2008-08-01,216.476
2008-09-01,216.862
2008-10-01,217.023
2008-11-01,216.69
2008-12-01,216.1
2009-01-01,216.719
2009-02-01,217.685
2009-03-01,218.639
2009-04-01,219.143
2009-05-01,219.128
2009-06-01,219.283
2009-07-01,219.35
2009-08-01,219.596
2009-09-01,220.137
2009-10-01,220.731
2009-11-01,220.384
2009-12-01,220.025
2010-01-01,220.086
2010-02-01,220.602
2010-03-01,221.059
2010-04-01,221.166
2010-05-01,221.193
2010-06-01,221.265
2010-07-01,221.258
2010-08-01,221.551
2010-09-01,221.907
2010-10-01,222.079
2010-11-01,222.077
2010-12-01,221.795
2011-01-01,222.177
2011-02-01,223.011
2011-03-01,223.69
2011-04-01,224.118
2011-05-01,224.534
2011-06-01,224.891
