"Date","CWSR0000SA0L1E"
1965-06-01,33.1
1965-07-01,33
1965-08-01,33
1965-09-01,33.1
1965-10-01,33.2
1965-11-01,33.2
1965-12-01,33.3
1966-01-01,33.3
1966-02-01,33.4
1966-03-01,33.5
1966-04-01,33.6
1966-05-01,33.7
1966-06-01,33.8
1966-07-01,33.9
1966-08-01,34.1
1966-09-01,34.1
1966-10-01,34.3
1966-11-01,34.3
1966-12-01,34.4
1967-01-01,34.5
1967-02-01,34.6
1967-03-01,34.7
1967-04-01,34.7
1967-05-01,34.9
1967-06-01,34.9
1967-07-01,35.1
1967-08-01,35.2
1967-09-01,35.3
1967-10-01,35.5
1967-11-01,35.6
1967-12-01,35.7
1968-01-01,35.9
1968-02-01,36
1968-03-01,36.1
1968-04-01,36.3
1968-05-01,36.3
1968-06-01,36.6
1968-07-01,36.8
1968-08-01,36.9
1968-09-01,37
1968-10-01,37.2
1968-11-01,37.4
1968-12-01,37.5
1969-01-01,37.7
1969-02-01,37.9
1969-03-01,38.2
1969-04-01,38.5
1969-05-01,38.5
1969-06-01,38.7
1969-07-01,38.8
1969-08-01,39.1
1969-09-01,39.3
1969-10-01,39.4
1969-11-01,39.6
1969-12-01,39.8
1970-01-01,40
1970-02-01,40.2
1970-03-01,40.5
1970-04-01,40.8
1970-05-01,40.9
1970-06-01,41.2
1970-07-01,41.3
1970-08-01,41.5
1970-09-01,41.7
1970-10-01,41.9
1970-11-01,42.2
1970-12-01,42.4
1971-01-01,42.6
1971-02-01,42.7
1971-03-01,42.7
1971-04-01,42.8
1971-05-01,43
1971-06-01,43.2
1971-07-01,43.3
1971-08-01,43.4
1971-09-01,43.5
1971-10-01,43.5
1971-11-01,43.6
1971-12-01,43.7
1972-01-01,43.9
1972-02-01,44
1972-03-01,44
1972-04-01,44.2
1972-05-01,44.3
1972-06-01,44.4
1972-07-01,44.6
1972-08-01,44.7
1972-09-01,44.7
1972-10-01,44.8
1972-11-01,44.9
1972-12-01,45
1973-01-01,45.1
1973-02-01,45.2
1973-03-01,45.4
1973-04-01,45.6
1973-05-01,45.7
1973-06-01,45.9
1973-07-01,46
1973-08-01,46.2
1973-09-01,46.4
1973-10-01,46.8
1973-11-01,46.9
1973-12-01,47.2
1974-01-01,47.4
1974-02-01,47.7
1974-03-01,48.1
1974-04-01,48.4
1974-05-01,48.9
1974-06-01,49.5
1974-07-01,50
1974-08-01,50.7
1974-09-01,51.2
1974-10-01,51.7
1974-11-01,52.1
1974-12-01,52.5
1975-01-01,52.8
1975-02-01,53.3
1975-03-01,53.6
1975-04-01,53.8
1975-05-01,54.1
1975-06-01,54.3
1975-07-01,54.5
1975-08-01,54.8
1975-09-01,55
1975-10-01,55.4
1975-11-01,55.7
1975-12-01,56.1
1976-01-01,56.4
1976-02-01,56.7
1976-03-01,57
1976-04-01,57.3
1976-05-01,57.6
1976-06-01,57.8
1976-07-01,58.1
1976-08-01,58.5
1976-09-01,58.8
1976-10-01,59
1976-11-01,59.3
1976-12-01,59.5
1977-01-01,59.9
1977-02-01,60.3
1977-03-01,60.6
1977-04-01,60.9
1977-05-01,61.2
1977-06-01,61.6
1977-07-01,61.8
1977-08-01,62.1
1977-09-01,62.4
1977-10-01,62.6
1977-11-01,62.9
1977-12-01,63.3
1978-01-01,63.7
1978-02-01,64.1
1978-03-01,64.5
1978-04-01,64.9
1978-05-01,65.3
1978-06-01,65.8
1978-07-01,66.2
1978-08-01,66.7
1978-09-01,67.3
1978-10-01,67.8
1978-11-01,68.2
1978-12-01,68.6
1979-01-01,69.1
1979-02-01,69.8
1979-03-01,70.4
1979-04-01,71
1979-05-01,71.5
1979-06-01,71.9
1979-07-01,72.5
1979-08-01,73.2
1979-09-01,73.9
1979-10-01,74.5
1979-11-01,75.3
1979-12-01,76.2
1980-01-01,77.1
1980-02-01,78
1980-03-01,79
1980-04-01,79.9
1980-05-01,80.6
1980-06-01,81.5
1980-07-01,81.2
1980-08-01,81.8
1980-09-01,82.6
1980-10-01,83.5
1980-11-01,84.4
1980-12-01,85.4
1981-01-01,86
1981-02-01,86.4
1981-03-01,86.9
1981-04-01,87.4
1981-05-01,88.2
1981-06-01,89.1
1981-07-01,90.3
1981-08-01,91.2
1981-09-01,92.3
1981-10-01,92.6
1981-11-01,93
1981-12-01,93.5
1982-01-01,93.8
1982-02-01,94.2
1982-03-01,94.4
1982-04-01,95.1
1982-05-01,95.8
1982-06-01,96.6
1982-07-01,97.1
1982-08-01,97.6
1982-09-01,97.8
1982-10-01,98.1
1982-11-01,97.9
1982-12-01,97.8
1983-01-01,98
1983-02-01,98.4
1983-03-01,98.8
1983-04-01,99.1
1983-05-01,99.3
1983-06-01,99.6
1983-07-01,100
1983-08-01,100.6
1983-09-01,100.9
1983-10-01,101.3
1983-11-01,101.6
1983-12-01,101.7
1984-01-01,102.1
1984-02-01,102
1984-03-01,102
1984-04-01,102.2
1984-05-01,102.8
1984-06-01,103.1
1984-07-01,103.7
1984-08-01,104.9
1984-09-01,105.5
1984-10-01,105.6
1984-11-01,105.7
1984-12-01,106
1985-01-01,106.3
1985-02-01,106.9
1985-03-01,107.3
1985-04-01,107.6
1985-05-01,107.9
1985-06-01,108.2
1985-07-01,108.5
1985-08-01,108.8
1985-09-01,109
1985-10-01,109.5
1985-11-01,110
1985-12-01,110.3
1986-01-01,110.8
1986-02-01,111.1
1986-03-01,111.4
1986-04-01,111.7
1986-05-01,111.8
1986-06-01,112.2
1986-07-01,112.6
1986-08-01,112.8
1986-09-01,113.3
1986-10-01,113.6
1986-11-01,113.9
1986-12-01,114.2
1987-01-01,114.5
1987-02-01,114.8
1987-03-01,115.2
1987-04-01,115.9
1987-05-01,116.3
1987-06-01,116.5
1987-07-01,116.9
1987-08-01,117.3
1987-09-01,117.8
1987-10-01,118.3
1987-11-01,118.7
1987-12-01,118.9
1988-01-01,119.4
1988-02-01,119.7
1988-03-01,120.2
1988-04-01,120.8
1988-05-01,121.2
1988-06-01,121.6
1988-07-01,122.1
1988-08-01,122.4
1988-09-01,123.1
1988-10-01,123.6
1988-11-01,124
1988-12-01,124.4
1989-01-01,125
1989-02-01,125.3
1989-03-01,125.7
1989-04-01,126.2
1989-05-01,126.7
1989-06-01,127.1
1989-07-01,127.6
1989-08-01,127.8
1989-09-01,128.2
1989-10-01,128.7
1989-11-01,129.3
1989-12-01,129.8
1990-01-01,130.3
1990-02-01,130.8
1990-03-01,131.5
1990-04-01,132
1990-05-01,132.3
1990-06-01,132.9
1990-07-01,133.6
1990-08-01,134.3
1990-09-01,134.8
1990-10-01,135.2
1990-11-01,135.6
1990-12-01,136.1
1991-01-01,137.1
1991-02-01,137.7
1991-03-01,138.1
1991-04-01,138.5
1991-05-01,138.9
1991-06-01,139.3
1991-07-01,139.9
1991-08-01,140.3
1991-09-01,140.9
1991-10-01,141.2
1991-11-01,141.7
1991-12-01,142.1
1992-01-01,142.5
1992-02-01,142.8
1992-03-01,143.3
1992-04-01,143.7
1992-05-01,144.2
1992-06-01,144.5
1992-07-01,145
1992-08-01,145.3
1992-09-01,145.5
1992-10-01,146.2
1992-11-01,146.5
1992-12-01,146.9
1993-01-01,147.3
1993-02-01,147.8
1993-03-01,148
1993-04-01,148.5
1993-05-01,148.9
1993-06-01,149.3
1993-07-01,149.5
1993-08-01,149.9
1993-09-01,150
1993-10-01,150.5
1993-11-01,150.9
1993-12-01,151.2
1994-01-01,151.4
1994-02-01,151.7
1994-03-01,152.1
1994-04-01,152.4
1994-05-01,152.9
1994-06-01,153.4
1994-07-01,153.7
1994-08-01,154.1
1994-09-01,154.5
1994-10-01,154.8
1994-11-01,155.2
1994-12-01,155.5
1995-01-01,156
1995-02-01,156.4
1995-03-01,156.9
1995-04-01,157.4
1995-05-01,157.7
1995-06-01,158.1
1995-07-01,158.3
1995-08-01,158.7
1995-09-01,159.1
1995-10-01,159.6
1995-11-01,159.8
1995-12-01,160.1
1996-01-01,160.6
1996-02-01,160.9
1996-03-01,161.3
1996-04-01,161.5
1996-05-01,161.9
1996-06-01,162.2
1996-07-01,162.5
1996-08-01,162.7
1996-09-01,163.2
1996-10-01,163.5
1996-11-01,163.9
1996-12-01,164
1997-01-01,164.4
1997-02-01,164.7
1997-03-01,165
1997-04-01,165.5
1997-05-01,165.7
1997-06-01,165.9
1997-07-01,166.2
1997-08-01,166.3
1997-09-01,166.6
1997-10-01,166.9
1997-11-01,167.1
1997-12-01,167.5
1998-01-01,167.8
1998-02-01,168.2
1998-03-01,168.3
1998-04-01,168.7
1998-05-01,169.1
1998-06-01,169.3
1998-07-01,169.7
1998-08-01,170.1
1998-09-01,170.3
1998-10-01,170.6
1998-11-01,170.9
1998-12-01,171.6
1999-01-01,171.9
1999-02-01,171.8
1999-03-01,171.8
1999-04-01,172.4
1999-05-01,172.6
1999-06-01,172.8
1999-07-01,173.3
1999-08-01,173.4
1999-09-01,174
1999-10-01,174.3
1999-11-01,174.6
1999-12-01,174.8
2000-01-01,175.2
2000-02-01,175.4
2000-03-01,175.9
2000-04-01,176.3
2000-05-01,176.6
2000-06-01,176.9
2000-07-01,177.3
2000-08-01,177.6
2000-09-01,178.1
2000-10-01,178.3
2000-11-01,178.8
2000-12-01,179
2001-01-01,179.6
2001-02-01,180.1
2001-03-01,180.4
2001-04-01,180.8
2001-05-01,181
2001-06-01,181.5
2001-07-01,182.1
2001-08-01,182.3
2001-09-01,182.7
2001-10-01,182.9
2001-11-01,183.7
2001-12-01,183.8
2002-01-01,184
2002-02-01,184.4
2002-03-01,184.4
2002-04-01,184.9
2002-05-01,185.1
2002-06-01,185.4
2002-07-01,185.8
2002-08-01,186.4
2002-09-01,186.5
2002-10-01,186.6
2002-11-01,186.9
2002-12-01,187.1
2003-01-01,187.3
2003-02-01,187.4
2003-03-01,187.5
2003-04-01,187.5
2003-05-01,187.8
2003-06-01,187.8
2003-07-01,188.1
2003-08-01,188.3
2003-09-01,188.2
2003-10-01,188.3
2003-11-01,188.3
2003-12-01,188.4
2004-01-01,188.8
2004-02-01,189.1
2004-03-01,189.6
2004-04-01,189.9
2004-05-01,190.2
2004-06-01,190.4
2004-07-01,190.6
2004-08-01,190.8
2004-09-01,191.4
2004-10-01,191.7
2004-11-01,192.2
2004-12-01,192.5
2005-01-01,192.9
2005-02-01,193.3
2005-03-01,193.7
2005-04-01,193.9
2005-05-01,194.2
2005-06-01,194.4
2005-07-01,194.6
2005-08-01,194.9
2005-09-01,195.1
2005-10-01,195.7
2005-11-01,196.1
2005-12-01,196.4
2006-01-01,196.7
2006-02-01,197.1
2006-03-01,197.7
2006-04-01,198.2
2006-05-01,198.7
2006-06-01,199.2
2006-07-01,199.5
2006-08-01,200
2006-09-01,200.4
2006-10-01,200.7
2006-11-01,200.9
2006-12-01,201.2
2007-01-01,201.593
2007-02-01,202.046
2007-03-01,202.378
2007-04-01,202.657
2007-05-01,202.939
2007-06-01,203.148
2007-07-01,203.558
2007-08-01,203.897
2007-09-01,204.329
2007-10-01,204.843
2007-11-01,205.373
2007-12-01,205.873
2008-01-01,206.532
2008-02-01,206.654
2008-03-01,207.03
2008-04-01,207.258
2008-05-01,207.552
2008-06-01,208.004
2008-07-01,208.505
2008-08-01,208.921
2008-09-01,209.202
2008-10-01,209.232
2008-11-01,209.412
2008-12-01,209.437
2009-01-01,209.947
2009-02-01,210.261
2009-03-01,210.834
2009-04-01,211.461
2009-05-01,211.744
2009-06-01,212.019
2009-07-01,212.243
2009-08-01,212.491
2009-09-01,212.978
2009-10-01,213.573
2009-11-01,213.858
2009-12-01,214.136
2010-01-01,214.057
2010-02-01,214.2
2010-03-01,214.333
2010-04-01,214.371
2010-05-01,214.534
2010-06-01,214.773
2010-07-01,214.951
2010-08-01,215.036
2010-09-01,215.232
2010-10-01,215.298
2010-11-01,215.551
2010-12-01,215.67
2011-01-01,216.241
2011-02-01,216.646
2011-03-01,216.841
2011-04-01,217.139
2011-05-01,217.635
2011-06-01,218.158
2011-07-01,218.646
2011-08-01,219.266
2011-09-01,219.6
2011-10-01,220
2011-11-01,220.435
2011-12-01,220.902
2012-01-01,221.273
2012-02-01,221.468
2012-03-01,221.964
2012-04-01,222.404
2012-05-01,222.737
2012-06-01,223.068
2012-07-01,223.342
2012-08-01,223.449
2012-09-01,223.867
2012-10-01,224.269
2012-11-01,224.605
2012-12-01,224.935
2013-01-01,225.428
2013-02-01,225.782
2013-03-01,226.023
2013-04-01,226.097
2013-05-01,226.284
2013-06-01,226.588
2013-07-01,227.042
2013-08-01,227.478
2013-09-01,227.797
2013-10-01,228.098
2013-11-01,228.541
2013-12-01,228.878
2014-01-01,229.124
2014-02-01,229.276
2014-03-01,229.624
2014-04-01,230.051
2014-05-01,230.469
2014-06-01,230.766
2014-07-01,231.032
2014-08-01,231.235
2014-09-01,231.688
2014-10-01,232.036
2014-11-01,232.148
2014-12-01,232.245
2015-01-01,232.439
2015-02-01,232.923
2015-03-01,233.461
2015-04-01,234.026
2015-05-01,234.355
2015-06-01,234.71
2015-07-01,235.135
2015-08-01,235.408
2015-09-01,235.832
2015-10-01,236.224
2015-11-01,236.67
2015-12-01,236.941
2016-01-01,237.361
2016-02-01,237.873
2016-03-01,238.305
2016-04-01,238.915
2016-05-01,239.509
2016-06-01,239.807
2016-07-01,240.05
2016-08-01,240.577
2016-09-01,241.022
2016-10-01,241.231
2016-11-01,241.49
2016-12-01,241.906
2017-01-01,242.406
2017-02-01,242.875
2017-03-01,242.783
2017-04-01,243.005
2017-05-01,243.242
2017-06-01,243.554
2017-07-01,243.769
2017-08-01,244.309
2017-09-01,244.513
2017-10-01,245.27
2017-11-01,245.602
2017-12-01,246.168
2018-01-01,247.009
2018-02-01,247.435
2018-03-01,247.907
2018-04-01,248.243
2018-05-01,248.699
2018-06-01,249.002
2018-07-01,249.351
2018-08-01,249.531
2018-09-01,249.894
2018-10-01,250.565
2018-11-01,251.081
2018-12-01,251.508
2019-01-01,252.169
2019-02-01,252.498
2019-03-01,252.819
2019-04-01,253.217
2019-05-01,253.483
2019-06-01,254.056
2019-07-01,254.577
2019-08-01,255.253
2019-09-01,255.651
2019-10-01,256.237
2019-11-01,256.682
2019-12-01,257.165
2020-01-01,257.797
2020-02-01,258.385
2020-03-01,258.381
2020-04-01,257.224
2020-05-01,256.97
2020-06-01,257.294
2020-07-01,259.021
2020-08-01,260.324
2020-09-01,260.865
2020-10-01,261.192
2020-11-01,261.824
2020-12-01,262.067
2021-01-01,262.143
2021-02-01,262.427
2021-03-01,263.172
2021-04-01,265.465
2021-05-01,267.749
2021-06-01,270.084
2021-07-01,270.871
2021-08-01,271.361
2021-09-01,271.993
2021-10-01,273.987
2021-11-01,275.812
2021-12-01,277.826
2022-01-01,279.472
2022-02-01,280.732
2022-03-01,281.241
2022-04-01,282.441
2022-05-01,284.2
2022-06-01,285.978
2022-07-01,286.931
2022-08-01,288.639
2022-09-01,290.166
2022-10-01,291.005
2022-11-01,291.925
2022-12-01,293.025
2023-01-01,294.188
2023-02-01,295.335
2023-03-01,296.495
2023-04-01,297.829
2023-05-01,299.146
2023-06-01,299.665
2023-07-01,300.067
2023-08-01,301.026
2023-09-01,301.9
2023-10-01,302.747
2023-11-01,303.632
