"Date","CWUR0000SEHF"
1944-01-01,19.1
1944-02-01,19.1
1944-03-01,19.1
1944-04-01,19.1
1944-05-01,19.1
1944-06-01,19
1944-07-01,19.1
1944-08-01,19
1944-09-01,19
1944-10-01,19
1944-11-01,19
1944-12-01,18.8
1945-01-01,19
1945-02-01,19
1945-03-01,19
1945-04-01,19
1945-05-01,18.9
1945-06-01,18.9
1945-07-01,18.9
1945-08-01,18.9
1945-09-01,18.9
1945-10-01,18.8
1945-11-01,18.7
1945-12-01,18.7
1946-01-01,18.6
1946-02-01,18.6
1946-03-01,18.5
1946-04-01,18.4
1946-05-01,18.3
1946-06-01,18.3
1946-07-01,18.3
1946-08-01,18.2
1946-09-01,18.2
1946-10-01,18.2
1946-11-01,18.2
1946-12-01,18.3
1947-01-01,18.3
1947-02-01,18.3
1947-03-01,18.3
1947-04-01,18.4
1947-05-01,18.4
1947-06-01,18.2
1947-07-01,18.2
1947-08-01,18.3
1947-09-01,18.3
1947-10-01,18.3
1947-11-01,18.4
1947-12-01,18.4
1948-01-01,18.5
1948-02-01,18.5
1948-03-01,18.6
1948-04-01,18.7
1948-05-01,18.7
1948-06-01,18.7
1948-07-01,18.8
1948-08-01,18.8
1948-09-01,18.8
1948-10-01,19
1948-11-01,19
1948-12-01,18.9
1949-01-01,19
1949-02-01,19.1
1949-03-01,19.1
1949-04-01,19.3
1949-05-01,19.3
1949-06-01,19.3
1949-07-01,19.3
1949-08-01,19.3
1949-09-01,19.3
1949-10-01,19.3
1949-11-01,19.3
1949-12-01,19.3
1950-01-01,19.2
1950-02-01,19.3
1950-03-01,19.3
1950-04-01,19.3
1950-05-01,19.3
1950-06-01,19.3
1950-07-01,19.3
1950-08-01,19.3
1950-09-01,19.3
1950-10-01,19.3
1950-11-01,19.3
1950-12-01,19.3
1951-01-01,19.3
1951-02-01,19.3
1951-03-01,19.3
1951-04-01,19.3
1951-05-01,19.4
1951-06-01,19.3
1951-07-01,19.3
1951-08-01,19.4
1951-09-01,19.4
1951-10-01,19.4
1951-11-01,19.4
1951-12-01,19.4
1952-01-01,19.4
1952-02-01,19.4
1952-03-01,19.4
1952-04-01,19.5
1952-05-01,19.5
1952-06-01,19.6
1952-07-01,19.5
1952-08-01,19.7
1952-09-01,19.7
1952-10-01,19.7
1952-11-01,19.8
1952-12-01,19.8
1953-01-01,19.8
1953-02-01,19.9
1953-03-01,19.9
1953-04-01,19.9
1953-05-01,20
1953-06-01,19.9
1953-07-01,19.9
1953-08-01,20
1953-09-01,20
1953-10-01,20.1
1953-11-01,20.1
1953-12-01,20.1
1954-01-01,20.1
1954-02-01,20.2
1954-03-01,20.2
1954-04-01,20.2
1954-05-01,20.2
1954-06-01,20.2
1954-07-01,20.2
1954-08-01,20.2
1954-09-01,20.2
1954-10-01,20.3
1954-11-01,20.4
1954-12-01,20.5
1955-01-01,20.5
1955-02-01,20.6
1955-03-01,20.7
1955-04-01,20.7
1955-05-01,20.8
1955-06-01,20.7
1955-07-01,20.8
1955-08-01,20.8
1955-09-01,20.8
1955-10-01,20.8
1955-11-01,20.9
1955-12-01,20.9
1956-01-01,20.9
1956-02-01,20.9
1956-03-01,20.9
1956-04-01,21
1956-05-01,21
1956-06-01,20.9
1956-07-01,20.9
1956-08-01,21
1956-09-01,21
1956-10-01,21
1956-11-01,21
1956-12-01,21
1957-01-01,21.1
1957-02-01,21.1
1957-03-01,21.1
1957-04-01,21.1
1957-05-01,21.1
1957-06-01,21.1
1957-07-01,21.1
1957-08-01,21.2
1957-09-01,21.3
1957-10-01,21.3
1957-11-01,21.4
1957-12-01,21.4
1958-01-01,21.7
1958-02-01,21.7
1958-03-01,21.7
1958-04-01,21.7
1958-05-01,21.8
1958-06-01,21.9
1958-07-01,21.9
1958-08-01,22
1958-09-01,22.1
1958-10-01,22.1
1958-11-01,22.1
1958-12-01,22.2
1959-01-01,22.2
1959-02-01,22.2
1959-03-01,22.2
1959-04-01,22.2
1959-05-01,22.2
1959-06-01,22.4
1959-07-01,22.4
1959-08-01,22.5
1959-09-01,22.8
1959-10-01,22.8
1959-11-01,22.8
1959-12-01,23
1960-01-01,23.1
1960-02-01,23.2
1960-03-01,23.3
1960-04-01,23.3
1960-05-01,23.4
1960-06-01,23.4
1960-07-01,23.4
1960-08-01,23.4
1960-09-01,23.6
1960-10-01,23.6
1960-11-01,23.6
1960-12-01,23.5
1961-01-01,23.6
1961-02-01,23.6
1961-03-01,23.6
1961-04-01,23.6
1961-05-01,23.6
1961-06-01,23.7
1961-07-01,23.5
1961-08-01,23.5
1961-09-01,23.6
1961-10-01,23.6
1961-11-01,23.6
1961-12-01,23.6
1962-01-01,23.6
1962-02-01,23.6
1962-03-01,23.6
1962-04-01,23.6
1962-05-01,23.5
1962-06-01,23.5
1962-07-01,23.6
1962-08-01,23.6
1962-09-01,23.6
1962-10-01,23.6
1962-11-01,23.6
1962-12-01,23.6
1963-01-01,23.6
1963-02-01,23.6
1963-03-01,23.6
1963-04-01,23.5
1963-05-01,23.5
1963-06-01,23.6
1963-07-01,23.6
1963-08-01,23.3
1963-09-01,23.6
1963-10-01,23.6
1963-11-01,23.6
1963-12-01,23.6
1964-01-01,23.6
1964-02-01,23.2
1964-03-01,23.4
1964-04-01,23.6
1964-05-01,23.6
1964-06-01,23.6
1964-07-01,23.6
1964-08-01,23.6
1964-09-01,23.6
1964-10-01,23.6
1964-11-01,23.6
1964-12-01,23.7
1965-01-01,23.6
1965-02-01,23.6
1965-03-01,23.5
1965-04-01,23.5
1965-05-01,23.5
1965-06-01,23.6
1965-07-01,23.4
1965-08-01,23.5
1965-09-01,23.6
1965-10-01,23.6
1965-11-01,23.6
1965-12-01,23.6
1966-01-01,23.6
1966-02-01,23.6
1966-03-01,23.6
1966-04-01,23.7
1966-05-01,23.6
1966-06-01,23.6
1966-07-01,23.6
1966-08-01,23.6
1966-09-01,23.6
1966-10-01,23.6
1966-11-01,23.6
1966-12-01,23.6
1967-01-01,23.7
1967-02-01,23.7
1967-03-01,23.7
1967-04-01,23.7
1967-05-01,23.7
1967-06-01,23.6
1967-07-01,23.7
1967-08-01,23.7
1967-09-01,23.8
1967-10-01,23.8
1967-11-01,23.8
1967-12-01,23.8
1968-01-01,23.8
1968-02-01,23.9
1968-03-01,23.9
1968-04-01,23.9
1968-05-01,23.9
1968-06-01,23.9
1968-07-01,23.9
1968-08-01,24
1968-09-01,23.9
1968-10-01,23.9
1968-11-01,24
1968-12-01,24
1969-01-01,24.1
1969-02-01,24.1
1969-03-01,24.2
1969-04-01,24.3
1969-05-01,24.3
1969-06-01,24.3
1969-07-01,24.2
1969-08-01,24.4
1969-09-01,24.5
1969-10-01,24.5
1969-11-01,24.7
1969-12-01,24.9
1970-01-01,24.9
1970-02-01,25
1970-03-01,25.1
1970-04-01,25.3
1970-05-01,25.3
1970-06-01,25.2
1970-07-01,25.3
1970-08-01,25.4
1970-09-01,25.5
1970-10-01,25.8
1970-11-01,26.1
1970-12-01,26.3
1971-01-01,26.4
1971-02-01,26.7
1971-03-01,26.9
1971-04-01,27
1971-05-01,27.1
1971-06-01,27.2
1971-07-01,27.2
1971-08-01,27.4
1971-09-01,27.4
1971-10-01,27.4
1971-11-01,27.6
1971-12-01,28
1972-01-01,28.2
1972-02-01,28.3
1972-03-01,28.4
1972-04-01,28.5
1972-05-01,28.6
1972-06-01,28.5
1972-07-01,28.5
1972-08-01,28.6
1972-09-01,28.6
1972-10-01,28.7
1972-11-01,29
1972-12-01,29
1973-01-01,29.4
1973-02-01,29.5
1973-03-01,29.6
1973-04-01,29.8
1973-05-01,29.8
1973-06-01,29.7
1973-07-01,29.8
1973-08-01,29.8
1973-09-01,30
1973-10-01,30.2
1973-11-01,30.8
1973-12-01,31.1
1974-01-01,31.8
1974-02-01,32.6
1974-03-01,33.2
1974-04-01,33.6
1974-05-01,34.1
1974-06-01,34.3
1974-07-01,34.7
1974-08-01,35.2
1974-09-01,35.6
1974-10-01,35.9
1974-11-01,36.5
1974-12-01,37.2
1975-01-01,38
1975-02-01,38.6
1975-03-01,38.9
1975-04-01,39.4
1975-05-01,39.7
1975-06-01,40.2
1975-07-01,40.4
1975-08-01,40.6
1975-09-01,41.3
1975-10-01,41.3
1975-11-01,41.9
1975-12-01,42.4
1976-01-01,42.6
1976-02-01,43.1
1976-03-01,43.6
1976-04-01,43.7
1976-05-01,44.1
1976-06-01,44.6
1976-07-01,45
1976-08-01,45.1
1976-09-01,45.6
1976-10-01,46.1
1976-11-01,46.5
1976-12-01,47.8
1977-01-01,48.4
1977-02-01,48.7
1977-03-01,49.4
1977-04-01,49.8
1977-05-01,50
1977-06-01,50.5
1977-07-01,51.2
1977-08-01,51.6
1977-09-01,51.7
1977-10-01,52
1977-11-01,52.1
1977-12-01,51.9
1978-01-01,52.1
1978-02-01,52.9
1978-03-01,53.8
1978-04-01,54.4
1978-05-01,55.2
1978-06-01,56.2
1978-07-01,56.2
1978-08-01,56.2
1978-09-01,56.4
1978-10-01,56.9
1978-11-01,55.7
1978-12-01,56
1979-01-01,56.8
1979-02-01,57.2
1979-03-01,57.8
1979-04-01,58.1
1979-05-01,59.6
1979-06-01,61.6
1979-07-01,62.7
1979-08-01,63.2
1979-09-01,64
1979-10-01,64.5
1979-11-01,63.3
1979-12-01,64.2
1980-01-01,64.7
1980-02-01,66
1980-03-01,67.3
1980-04-01,68.2
1980-05-01,70.5
1980-06-01,73.2
1980-07-01,74.3
1980-08-01,74.8
1980-09-01,75.3
1980-10-01,74.9
1980-11-01,73.5
1980-12-01,74.3
1981-01-01,75.3
1981-02-01,76.4
1981-03-01,77.3
1981-04-01,78.2
1981-05-01,80.2
1981-06-01,82.8
1981-07-01,84.6
1981-08-01,85.2
1981-09-01,86.2
1981-10-01,85.2
1981-11-01,84.8
1981-12-01,85.1
1982-01-01,86.8
1982-02-01,87.1
1982-03-01,88.9
1982-04-01,89.4
1982-05-01,92
1982-06-01,94.4
1982-07-01,95.2
1982-08-01,95.7
1982-09-01,96.9
1982-10-01,97.8
1982-11-01,96.5
1982-12-01,97.2
1983-01-01,97.9
1983-02-01,98.1
1983-03-01,99
1983-04-01,99.6
1983-05-01,101.6
1983-06-01,103.7
1983-07-01,104.4
1983-08-01,104
1983-09-01,104.3
1983-10-01,103
1983-11-01,101.4
1983-12-01,101.2
1984-01-01,101.1
1984-02-01,101.5
1984-03-01,101.6
1984-04-01,102.2
1984-05-01,104.3
1984-06-01,106.6
1984-07-01,108.7
1984-08-01,109.8
1984-09-01,110.4
1984-10-01,107.8
1984-11-01,105.2
1984-12-01,104.6
1985-01-01,105.1
1985-02-01,104.9
1985-03-01,105.4
1985-04-01,105.4
1985-05-01,107.4
1985-06-01,110.3
1985-07-01,110.6
1985-08-01,110.1
1985-09-01,110.5
1985-10-01,107.2
1985-11-01,104.2
1985-12-01,104.1
1986-01-01,104.7
1986-02-01,105.1
1986-03-01,104.6
1986-04-01,103.9
1986-05-01,105.1
1986-06-01,110.4
1986-07-01,109.4
1986-08-01,110.1
1986-09-01,109.2
1986-10-01,104.2
1986-11-01,100.9
1986-12-01,100.5
1987-01-01,101.4
1987-02-01,101.3
1987-03-01,101.3
1987-04-01,100.6
1987-05-01,102.2
1987-06-01,108
1987-07-01,107.4
1987-08-01,108.6
1987-09-01,108.1
1987-10-01,103
1987-11-01,101.1
1987-12-01,100.7
1988-01-01,101.2
1988-02-01,101.6
1988-03-01,101.4
1988-04-01,101.4
1988-05-01,102.2
1988-06-01,107.5
1988-07-01,107.8
1988-08-01,108
1988-09-01,108.2
1988-10-01,105.5
1988-11-01,103.5
1988-12-01,103.9
1989-01-01,104.8
1989-02-01,104.6
1989-03-01,104.6
1989-04-01,104.8
1989-05-01,105.8
1989-06-01,110.3
1989-07-01,110.8
1989-08-01,111
1989-09-01,110.7
1989-10-01,107.2
1989-11-01,105.8
1989-12-01,106.7
1990-01-01,107.2
1990-02-01,107.9
1990-03-01,107.5
1990-04-01,106.4
1990-05-01,107.2
1990-06-01,112.1
1990-07-01,111.4
1990-08-01,111.3
1990-09-01,112
1990-10-01,108.4
1990-11-01,107.6
1990-12-01,108.2
1991-01-01,111
1991-02-01,111
1991-03-01,110.3
1991-04-01,108.8
1991-05-01,110.9
1991-06-01,114
1991-07-01,114.9
1991-08-01,114.2
1991-09-01,115.1
1991-10-01,112.3
1991-11-01,110.6
1991-12-01,111.9
1992-01-01,112.4
1992-02-01,111.5
1992-03-01,111
1992-04-01,110.8
1992-05-01,112.5
1992-06-01,116.9
1992-07-01,117
1992-08-01,117
1992-09-01,118.1
1992-10-01,114.8
1992-11-01,114.3
1992-12-01,115.1
1993-01-01,115.4
1993-02-01,113.3
1993-03-01,114.6
1993-04-01,114.8
1993-05-01,116.8
1993-06-01,121.6
1993-07-01,121.8
1993-08-01,121.8
1993-09-01,122.7
1993-10-01,119.2
1993-11-01,116.7
1993-12-01,117.7
1994-01-01,117.5
1994-02-01,117.4
1994-03-01,117.5
1994-04-01,116.4
1994-05-01,117.4
1994-06-01,121.5
1994-07-01,121.7
1994-08-01,121.6
1994-09-01,121.5
1994-10-01,117.8
1994-11-01,116.7
1994-12-01,116.8
1995-01-01,117.4
1995-02-01,116.9
1995-03-01,116.3
1995-04-01,115.6
1995-05-01,116.3
1995-06-01,121.1
1995-07-01,121.2
1995-08-01,122.4
1995-09-01,120.8
1995-10-01,118.5
1995-11-01,116.9
1995-12-01,117.5
1996-01-01,118
1996-02-01,118.4
1996-03-01,117.9
1996-04-01,118.5
1996-05-01,120
1996-06-01,123.8
1996-07-01,125.1
1996-08-01,125.7
1996-09-01,125.7
1996-10-01,122.2
1996-11-01,121.2
1996-12-01,122.3
1997-01-01,124.5
1997-02-01,124.8
1997-03-01,122.9
1997-04-01,121.2
1997-05-01,121.5
1997-06-01,127
1997-07-01,127.3
1997-08-01,126.2
1997-09-01,127.6
1997-10-01,124.6
1997-11-01,124.9
1997-12-01,122.4
1998-01-01,121
1998-02-01,119.2
1998-03-01,118.9
1998-04-01,118.9
1998-05-01,120.2
1998-06-01,124.5
1998-07-01,124.6
1998-08-01,123.6
1998-09-01,122.9
1998-10-01,119.1
1998-11-01,118.3
1998-12-01,118.4
1999-01-01,117.7
1999-02-01,117.5
1999-03-01,117.3
1999-04-01,116.9
1999-05-01,117.9
1999-06-01,122.6
1999-07-01,123.6
1999-08-01,123.7
1999-09-01,124.9
1999-10-01,121.5
1999-11-01,120.9
1999-12-01,119.8
2000-01-01,119.4
2000-02-01,120.1
2000-03-01,120.2
2000-04-01,120.5
2000-05-01,121.6
2000-06-01,129.9
2000-07-01,132.5
2000-08-01,131.8
2000-09-01,134.4
2000-10-01,133
2000-11-01,132.1
2000-12-01,134.8
2001-01-01,144.8
2001-02-01,143
2001-03-01,141.5
2001-04-01,140.4
2001-05-01,142.9
2001-06-01,148.5
2001-07-01,147.8
2001-08-01,145.2
2001-09-01,142.2
2001-10-01,135
2001-11-01,133.7
2001-12-01,132.5
2002-01-01,131.4
2002-02-01,129.7
2002-03-01,129.8
2002-04-01,129.6
2002-05-01,131
2002-06-01,136.9
2002-07-01,137.5
2002-08-01,137.4
2002-09-01,137.6
2002-10-01,133.8
2002-11-01,132.9
2002-12-01,133.2
2003-01-01,134.7
2003-02-01,136
2003-03-01,142.6
2003-04-01,142.3
2003-05-01,143.5
2003-06-01,150.3
2003-07-01,150.6
2003-08-01,150.1
2003-09-01,150.6
2003-10-01,144.6
2003-11-01,141.9
2003-12-01,142.5
2004-01-01,144.7
2004-02-01,144.7
2004-03-01,142.9
2004-04-01,143.5
2004-05-01,146.1
2004-06-01,155.1
2004-07-01,156.2
2004-08-01,156.8
2004-09-01,155.3
2004-10-01,149.1
2004-11-01,151.7
2004-12-01,152
2005-01-01,153.3
2005-02-01,152
2005-03-01,151.8
2005-04-01,155
2005-05-01,157.7
2005-06-01,164.8
2005-07-01,167.2
2005-08-01,168.7
2005-09-01,175.2
2005-10-01,178.8
2005-11-01,181.6
2005-12-01,178.3
2006-01-01,186.4
2006-02-01,181.1
2006-03-01,178.3
2006-04-01,176.1
2006-05-01,177.1
2006-06-01,183.7
2006-07-01,184.1
2006-08-01,184.3
2006-09-01,185.3
2006-10-01,174.3
2006-11-01,175.1
2006-12-01,177.1
2007-01-01,179.457
2007-02-01,179.55
2007-03-01,181.092
2007-04-01,180.803
2007-05-01,183.103
2007-06-01,191.771
2007-07-01,191.01
2007-08-01,188.511
2007-09-01,187.963
2007-10-01,183.172
2007-11-01,182.781
2007-12-01,183.066
2008-01-01,184.522
2008-02-01,185.324
2008-03-01,188.143
2008-04-01,192.434
2008-05-01,199.045
2008-06-01,211.398
2008-07-01,219.612
2008-08-01,216.557
2008-09-01,209.442
2008-10-01,201.651
2008-11-01,197.507
2008-12-01,197.545
2009-01-01,197.703
2009-02-01,196.04
2009-03-01,192.922
2009-04-01,188.735
2009-05-01,187.982
2009-06-01,195.445
2009-07-01,195.547
2009-08-01,194.211
2009-09-01,193.013
2009-10-01,187.473
2009-11-01,187.572
2009-12-01,187.125
2010-01-01,188.607
2010-02-01,187.73
2010-03-01,189.595
2010-04-01,188.837
2010-05-01,190.233
2010-06-01,197.258
2010-07-01,199.162
2010-08-01,198.64
2010-09-01,196.143
2010-10-01,189.313
2010-11-01,186.023
2010-12-01,187.077
2011-01-01,187.874
2011-02-01,188.567
2011-03-01,188.985
2011-04-01,189.281
2011-05-01,192.646
2011-06-01,199.65
2011-07-01,201.547
2011-08-01,201.084
2011-09-01,200.861
2011-10-01,193.001
2011-11-01,189.671
2011-12-01,189.06
2012-01-01,189.143
2012-02-01,187.193
2012-03-01,186.04
2012-04-01,185.01
2012-05-01,186.096
2012-06-01,193.742
2012-07-01,192.913
2012-08-01,193.366
2012-09-01,192.824
2012-10-01,187.152
2012-11-01,186.542
2012-12-01,187.022
2013-01-01,188.613
2013-02-01,188.81
2013-03-01,187.961
2013-04-01,189.739
2013-05-01,194.386
2013-06-01,201.426
2013-07-01,201.433
2013-08-01,199.668
2013-09-01,199.856
2013-10-01,193.265
2013-11-01,190.974
2013-12-01,191.43
2014-01-01,196.966
2014-02-01,198.031
2014-03-01,202.783
2014-04-01,198.141
2014-05-01,202.925
2014-06-01,210.368
2014-07-01,210.851
2014-08-01,208.887
2014-09-01,207.02
2014-10-01,199.611
2014-11-01,196.643
2014-12-01,198.85
2015-01-01,200.659
2015-02-01,199.728
2015-03-01,196.924
2015-04-01,195.711
2015-05-01,196.243
2015-06-01,204.076
2015-07-01,202.868
2015-08-01,202.358
2015-09-01,200.692
2015-10-01,193.752
2015-11-01,191.192
2015-12-01,190.19
2016-01-01,191.385
2016-02-01,190.665
2016-03-01,190.267
2016-04-01,189.532
2016-05-01,192.203
2016-06-01,198.89
2016-07-01,200.955
2016-08-01,201.54
2016-09-01,201.947
2016-10-01,196.061
2016-11-01,193.65
2016-12-01,193.933
2017-01-01,196.588
2017-02-01,197.748
2017-03-01,196.589
2017-04-01,197.654
2017-05-01,201.054
2017-06-01,207.749
2017-07-01,208.001
2017-08-01,207.388
2017-09-01,206.327
2017-10-01,200.437
2017-11-01,199.122
2017-12-01,199.838
2018-01-01,200.147
2018-02-01,202.662
2018-03-01,201.243
2018-04-01,199.893
2018-05-01,202.549
2018-06-01,206.677
2018-07-01,206.065
2018-08-01,206.76
2018-09-01,203.774
2018-10-01,200.914
2018-11-01,199.172
2018-12-01,202.71
2019-01-01,203.138
2019-02-01,201.562
2019-03-01,201.238
2019-04-01,199.99
2019-05-01,200.917
2019-06-01,205.192
2019-07-01,205.627
2019-08-01,204.818
2019-09-01,203.542
2019-10-01,201.46
2019-11-01,200.129
2019-12-01,200.027
2020-01-01,201.87
2020-02-01,201.297
2020-03-01,199.934
2020-04-01,199.328
2020-05-01,200.409
2020-06-01,205.139
2020-07-01,205.137
2020-08-01,204.569
2020-09-01,206.32
2020-10-01,204.261
2020-11-01,204.5
2020-12-01,205.305
2021-01-01,206.024
2021-02-01,207.779
2021-03-01,208.185
2021-04-01,210.37
2021-05-01,213.076
2021-06-01,218.372
2021-07-01,220.229
2021-08-01,222.335
2021-09-01,224.296
2021-10-01,227.426
2021-11-01,226.576
2021-12-01,226.829
2022-01-01,234.025
2022-02-01,233.347
2022-03-01,236.082
2022-04-01,239.117
2022-05-01,247.851
2022-06-01,261.126
2022-07-01,262.172
2022-08-01,267.149
2022-09-01,268.945
2022-10-01,262.988
2022-11-01,258.288
2022-12-01,261.655
2023-01-01,271.094
2023-02-01,263.999
2023-03-01,257.304
2023-04-01,253.001
2023-05-01,251.221
2023-06-01,257.327
2023-07-01,257.944
2023-08-01,258.603
2023-09-01,259.079
2023-10-01,256.898
2023-11-01,258.419
