"Date","CUURA319SAT"
1964-01-01,NA
1964-02-01,NA
1964-03-01,34.6
1964-04-01,NA
1964-05-01,NA
1964-06-01,34.5
1964-07-01,NA
1964-08-01,NA
1964-09-01,34.7
1964-10-01,NA
1964-11-01,NA
1964-12-01,35
1965-01-01,NA
1965-02-01,NA
1965-03-01,35
1965-04-01,NA
1965-05-01,NA
1965-06-01,34
1965-07-01,NA
1965-08-01,NA
1965-09-01,34.5
1965-10-01,NA
1965-11-01,NA
1965-12-01,34.8
1966-01-01,NA
1966-02-01,NA
1966-03-01,34.4
1966-04-01,NA
1966-05-01,NA
1966-06-01,34.5
1966-07-01,NA
1966-08-01,NA
1966-09-01,34.6
1966-10-01,NA
1966-11-01,NA
1966-12-01,34.7
1967-01-01,NA
1967-02-01,NA
1967-03-01,34.7
1967-04-01,NA
1967-05-01,NA
1967-06-01,35.2
1967-07-01,NA
1967-08-01,NA
1967-09-01,35.5
1967-10-01,NA
1967-11-01,NA
1967-12-01,35.9
1968-01-01,NA
1968-02-01,NA
1968-03-01,35.9
1968-04-01,NA
1968-05-01,NA
1968-06-01,36.1
1968-07-01,NA
1968-08-01,NA
1968-09-01,36
1968-10-01,NA
1968-11-01,NA
1968-12-01,36.5
1969-01-01,NA
1969-02-01,NA
1969-03-01,37.3
1969-04-01,NA
1969-05-01,NA
1969-06-01,37.3
1969-07-01,NA
1969-08-01,NA
1969-09-01,37.1
1969-10-01,NA
1969-11-01,NA
1969-12-01,37.6
1970-01-01,NA
1970-02-01,NA
1970-03-01,37.2
1970-04-01,NA
1970-05-01,NA
1970-06-01,38.1
1970-07-01,NA
1970-08-01,NA
1970-09-01,38.4
1970-10-01,NA
1970-11-01,NA
1970-12-01,40.1
1971-01-01,NA
1971-02-01,NA
1971-03-01,40.3
1971-04-01,NA
1971-05-01,NA
1971-06-01,41.2
1971-07-01,NA
1971-08-01,NA
1971-09-01,40.4
1971-10-01,NA
1971-11-01,NA
1971-12-01,40.7
1972-01-01,NA
1972-02-01,NA
1972-03-01,39.2
1972-04-01,NA
1972-05-01,NA
1972-06-01,39.5
1972-07-01,NA
1972-08-01,NA
1972-09-01,40.1
1972-10-01,NA
1972-11-01,NA
1972-12-01,40.4
1973-01-01,NA
1973-02-01,NA
1973-03-01,40.4
1973-04-01,NA
1973-05-01,NA
1973-06-01,41.3
1973-07-01,NA
1973-08-01,NA
1973-09-01,41.1
1973-10-01,NA
1973-11-01,NA
1973-12-01,42.2
1974-01-01,NA
1974-02-01,NA
1974-03-01,44.2
1974-04-01,NA
1974-05-01,NA
1974-06-01,47
1974-07-01,NA
1974-08-01,NA
1974-09-01,48.5
1974-10-01,NA
1974-11-01,NA
1974-12-01,48.5
1975-01-01,NA
1975-02-01,NA
1975-03-01,48.6
1975-04-01,NA
1975-05-01,NA
1975-06-01,50.4
1975-07-01,NA
1975-08-01,NA
1975-09-01,51.5
1975-10-01,NA
1975-11-01,NA
1975-12-01,52.2
1976-01-01,NA
1976-02-01,NA
1976-03-01,52.4
1976-04-01,NA
1976-05-01,NA
1976-06-01,54.4
1976-07-01,NA
1976-08-01,NA
1976-09-01,55.5
1976-10-01,NA
1976-11-01,NA
1976-12-01,56
1977-01-01,NA
1977-02-01,NA
1977-03-01,56.5
1977-04-01,NA
1977-05-01,NA
1977-06-01,57.9
1977-07-01,NA
1977-08-01,NA
1977-09-01,57.5
1977-10-01,NA
1977-11-01,NA
1977-12-01,58
1978-01-01,NA
1978-02-01,57.9
1978-03-01,NA
1978-04-01,58.1
1978-05-01,NA
1978-06-01,59.5
1978-07-01,NA
1978-08-01,60.3
1978-09-01,NA
1978-10-01,61.3
1978-11-01,NA
1978-12-01,61.8
1979-01-01,NA
1979-02-01,63
1979-03-01,NA
1979-04-01,66.3
1979-05-01,NA
1979-06-01,69.4
1979-07-01,NA
1979-08-01,72.3
1979-09-01,NA
1979-10-01,73.8
1979-11-01,NA
1979-12-01,75.6
1980-01-01,NA
1980-02-01,80.4
1980-03-01,NA
1980-04-01,83.4
1980-05-01,NA
1980-06-01,84
1980-07-01,NA
1980-08-01,87.3
1980-09-01,NA
1980-10-01,88.2
1980-11-01,NA
1980-12-01,89.3
1981-01-01,NA
1981-02-01,92.5
1981-03-01,NA
1981-04-01,94.4
1981-05-01,NA
1981-06-01,95.2
1981-07-01,NA
1981-08-01,95.1
1981-09-01,NA
1981-10-01,97
1981-11-01,NA
1981-12-01,97.5
1982-01-01,NA
1982-02-01,96.4
1982-03-01,NA
1982-04-01,94.4
1982-05-01,NA
1982-06-01,98.3
1982-07-01,NA
1982-08-01,99.2
1982-09-01,NA
1982-10-01,98.7
1982-11-01,NA
1982-12-01,98.6
1983-01-01,NA
1983-02-01,96.4
1983-03-01,NA
1983-04-01,97.9
1983-05-01,NA
1983-06-01,99.5
1983-07-01,NA
1983-08-01,100.6
1983-09-01,NA
1983-10-01,101.3
1983-11-01,NA
1983-12-01,101.8
1984-01-01,NA
1984-02-01,101.6
1984-03-01,NA
1984-04-01,102.7
1984-05-01,NA
1984-06-01,103.3
1984-07-01,NA
1984-08-01,103.1
1984-09-01,NA
1984-10-01,103.9
1984-11-01,NA
1984-12-01,104
1985-01-01,NA
1985-02-01,103.3
1985-03-01,NA
1985-04-01,106.1
1985-05-01,NA
1985-06-01,106.6
1985-07-01,NA
1985-08-01,107.5
1985-09-01,NA
1985-10-01,108.2
1985-11-01,NA
1985-12-01,109.7
1986-01-01,NA
1986-02-01,108.4
1986-03-01,NA
1986-04-01,101.5
1986-05-01,NA
1986-06-01,103.3
1986-07-01,NA
1986-08-01,100.6
1986-09-01,NA
1986-10-01,100.1
1986-11-01,NA
1986-12-01,101
1987-01-01,NA
1987-02-01,NA
1987-03-01,NA
1987-04-01,NA
1987-05-01,NA
1987-06-01,NA
1987-07-01,NA
1987-08-01,NA
1987-09-01,NA
1987-10-01,NA
1987-11-01,NA
1987-12-01,NA
1988-01-01,NA
1988-02-01,NA
1988-03-01,NA
1988-04-01,NA
1988-05-01,NA
1988-06-01,NA
1988-07-01,NA
1988-08-01,NA
1988-09-01,NA
1988-10-01,NA
1988-11-01,NA
1988-12-01,NA
1989-01-01,NA
1989-02-01,NA
1989-03-01,NA
1989-04-01,NA
1989-05-01,NA
1989-06-01,NA
1989-07-01,NA
1989-08-01,NA
1989-09-01,NA
1989-10-01,NA
1989-11-01,NA
1989-12-01,NA
1990-01-01,NA
1990-02-01,NA
1990-03-01,NA
1990-04-01,NA
1990-05-01,NA
1990-06-01,NA
1990-07-01,NA
1990-08-01,NA
1990-09-01,NA
1990-10-01,NA
1990-11-01,NA
1990-12-01,NA
1991-01-01,NA
1991-02-01,NA
1991-03-01,NA
1991-04-01,NA
1991-05-01,NA
1991-06-01,NA
1991-07-01,NA
1991-08-01,NA
1991-09-01,NA
1991-10-01,NA
1991-11-01,NA
1991-12-01,NA
1992-01-01,NA
1992-02-01,NA
1992-03-01,NA
1992-04-01,NA
1992-05-01,NA
1992-06-01,NA
1992-07-01,NA
1992-08-01,NA
1992-09-01,NA
1992-10-01,NA
1992-11-01,NA
1992-12-01,NA
1993-01-01,NA
1993-02-01,NA
1993-03-01,NA
1993-04-01,NA
1993-05-01,NA
1993-06-01,NA
1993-07-01,NA
1993-08-01,NA
1993-09-01,NA
1993-10-01,NA
1993-11-01,NA
1993-12-01,NA
1994-01-01,NA
1994-02-01,NA
1994-03-01,NA
1994-04-01,NA
1994-05-01,NA
1994-06-01,NA
1994-07-01,NA
1994-08-01,NA
1994-09-01,NA
1994-10-01,NA
1994-11-01,NA
1994-12-01,NA
1995-01-01,NA
1995-02-01,NA
1995-03-01,NA
1995-04-01,NA
1995-05-01,NA
1995-06-01,NA
1995-07-01,NA
1995-08-01,NA
1995-09-01,NA
1995-10-01,NA
1995-11-01,NA
1995-12-01,NA
1996-01-01,NA
1996-02-01,NA
1996-03-01,NA
1996-04-01,NA
1996-05-01,NA
1996-06-01,NA
1996-07-01,NA
1996-08-01,NA
1996-09-01,NA
1996-10-01,NA
1996-11-01,NA
1996-12-01,NA
1997-01-01,NA
1997-02-01,NA
1997-03-01,NA
1997-04-01,NA
1997-05-01,NA
1997-06-01,NA
1997-07-01,NA
1997-08-01,NA
1997-09-01,NA
1997-10-01,NA
1997-11-01,NA
1997-12-01,130.5
1998-01-01,NA
1998-02-01,127.9
1998-03-01,NA
1998-04-01,128.1
1998-05-01,NA
1998-06-01,127.1
1998-07-01,NA
1998-08-01,126.5
1998-09-01,NA
1998-10-01,128.4
1998-11-01,NA
1998-12-01,128
1999-01-01,NA
1999-02-01,126.6
1999-03-01,NA
1999-04-01,129.3
1999-05-01,NA
1999-06-01,129.5
1999-07-01,NA
1999-08-01,130.2
1999-09-01,NA
1999-10-01,133.1
1999-11-01,NA
1999-12-01,134.5
2000-01-01,NA
2000-02-01,134.4
2000-03-01,NA
2000-04-01,137
2000-05-01,NA
2000-06-01,139
2000-07-01,NA
2000-08-01,138.2
2000-09-01,NA
2000-10-01,139.4
2000-11-01,NA
2000-12-01,138.6
2001-01-01,NA
2001-02-01,139.4
2001-03-01,NA
2001-04-01,140.2
2001-05-01,NA
2001-06-01,142.2
2001-07-01,NA
2001-08-01,137.6
2001-09-01,NA
2001-10-01,139.2
2001-11-01,NA
2001-12-01,134
2002-01-01,NA
2002-02-01,134.6
2002-03-01,NA
2002-04-01,141.1
2002-05-01,NA
2002-06-01,140.5
2002-07-01,NA
2002-08-01,141.3
2002-09-01,NA
2002-10-01,142.1
2002-11-01,NA
2002-12-01,139.8
2003-01-01,NA
2003-02-01,145
2003-03-01,NA
2003-04-01,145.4
2003-05-01,NA
2003-06-01,143.7
2003-07-01,NA
2003-08-01,145.7
2003-09-01,NA
2003-10-01,143.4
2003-11-01,NA
2003-12-01,142.2
2004-01-01,NA
2004-02-01,147.9
2004-03-01,NA
2004-04-01,150.4
2004-05-01,NA
2004-06-01,155.8
2004-07-01,NA
2004-08-01,152.9
2004-09-01,NA
2004-10-01,158
2004-11-01,NA
2004-12-01,157.3
2005-01-01,NA
2005-02-01,158.2
2005-03-01,NA
2005-04-01,164.8
2005-05-01,NA
2005-06-01,163.6
2005-07-01,NA
2005-08-01,169.1
2005-09-01,NA
2005-10-01,183
2005-11-01,NA
2005-12-01,162.5
2006-01-01,NA
2006-02-01,167.9
2006-03-01,NA
2006-04-01,176.4
2006-05-01,NA
2006-06-01,181.2
2006-07-01,NA
2006-08-01,182.5
2006-09-01,NA
2006-10-01,164.6
2006-11-01,NA
2006-12-01,167.5
2007-01-01,NA
2007-02-01,165.235
2007-03-01,NA
2007-04-01,178.636
2007-05-01,NA
2007-06-01,184.872
2007-07-01,NA
2007-08-01,179.767
2007-09-01,NA
2007-10-01,180.435
2007-11-01,NA
2007-12-01,184.009
2008-01-01,NA
2008-02-01,183.511
2008-03-01,NA
2008-04-01,191.957
2008-05-01,NA
2008-06-01,208.459
2008-07-01,NA
2008-08-01,202.206
2008-09-01,NA
2008-10-01,189.93
2008-11-01,NA
2008-12-01,152.956
2009-01-01,NA
2009-02-01,156.916
2009-03-01,NA
2009-04-01,160.736
2009-05-01,NA
2009-06-01,171.888
2009-07-01,NA
2009-08-01,172.538
2009-09-01,NA
2009-10-01,174.65
2009-11-01,NA
2009-12-01,177.704
2010-01-01,NA
2010-02-01,179.514
2010-03-01,NA
2010-04-01,183.718
2010-05-01,NA
2010-06-01,181.828
2010-07-01,NA
2010-08-01,182.589
2010-09-01,NA
2010-10-01,183.949
2010-11-01,NA
2010-12-01,188.447
2011-01-01,NA
2011-02-01,196.435
2011-03-01,NA
2011-04-01,212.491
2011-05-01,NA
2011-06-01,210.512
2011-07-01,NA
2011-08-01,211.109
2011-09-01,NA
2011-10-01,203.498
2011-11-01,NA
2011-12-01,200.239
2012-01-01,NA
2012-02-01,209.905
2012-03-01,NA
2012-04-01,217.489
2012-05-01,NA
2012-06-01,207.264
2012-07-01,NA
2012-08-01,214.485
2012-09-01,NA
2012-10-01,212.521
2012-11-01,NA
2012-12-01,204.323
2013-01-01,NA
2013-02-01,215.324
2013-03-01,NA
2013-04-01,210.88
2013-05-01,NA
2013-06-01,213.092
2013-07-01,NA
2013-08-01,212.787
2013-09-01,NA
2013-10-01,211.127
2013-11-01,NA
2013-12-01,207.48
2014-01-01,NA
2014-02-01,209.824
2014-03-01,NA
2014-04-01,218.318
2014-05-01,NA
2014-06-01,218.618
2014-07-01,NA
2014-08-01,212.826
2014-09-01,NA
2014-10-01,208.809
2014-11-01,NA
2014-12-01,192.809
2015-01-01,NA
2015-02-01,185.844
2015-03-01,NA
2015-04-01,189.269
2015-05-01,NA
2015-06-01,200.453
2015-07-01,NA
2015-08-01,193.104
2015-09-01,NA
2015-10-01,185.651
2015-11-01,NA
2015-12-01,183.809
2016-01-01,NA
2016-02-01,177.999
2016-03-01,NA
2016-04-01,188.003
2016-05-01,NA
2016-06-01,190.156
2016-07-01,NA
2016-08-01,187.445
2016-09-01,NA
2016-10-01,191.448
2016-11-01,NA
2016-12-01,189.143
2017-01-01,NA
2017-02-01,191.422
2017-03-01,NA
2017-04-01,194.306
2017-05-01,NA
2017-06-01,192.023
2017-07-01,NA
2017-08-01,201.434
2017-09-01,NA
2017-10-01,206.054
2017-11-01,NA
2017-12-01,205.467
2018-01-01,NA
2018-02-01,207.98
2018-03-01,NA
2018-04-01,209.395
2018-05-01,NA
2018-06-01,212.91
2018-07-01,NA
2018-08-01,216.606
2018-09-01,NA
2018-10-01,213.176
2018-11-01,NA
2018-12-01,202.104
2019-01-01,NA
2019-02-01,201.545
2019-03-01,NA
2019-04-01,211.573
2019-05-01,NA
2019-06-01,206.354
2019-07-01,NA
2019-08-01,206.351
2019-09-01,NA
2019-10-01,206.579
2019-11-01,NA
2019-12-01,203.229
2020-01-01,NA
2020-02-01,203.397
2020-03-01,NA
2020-04-01,182.46
2020-05-01,NA
2020-06-01,193.299
2020-07-01,NA
2020-08-01,199.954
2020-09-01,NA
2020-10-01,203.496
2020-11-01,NA
2020-12-01,199.919
2021-01-01,NA
2021-02-01,207.92
2021-03-01,NA
2021-04-01,224.546
2021-05-01,NA
2021-06-01,239.414
2021-07-01,NA
2021-08-01,239.811
2021-09-01,NA
2021-10-01,246.931
2021-11-01,NA
2021-12-01,258.469
2022-01-01,NA
2022-02-01,266.286
2022-03-01,NA
2022-04-01,279.332
2022-05-01,NA
2022-06-01,296.288
2022-07-01,NA
2022-08-01,281.361
2022-09-01,NA
2022-10-01,273.656
2022-11-01,NA
2022-12-01,262.219
2023-01-01,NA
2023-02-01,273.989
2023-03-01,NA
2023-04-01,277.849
2023-05-01,NA
2023-06-01,276.331
2023-07-01,NA
2023-08-01,283.035
2023-09-01,NA
2023-10-01,273.682
